"sequence","id","priority","domain","problem","evidence","codeOwner","acceptance"
"16","LIVE-016","P1/P2","מפה ואלומה","קוד Mapbox והאלומה אמיתי ועובד, אך 0/320 יחידות מכילות azimuth מדויק; הכיוון נגזר משמונה תוויות.","Admin contract + code trace","plugins/nadlan-config/assets/showroom-engine/engine.js:1315-1357","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"17","LIVE-017","P1/P2","מפה ואלומה","מפת Mapbox אינה מאותחלת עד אינטראקציה עם מסנן מפה; לפני כן אזור המפה ריק.","Click replay + DOM","plugins/nadlan-config/inc/project-experience.php:447-535","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"18","LIVE-018","P0/P1","מובייל","במת המדיה ברוחב כ-498px בתוך viewport 390px וחתוכה בכ-133px.","Bounding boxes 390","showroom responsive CSS","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"19","LIVE-019","P0/P1","מובייל","בקרי Pannellum נמצאים מחוץ למסך וחלקם 26×26 ללא שם נגיש.","Bounding boxes + accessibility tree","Pannellum runtime CSS","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"20","LIVE-020","P0/P1","מובייל","הכרטיס מכסה כ-62% מגובה המודל ויש לו גלילה פנימית ארוכה; הבניין אינו נשאר גלוי.","Bounding boxes 390/400","showroom panel CSS","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"21","LIVE-021","P0/P1","מובייל","ווידג׳טים קבועים של header, project nav, accessibility, lead ו-WhatsApp נערמים ומסתירים פעולות.","Fixed/sticky inventory + screenshots","theme + project CSS","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"22","LIVE-022","P0/P1","מובייל","קישורי ניווט גלובלי יוצאים שמאלה מה-viewport.","Bounding boxes 390","theme header","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"23","LIVE-023","P0/P1","מובייל","תאריכי תיאום פגישה מאוחרים יוצאים מחוץ ל-viewport.","Bounding boxes 390","scheduler CSS","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"24","LIVE-024","P2","מלאי","320 יחידות קיימות, אך 60 כרטיסים מרונדרים כברירת מחדל והמקטע ארוך מאוד.","DOM count + section height","plugins/nadlan-config/assets/showroom-engine/engine.js","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"25","LIVE-025","P1/P2","מלאי","WordPress שומר 302 available ו-18 reserved, אך availability הציבורי אינו עקבי.","Admin JSON vs public payload","plugins/nadlan-config/inc/showroom-engine.php:155-260","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"26","LIVE-026","P1/P2","תוכניות","לכל 320 היחידות plan, אך יש רק חמש תמונות תוכנית ייחודיות.","Admin JSON aggregate","project_3d_units","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"27","LIVE-027","P0/P1","נוף","0/320 יחידות מכילות asset למראה מהחלון.","Admin JSON aggregate","project_3d_units","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"28","LIVE-028","P0/P1","פנים","0/320 יחידות מכילות interior_url.","Admin JSON aggregate","project_3d_units","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"29","LIVE-029","P0/P1","חזית","ה-UI מציג לקונה טקסט פיתוח על חזית חסרה וחומר עתידי.","Public buyer copy","project facade renderer","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"30","LIVE-030","P1/P2","מודל","modelType באדמין הוא procedural למרות שקישור GLB קיים.","Admin field audit","project_3d_model_type","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"31","LIVE-031","P1/P2","מודל","אין USDZ, project video, project tour או Cesium URL בשדות הפרויקט.","Admin field audit","nadlan-p3d metabox","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"32","LIVE-032","P0/P1","אדמין","תיבת המתכון מציגה 0 נורות בפוסט החי בגלל hard-scope לאב-טיפוס אחר.","Admin DOM","prototype plugin scope","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"33","LIVE-033","P0/P1","אדמין","תיבת BOM מציגה 0 מערכות בפוסט החי בגלל hard-scope לאב-טיפוס אחר.","Admin DOM","prototype plugin scope","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"34","LIVE-034","P0/P1","WordPress","תוסף האב-טיפוס קשיח ל-post 7304 ול-slug aurelia-sde-dov, בעוד החי הוא 7514/aurelia.","Repository vs admin","handoff prototype PHP","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"35","LIVE-035","P0/P1","WordPress","חבילת WordPress אינה כוללת assets או importer; אינה פרויקט מלא להתקנה.","ZIP inventory","handoff WordPress package","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"36","LIVE-036","P0/P1","WordPress","project_facilities משמש CSV ב-core אך adapter מנסה JSON decode; התוצאה מערך ריק.","Static code trace","plugins/nadlan-config/inc/facility-chips.php","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"37","LIVE-037","P0/P1","WordPress","adapter נוסף יוצר מערכת בחירה שנייה ואינו מפעיל את ה-semantic mesh adapter שכבר נכתב.","Static code trace","handoff unit-selection-adapter.js","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"38","LIVE-038","P0/P1","WordPress","adapter משתמש unit_id והמנוע החי משתמש unit; ניתן ליצור שתי בחירות שונות.","Static code trace","handoff adapter + core engine","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"39","LIVE-039","P0/P1","Source","adapter inline חי של 8,104 תווים אינו קיים בריפו ולכן אינו ניתן לשחזור או review.","Source/repo fingerprint diff","live inline nadlan-engine-core-js-after","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"40","LIVE-040","P1/P2","Source","plugin health חי 1.72.220 מול repo 1.72.206.","Version fingerprint","plugin health vs repository","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"41","LIVE-041","P1/P2","SEO","hreflang כולל רק he ו-x-default למרות שה-runtime מצהיר חמש שפות.","View Source","public head","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"42","LIVE-042","P1/P2","SEO","שני BreadcrumbList ושני FAQPage שאינם זהים.","JSON-LD parse","public source","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"43","LIVE-043","P0/P1","SEO","meta/FAQ מבטיחים מתקנים שאינם קיימים בחוויה.","Source vs feature contract","Yoast meta + JSON-LD","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"44","LIVE-044","P2","SEO","favicon קיים, תקין ומחזיר 200; היעדר SERP אינו מוכח ככשל קוד.","Source + HTTP/MIME","public head icons","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"45","LIVE-045","P1/P2","Security","נמצאה היעדרות של שישה headers רוחביים בתגובה שנבדקה.","HTTP response headers","server configuration","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"46","LIVE-046","P0/P1","נגישות","בקרי close/tabs/actions רבים קטנים מיעד המוצר 44×44.","Bounding boxes","showroom + studio CSS","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"47","LIVE-047","P0/P1","נגישות","פריטי סטודיו הם div ללא role/tabindex/aria.","DOM audit","studio.js","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"48","LIVE-048","P0/P1","תוכן","תוכן הפוסט באדמין 1,408 תווים בלבד, רחוק ממאמר הפרויקט המלא שהוגדר.","Admin field length","post_content","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"49","LIVE-049","P1/P2","SEO","Yoast title תקין ב-source אך DOM runtime נצפה עם title אחר; יש לבדוק מי כותב document.title.","Source vs rendered DOM","runtime title writer","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"50","LIVE-050","P2","מפה ואלומה","בחירת inventory כן החליפה unit, URL, active card ומרקר כיוון—זה הקוד הקאנוני שיש לשמר.","Positive click proof","engine.js:1315-1357,4106-4140","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"51","LIVE-051","P0/P1","Cache/runtime","engine.js מוגש לשנה עם אותו ver=1.72.220 ללא fingerprint בשם; דפדפנים יכולים להריץ JS ישן מול payload/CSS חדשים.","Response cache headers + source/runtime comparison","asset versioning and cache policy","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"52","LIVE-052","P0/P1","Cache/runtime","באותו סשן payload מכבה selected-unit surface, אך DOM נבנה במסלול החדש בלי ה-CSS שלו—split-brain גרסאות, לא רק תקלה עיצובית.","Payload flags + DOM class + missing CSS rules","engine.js:218-232,2162-2285; showroom-engine.php:493-509","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"53","LIVE-053","P0/P1","SEO","engine.js דורס document.title התקין מהשרת בכל render ומחליף אותו בכותרת חלשה יותר.","Exact source trace + rendered DOM","plugins/nadlan-config/assets/showroom-engine/engine.js:218-232","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"54","LIVE-054","P1/P2","RFP","ה-summary הגלוי אינו מציג RFP; חיבור הסטודיו תלוי בכפתור legacy מוסתר שנשאר ב-DOM במקום API/event ישיר.","DOM + source trace + click proof","studio.js:310; engine.js:482,2260-2285","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"55","LIVE-055","P0/P1","סיור דירה","ה-tour בתוך dialog במובייל נמדד בכ-303×153px—קטן מדי למסע POV או החלטה.","Browser bounding box","tour dialog CSS","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"56","LIVE-056","P2","Reliability","נצפתה תגובת 502 חולפת בפתיחת לשונית חדשה ואזהרת rAF timed out in updateSource; reload הצליח.","Network/console observation","server/runtime monitoring","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
