requirement,current_evidence,status,gap,next_action,priority
implementation_backlog,"strategy/backlog/*.md and implementation-plan.md/csv",partial,"Backlog is not tied to page_id/UX component/keyword cluster/acceptance criteria/test evidence","Create sprint-ready backlog table with page_id, task, owner, dependency, acceptance test, evidence artifact",P0
technical_seo_schema,"strategy/16-schema-plan.md; strategy/17-technical-seo-plan.md; strategy/war-room/technical-seo-page-matrix.csv; strategy/war-room/technical-seo-execution-packet-rtl.html",present_build_ready_spec_not_implemented,"Technical SEO matrix now covers 39 page families, but no live crawl, Search Console evidence, or runtime implementation exists yet","Implement according to the matrix, then capture crawl, structured-data, canonical, sitemap, language, and screenshot evidence after deployment",P1
serp_competitor_research,"strategy/03-competitor-war-map.md; strategy/war-room/competitor-serp-source-map.csv; strategy/war-room/competitor-serp-query-teardown.csv; strategy/war-room/competitor-feature-matrix.csv; strategy/war-room/competitor-serp-execution-packet-rtl.html",present_current_research_needs_paid_metrics,"Current public-source competitor packet now covers 14 sources, 14 target search intents, and 10 competitor feature rows, but no paid volume, difficulty, click, or final rank data exists yet","Attach paid keyword metrics later and use this packet now to prevent thin competitor-copy pages",P0
international_investor_funnel,"Report 2 has intl_investor rows; architecture has /en hub and EN guides; strategy/war-room/international-investor-page-map.csv; strategy/war-room/international-investor-execution-packet-rtl.html",present_build_ready_spec_not_built,"English page map, source gates, concierge flow, and future-country guardrails are specified, but no live English pages, reviewed tax/legal content, or country packs exist","Implement first six /en pages, run legal/tax/source review, capture screenshots, then consider noindex country packs",P1
tools_calculators,"Report 2 has 29 tools_calculators rows; architecture maps valuation/mortgage/tax/yield tools",partial,"No calculator formulas, inputs, assumptions, source rules, legal disclaimers, or result UX specs","Create calculator spec pack for valuation, yield, mortgage, purchase tax",P0
monetization,"strategy/13-monetization-plan.md and backlog p1-b2b-monetization.md",weak,"No packages/pricing, lead routing, sponsored disclosure policy, CRM statuses, sales pages, or revenue model","Create monetization operating model and legal disclosure matrix",P1
outreach_and_compliance,"strategy/14-outreach-operating-system.md",weak,"No opt-in/suppression implementation, consent policy, email templates, CRM routing, legal approval", "Create outreach compliance spec before any automation",P1
analytics_kpi,"strategy/18-analytics-kpi-dashboard.md; ux-build-spec events listed; strategy/war-room/analytics-event-dictionary.csv; strategy/war-room/analytics-kpi-execution-packet-rtl.html",present_build_ready_spec_not_instrumented,"Event dictionary, dashboard cards, privacy rules, funnels, and debug gates are now specified, but no live GA/GTM instrumentation or CRM dashboard proof exists","Implement the event layer, connect CRM/source data, capture debug screenshots, then build the owner KPI dashboard",P1
visible_owner_outputs,"outputs contains Report 2 HTML, workbook, source-of-truth HTML, war-room HTML",partial,"Readable outputs exist locally, but no email sent and no single owner index page tying all artifacts together","Create owner-output-index-rtl.html and email after explicit address/approval",P0
repo_state_and_pr,"Branch strategy/nadlan-seo-product-war-plan contains pushed commits 971674b, 7b1f53f, 1b639b2",partial,"Need latest gap audit commit pushed; PR state/URL not updated in this turn","Commit and push gap map, then update PR/body if needed",P0
