slug,url,title,city,words,has_3d,hotspots,langs_present,langs_missing,branded_title,notes
סלע,https://nad-lan.co.il/projects/%d7%a1%d7%9c%d7%a2/,סלע - דירות למכירה | נדלן,ראשון לציון,254,no,0,,ar+en+fr+ru,no,wave-1
הרב-שאולי,https://nad-lan.co.il/projects/%d7%94%d7%a8%d7%91-%d7%a9%d7%90%d7%95%d7%9c%d7%99/,הרב שאולי - דירות למכירה | נדלן,אשדוד,254,no,0,,ar+en+fr+ru,no,wave-1
הרומנים,https://nad-lan.co.il/projects/%d7%94%d7%a8%d7%95%d7%9e%d7%a0%d7%99%d7%9d/,הרומנים - דירות למכירה | נדלן,נתניה,255,no,0,,ar+en+fr+ru,no,wave-1
לביא,https://nad-lan.co.il/projects/%d7%9c%d7%91%d7%99%d7%90/,לביא - דירות למכירה | נדלן,גבעתים,255,no,0,,ar+en+fr+ru,no,wave-1
מתחם-ארלוזורוב-המתמיד,https://nad-lan.co.il/projects/%d7%9e%d7%aa%d7%97%d7%9d-%d7%90%d7%a8%d7%9c%d7%95%d7%96%d7%95%d7%a8%d7%95%d7%91-%d7%94%d7%9e%d7%aa%d7%9e%d7%99%d7%93/,מתחם ארלוזורוב המתמיד - דירות למכירה | נדלן,רמת גן,255,no,0,,ar+en+fr+ru,no,wave-1
המעפילים,https://nad-lan.co.il/projects/%d7%94%d7%9e%d7%a2%d7%a4%d7%99%d7%9c%d7%99%d7%9d/,המעפילים - דירות למכירה | נדלן,אשדוד,255,no,0,,ar+en+fr+ru,no,wave-1
ישעיהו,https://nad-lan.co.il/projects/%d7%99%d7%a9%d7%a2%d7%99%d7%94%d7%95/,ישעיהו - דירות למכירה | נדלן,קרית אונו,257,no,0,,ar+en+fr+ru,no,wave-1
שוק-אשכנזי,https://nad-lan.co.il/projects/%d7%a9%d7%95%d7%a7-%d7%90%d7%a9%d7%9b%d7%a0%d7%96%d7%99/,שוק אשכנזי - דירות למכירה | נדלן,יהוד,257,no,0,,ar+en+fr+ru,no,wave-1
הקרן,https://nad-lan.co.il/projects/%d7%94%d7%a7%d7%a8%d7%9f/,הקרן - דירות למכירה | נדלן,מעלה אדומים,257,no,0,,ar+en+fr+ru,no,wave-1
ברנדיס,https://nad-lan.co.il/projects/%d7%91%d7%a8%d7%a0%d7%93%d7%99%d7%a1/,ברנדיס - דירות למכירה | נדלן,רעננה,258,no,0,,ar+en+fr+ru,no,wave-1
הדקל,https://nad-lan.co.il/projects/%d7%94%d7%93%d7%a7%d7%9c/,הדקל - דירות למכירה | נדלן,אשדוד,258,no,0,,ar+en+fr+ru,no,wave-1
כנרת,https://nad-lan.co.il/projects/%d7%9b%d7%a0%d7%a8%d7%aa/,כנרת - דירות למכירה | נדלן,רעננה,258,no,0,,ar+en+fr+ru,no,wave-1
הנטקה,https://nad-lan.co.il/projects/%d7%94%d7%a0%d7%98%d7%a7%d7%94/,הנטקה - דירות למכירה | נדלן,ירושלים,258,no,0,,ar+en+fr+ru,no,wave-1
ויצמן,https://nad-lan.co.il/projects/%d7%95%d7%99%d7%a6%d7%9e%d7%9f/,ויצמן - דירות למכירה | נדלן,רעננה,258,no,0,,ar+en+fr+ru,no,wave-1
ערבי-נחל,https://nad-lan.co.il/projects/%d7%a2%d7%a8%d7%91%d7%99-%d7%a0%d7%97%d7%9c/,ערבי נחל - דירות למכירה | נדלן,גבעתים,260,no,0,,ar+en+fr+ru,no,wave-1
שטרן,https://nad-lan.co.il/projects/%d7%a9%d7%98%d7%a8%d7%9f/,שטרן - דירות למכירה | נדלן,קרית אונו,260,no,0,,ar+en+fr+ru,no,wave-1
רוטשילד,https://nad-lan.co.il/projects/%d7%a8%d7%95%d7%98%d7%a9%d7%99%d7%9c%d7%93/,רוטשילד - דירות למכירה | נדלן,בת ים,260,no,0,,ar+en+fr+ru,no,wave-1
הרצוג-מערב,https://nad-lan.co.il/projects/%d7%94%d7%a8%d7%a6%d7%95%d7%92-%d7%9e%d7%a2%d7%a8%d7%91/,הרצוג מערב - דירות למכירה | נדלן,נתניה,260,no,0,,ar+en+fr+ru,no,
רמת-אליהו-פוזננסקי,https://nad-lan.co.il/projects/%d7%a8%d7%9e%d7%aa-%d7%90%d7%9c%d7%99%d7%94%d7%95-%d7%a4%d7%95%d7%96%d7%a0%d7%a0%d7%a1%d7%a7%d7%99/,רמת אליהו (פוזננסקי) - דירות למכירה | נדלן,ראשון לציון,261,no,0,,ar+en+fr+ru,no,
נחלת-יהודה-ב,https://nad-lan.co.il/projects/%d7%a0%d7%97%d7%9c%d7%aa-%d7%99%d7%94%d7%95%d7%93%d7%94-%d7%91/,נחלת יהודה ב' - דירות למכירה | נדלן,ראשון לציון,261,no,0,,ar+en+fr+ru,no,
שפירא-פעמוני-העיר,https://nad-lan.co.il/projects/%d7%a9%d7%a4%d7%99%d7%a8%d7%90-%d7%a4%d7%a2%d7%9e%d7%95%d7%a0%d7%99-%d7%94%d7%a2%d7%99%d7%a8/,שפירא/ פעמוני העיר - דירות למכירה | נדלן,אשדוד,262,no,0,,ar+en+fr+ru,no,wave-1
וולפסון,https://nad-lan.co.il/projects/%d7%95%d7%95%d7%9c%d7%a4%d7%a1%d7%95%d7%9f/,וולפסון - דירות למכירה | נדלן,פתח תקוה,263,no,0,,ar+en+fr+ru,no,
בלפור,https://nad-lan.co.il/projects/%d7%91%d7%9c%d7%a4%d7%95%d7%a8/,בלפור - דירות למכירה | נדלן,בת ים,263,no,0,,ar+en+fr+ru,no,wave-1
החלוץ,https://nad-lan.co.il/projects/%d7%94%d7%97%d7%9c%d7%95%d7%a5/,החלוץ - דירות למכירה | נדלן,רמת השרון,263,no,0,,ar+en+fr+ru,no,
הזמיר,https://nad-lan.co.il/projects/%d7%94%d7%96%d7%9e%d7%99%d7%a8/,הזמיר - דירות למכירה | נדלן,קרית אונו,263,no,0,,ar+en+fr+ru,no,wave-1
כצנלסון,https://nad-lan.co.il/projects/%d7%9b%d7%a6%d7%a0%d7%9c%d7%a1%d7%95%d7%9f/,כצנלסון - דירות למכירה | נדלן,בת ים,263,no,0,,ar+en+fr+ru,no,wave-1
הררי,https://nad-lan.co.il/projects/%d7%94%d7%a8%d7%a8%d7%99/,הררי - דירות למכירה | נדלן,רמת גן,263,no,0,,ar+en+fr+ru,no,wave-1
המבדיל,https://nad-lan.co.il/projects/%d7%94%d7%9e%d7%91%d7%93%d7%99%d7%9c/,המבדיל - דירות למכירה | נדלן,רמת גן,263,no,0,,ar+en+fr+ru,no,wave-1
ביאליק-בנימין,https://nad-lan.co.il/projects/%d7%91%d7%99%d7%90%d7%9c%d7%99%d7%a7-%d7%91%d7%a0%d7%99%d7%9e%d7%99%d7%9f/,ביאליק – בנימין - דירות למכירה | נדלן,רמת גן,264,no,0,,ar+en+fr+ru,no,wave-1
נווה-יהושע-מרכז,https://nad-lan.co.il/projects/%d7%a0%d7%95%d7%95%d7%94-%d7%99%d7%94%d7%95%d7%a9%d7%a2-%d7%9e%d7%a8%d7%9b%d7%96/,נווה יהושע מרכז - דירות למכירה | נדלן,רמת גן,264,no,0,,ar+en+fr+ru,no,wave-1
הרב-לוי-ניסנבוים,https://nad-lan.co.il/projects/%d7%94%d7%a8%d7%91-%d7%9c%d7%95%d7%99-%d7%a0%d7%99%d7%a1%d7%a0%d7%91%d7%95%d7%99%d7%9d/,הרב לוי ניסנבוים - דירות למכירה | נדלן,בת ים,264,no,0,,ar+en+fr+ru,no,wave-1
שאול-המלך,https://nad-lan.co.il/projects/%d7%a9%d7%90%d7%95%d7%9c-%d7%94%d7%9e%d7%9c%d7%9a/,שאול המלך - דירות למכירה | נדלן,קרית אונו,265,no,0,,ar+en+fr+ru,no,wave-1
בלוק-101,https://nad-lan.co.il/projects/%d7%91%d7%9c%d7%95%d7%a7-101/,בלוק 101 - דירות למכירה | נדלן,קרית מלאכי,265,no,0,,ar+en+fr+ru,no,
עמק-החולה,https://nad-lan.co.il/projects/%d7%a2%d7%9e%d7%a7-%d7%94%d7%97%d7%95%d7%9c%d7%94/,עמק החולה - דירות למכירה | נדלן,רמת גן,265,no,0,,ar+en+fr+ru,no,wave-1
בר-יהודה,https://nad-lan.co.il/projects/%d7%91%d7%a8-%d7%99%d7%94%d7%95%d7%93%d7%94/,בר יהודה - דירות למכירה | נדלן,קרית אונו,265,no,0,,ar+en+fr+ru,no,wave-1
יוספטל-מזרח,https://nad-lan.co.il/projects/%d7%99%d7%95%d7%a1%d7%a4%d7%98%d7%9c-%d7%9e%d7%96%d7%a8%d7%97/,יוספטל מזרח - דירות למכירה | נדלן,בת ים,265,no,0,,ar+en+fr+ru,no,wave-1
מגדלי-הגפן-2,https://nad-lan.co.il/projects/%d7%9e%d7%92%d7%93%d7%9c%d7%99-%d7%94%d7%92%d7%a4%d7%9f-2/,מגדלי הגפן 2 - דירות למכירה | נדלן,רמת גן,267,no,0,,ar+en+fr+ru,no,wave-1
לוי-אשכול-צפון,https://nad-lan.co.il/projects/%d7%9c%d7%95%d7%99-%d7%90%d7%a9%d7%9b%d7%95%d7%9c-%d7%a6%d7%a4%d7%95%d7%9f/,לוי אשכול צפון - דירות למכירה | נדלן,קרית אונו,267,no,0,,ar+en+fr+ru,no,wave-1
הרוגי-מלכות-בבל-הכלנית,https://nad-lan.co.il/projects/%d7%94%d7%a8%d7%95%d7%92%d7%99-%d7%9e%d7%9c%d7%9b%d7%95%d7%aa-%d7%91%d7%91%d7%9c-%d7%94%d7%9b%d7%9c%d7%a0%d7%99%d7%aa/,הרוגי מלכות בבל/הכלנית - דירות למכירה | נדלן,קרית אונו,267,no,0,,ar+en+fr+ru,no,wave-1
עלית-המתמיד-ארלוזורוב,https://nad-lan.co.il/projects/%d7%a2%d7%9c%d7%99%d7%aa-%d7%94%d7%9e%d7%aa%d7%9e%d7%99%d7%93-%d7%90%d7%a8%d7%9c%d7%95%d7%96%d7%95%d7%a8%d7%95%d7%91/,עלית - המתמיד/ארלוזורוב - דירות למכירה | נדלן,רמת גן,267,no,0,,ar+en+fr+ru,no,wave-1
מגדל-הים-רוטשילד-2,https://nad-lan.co.il/projects/%d7%9e%d7%92%d7%93%d7%9c-%d7%94%d7%99%d7%9d-%d7%a8%d7%95%d7%98%d7%a9%d7%99%d7%9c%d7%93-2/,מגדל הים (רוטשילד 2) - דירות למכירה | נדלן,בת ים,269,no,0,,ar+en+fr+ru,no,wave-1
רמת-השקמה-שקמה-על-הפארק,https://nad-lan.co.il/projects/%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a7%d7%9e%d7%94-%d7%a9%d7%a7%d7%9e%d7%94-%d7%a2%d7%9c-%d7%94%d7%a4%d7%90%d7%a8%d7%a7/,רמת השקמה (שקמה על הפארק) - דירות למכירה | נדלן,רמת גן,271,no,0,,ar+en+fr+ru,no,wave-1
קהילת-ורשה-2,https://nad-lan.co.il/projects/%d7%a7%d7%94%d7%99%d7%9c%d7%aa-%d7%95%d7%a8%d7%a9%d7%94-2/,קהילת ורשה (2) - דירות למכירה | נדלן,תל אביב יפו,369,no,0,,ar+en+fr+ru,no,wave-1
רקאנטי,https://nad-lan.co.il/projects/%d7%a8%d7%a7%d7%90%d7%a0%d7%98%d7%99/,רקאנטי - דירות למכירה | נדלן,תל אביב יפו,371,no,0,,ar+en+fr+ru,no,wave-1
טאגור,https://nad-lan.co.il/projects/%d7%98%d7%90%d7%92%d7%95%d7%a8/,טאגור - דירות למכירה | נדלן,תל אביב יפו,371,no,0,,ar+en+fr+ru,no,wave-1
הדר-יוסף-לודג,https://nad-lan.co.il/projects/%d7%94%d7%93%d7%a8-%d7%99%d7%95%d7%a1%d7%a3-%d7%9c%d7%95%d7%93%d7%92/,הדר יוסף - לודג' - דירות למכירה | נדלן,תל אביב יפו,371,no,0,,ar+en+fr+ru,no,wave-1
recanati-residence,https://nad-lan.co.il/projects/recanati-residence/,RECANATI RESIDENCE נווה אביבים - פרויקט של אשדר - דירות למכירה בתל אביב-יפו | נדלן,תל אביב-יפו,3250,no,0,,ar+en+fr+ru,yes,dev=אשדר פרופיל
ashira-sde-dov,https://nad-lan.co.il/projects/ashira-sde-dov/,ASHIRA - פרויקט אשירה שדה דב תל אביב מחיר - נדלן,תל אביב-יפו,3297,yes,5,ar+en+fr+ru,,yes,glb=ashira-rich.glb; dev=אביסרור משה ובניו פרופיל; no-h1
ashira-sde-dov-ru,https://nad-lan.co.il/projects/ashira-sde-dov-ru/,Квартиры в Ashira Sde Dov на продажу в Тель-Авиве - דירות למכירה | נדלן,תל אביב-יפו,3310,yes,5,ar+en+fr+ru,,yes,lang-variant:ru; glb=ashira-rich.glb; no-h1
ashira-sde-dov-en,https://nad-lan.co.il/projects/ashira-sde-dov-en/,Ashira Sde Dov apartments for sale in Tel Aviv - דירות למכירה | נדלן,תל אביב-יפו,3311,yes,5,ar+en+fr+ru,,yes,lang-variant:en; glb=ashira-rich.glb; no-h1
ashira-sde-dov-ar,https://nad-lan.co.il/projects/ashira-sde-dov-ar/,شقق Ashira Sde Dov للبيع في تل أبيب - דירות למכירה | נדלן,תל אביב-יפו,3473,yes,5,ar+en+fr+ru,,yes,lang-variant:ar; glb=ashira-rich.glb; no-h1
rainbow-tel-aviv,https://nad-lan.co.il/projects/rainbow-tel-aviv/,"דירות למכירה ב-Rainbow תל אביב | מחירים, תוכניות ובחירת דירה בשדה דב | נדלן",תל אביב-יפו,3558,yes,6,ar+en+fr+ru,,yes,glb=rainbow-rich-model.glb; dev=ישראל קנדה פרופיל
rainbow-tel-aviv-en,https://nad-lan.co.il/projects/rainbow-tel-aviv-en/,Rainbow Tel Aviv | Coastal Resort Living in Sde Dov - דירות למכירה | נדלן,תל אביב-יפו,3584,yes,6,ar+en+fr+ru,,yes,lang-variant:en; glb=rainbow-rich-model.glb; dev=ישראל קנדה פרופיל
meier-on-rothschild,https://nad-lan.co.il/projects/meier-on-rothschild/,מגדל מאייר על רוטשילד - מגדל יוקרה אייקוני של קבוצת חג׳ג׳ - דירות למכירה בתל אביב-יפו | נדלן,תל אביב-יפו,3585,no,0,,ar+en+fr+ru,no,dev=קבוצת חג׳ג׳ פרופיל
dimri-yama-sde-dov-en,https://nad-lan.co.il/projects/dimri-yama-sde-dov-en/,Dimri Yama Sde Dov | Kelly Hoppen Living on the Tel Aviv Coast - דירות למכירה | נדלן,תל אביב-יפו,3605,yes,4,ar+en+fr+ru,,yes,lang-variant:en; glb=dimri-rich.glb; dev=י.ח דמרי פרופיל
dimri-yama-sde-dov,https://nad-lan.co.il/projects/dimri-yama-sde-dov/,DIMRI YAMA שדה דב - י.ח דמרי - דירות למכירה | נדלן,תל אביב-יפו,3702,yes,4,ar+en+fr+ru,,yes,glb=dimri-rich.glb; dev=י
park-bavli,https://nad-lan.co.il/projects/park-bavli/,פארק בבלי - פרויקט יוקרה של קבוצת תשובה בתל אביב - דירות למכירה בתל אביב-יפו | נדלן,תל אביב-יפו,3752,no,0,,ar+en+fr+ru,no,dev=קבוצת תשובה ואלעד מגורים אדריכלות
dimri-yama-sde-dov-ar,https://nad-lan.co.il/projects/dimri-yama-sde-dov-ar/,Dimri Yama Sde Dov | إقامة بتصميم كيلي هوبن - דירות למכירה | נדלן,תל אביב-יפו,3799,yes,4,ar+en+fr+ru,,yes,lang-variant:ar; glb=dimri-rich.glb; dev=י.ח דמרי פרופיל
rainbow-tel-aviv-ar,https://nad-lan.co.il/projects/rainbow-tel-aviv-ar/,Rainbow Tel Aviv | سكن على شاطئ سديه دوف - דירות למכירה | נדלן,תל אביב-יפו,3814,yes,6,ar+en+fr+ru,,yes,lang-variant:ar; glb=rainbow-rich-model.glb; dev=ישראל קנדה פרופיל
rainbow-tel-aviv-ru,https://nad-lan.co.il/projects/rainbow-tel-aviv-ru/,Rainbow Tel Aviv | Резиденция у моря в Сде-Дов - דירות למכירה | נדלן,תל אביב-יפו,3891,yes,6,ar+en+fr+ru,,yes,lang-variant:ru; glb=rainbow-rich-model.glb; dev=ישראל קנדה פרופיל
migdalei-hayam-sde-dov,https://nad-lan.co.il/projects/migdalei-hayam-sde-dov/,דיור מוגן בשדה דב - מגדלי הים התיכון - דירות למכירה | נדלן,תל אביב-יפו,3921,no,4,,ar+en+fr+ru,no,dev=מגדלי הים התיכון פרופיל
ashira-sde-dov-fr,https://nad-lan.co.il/projects/ashira-sde-dov-fr/,"Appartements a vendre a Ashira Sde Dov, Tel Aviv - דירות למכירה | נדלן",תל אביב-יפו,3937,yes,5,ar+en+fr+ru,,yes,lang-variant:fr; glb=ashira-rich.glb; no-h1
yoo-tel-aviv,https://nad-lan.co.il/projects/yoo-tel-aviv/,מגדלי YOO פארק צמרת - מגה יוקרה בעיצוב פיליפ סטארק - דירות למכירה בתל אביב-יפו | נדלן,תל אביב-יפו,3970,no,0,,ar+en+fr+ru,yes,dev=קבוצת חבס פרופיל
dimri-yama-sde-dov-ru,https://nad-lan.co.il/projects/dimri-yama-sde-dov-ru/,Dimri Yama Sde Dov | Резиденции Kelly Hoppen - דירות למכירה | נדלן,תל אביב-יפו,3980,yes,4,ar+en+fr+ru,,yes,lang-variant:ru; glb=dimri-rich.glb; dev=י.ח דמרי פרופיל
ashdar-einstein,https://nad-lan.co.il/projects/ashdar-einstein/,אשדר איינשטיין נווה אביבים - פרויקט בוטיק - דירות למכירה בתל אביב-יפו | נדלן,תל אביב-יפו,3986,no,0,,ar+en+fr+ru,no,dev=חברת אשדר מקבוצת אשטרום תכנון
first-sde-dov,https://nad-lan.co.il/projects/first-sde-dov/,FIRST שדה דב - קבוצת חג'ג' - דירות למכירה | נדלן,תל אביב-יפו,4060,no,4,,ar+en+fr+ru,yes,dev=קבוצת חג'ג' פרופיל
marina-towers-herzliya,https://nad-lan.co.il/projects/marina-towers-herzliya/,מגדלי המרינה הרצליה - פרויקט יוקרה על הים - דירות למכירה | נדלן,הרצליה,4088,no,0,,ar+en+fr+ru,no,dev=ים סוף פרופיל
zohi-sde-dov,https://nad-lan.co.il/projects/zohi-sde-dov/,ZOHI זוהי שדה דב - לוינשטין מבנה אלייד - דירות למכירה | נדלן,תל אביב-יפו,4340,no,4,,ar+en+fr+ru,yes,dev=לוינשטין
einstein-19,https://nad-lan.co.il/projects/einstein-19/,איינשטיין 19 רמת אביב - פינוי בינוי של אזורים - נדלן,תל אביב-יפו,4383,no,0,,ar+en+fr+ru,no,dev=אזורים פרופיל
shikun-binui-sde-dov,https://nad-lan.co.il/projects/shikun-binui-sde-dov/,שיכון ובינוי שדה דב - דיור להשכרה (מגרש 109) - נדלן,תל אביב-יפו,4388,no,4,,ar+en+fr+ru,no,dev=שיכון ובינוי פרופיל
einstein-tower,https://nad-lan.co.il/projects/einstein-tower/,EINSTEIN TOWER רמת אביב - פרויקט מגורים של קבוצת חג׳ג׳ - דירות למכירה בתל אביב-יפו | נדלן,תל אביב-יפו,4398,no,0,,ar+en+fr+ru,yes,dev=קבוצת חג׳ג׳ פרופיל
gindi-vogue-sde-dov,https://nad-lan.co.il/projects/gindi-vogue-sde-dov/,GINDI VOGUE שדה דב - גינדי החזקות - דירות למכירה | נדלן,תל אביב-יפו,4444,no,4,,ar+en+fr+ru,yes,dev=גינדי החזקות פרופיל
utopia-sde-dov,https://nad-lan.co.il/projects/utopia-sde-dov/,UTOPIA שדה דב - קבוצת נחמיאס - דירות למכירה | נדלן,תל אביב-יפו,4547,no,4,,ar+en+fr+ru,yes,dev=קבוצת נחמיאס פרופיל
akirov-towers,https://nad-lan.co.il/projects/akirov-towers/,מגדלי אקירוב פארק צמרת - פרויקט יוקרה של אלרוב - דירות למכירה בתל אביב-יפו | נדלן,תל אביב-יפו,4588,no,0,,ar+en+fr+ru,no,dev=אלרוב פרופיל
aura-pivko-bat-yam,https://nad-lan.co.il/projects/aura-pivko-bat-yam/,"אאורה פיבקו בת ים - פינוי בינוי, מגדל 32 קומות בשדרת העצמאות - נדלן",בת ים,4805,no,0,,ar+en+fr+ru,no,dev=אאורה ישראל פרופיל
duo-tel-aviv,https://nad-lan.co.il/projects/duo-tel-aviv/,מגדלי DUO תל אביב - שני מגדלי 54 קומות במתחם סומייל - נדלן,תל אביב-יפו,4959,yes,5,ar+en+fr+ru,,yes,glb=duo-rich.glb; dev=אפריקה ישראל מגורים פרופיל
rainbow-tel-aviv-fr,https://nad-lan.co.il/projects/rainbow-tel-aviv-fr/,Rainbow Tel Aviv | Residence balneaire a Sde Dov - דירות למכירה | נדלן,תל אביב-יפו,5186,yes,6,ar+en+fr+ru,,yes,lang-variant:fr; glb=rainbow-rich-model.glb; dev=ישראל קנדה פרופיל
duo-tel-aviv-ar,https://nad-lan.co.il/projects/duo-tel-aviv-ar/,DUO تل أبيب | برجان من 54 طابقا - شقق للبيع - דירות למכירה | נדלן,תל אביב-יפו,5292,yes,5,ar+en+fr+ru,,yes,lang-variant:ar; glb=duo-rich.glb; dev=אפריקה ישראל מגורים פרופיל
dimri-yama-sde-dov-fr,https://nad-lan.co.il/projects/dimri-yama-sde-dov-fr/,Dimri Yama Sde Dov | Residences signees Kelly Hoppen - דירות למכירה | נדלן,תל אביב-יפו,5475,yes,4,ar+en+fr+ru,,yes,lang-variant:fr; glb=dimri-rich.glb; dev=י.ח דמרי פרופיל
duo-tel-aviv-ru,https://nad-lan.co.il/projects/duo-tel-aviv-ru/,DUO Tel Aviv | Две башни по 54 этажа - квартиры на продажу - דירות למכירה | נדלן,תל אביב-יפו,5534,yes,5,ar+en+fr+ru,,yes,lang-variant:ru; glb=duo-rich.glb; dev=אפריקה ישראל מגורים פרופיל
duo-tel-aviv-en,https://nad-lan.co.il/projects/duo-tel-aviv-en/,DUO Tel Aviv | Two 54-Floor Towers by Africa Israel - Apartments for Sale - דירות למכירה | נדלן,תל אביב-יפו,6571,yes,5,ar+en+fr+ru,,yes,lang-variant:en; glb=duo-rich.glb; dev=אפריקה ישראל מגורים פרופיל
duo-tel-aviv-fr,https://nad-lan.co.il/projects/duo-tel-aviv-fr/,DUO Tel Aviv | Deux tours de 54 etages - Appartements a vendre - דירות למכירה | נדלן,תל אביב-יפו,7276,yes,5,ar+en+fr+ru,,yes,lang-variant:fr; glb=duo-rich.glb; dev=אפריקה ישראל מגורים פרופיל
קפלן,https://nad-lan.co.il/projects/%d7%a7%d7%a4%d7%9c%d7%9f/,,,,,,,,,"fetch_failed:ReadTimeout: HTTPSConnectionPool(host='nad-lan.co.il', port=443): Read timed out. (read timeo"
