"slug","facility","exists","source_url","note"
"shikun-binui-sde-dov","parking","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%93%D7%99%D7%95%D7%9F%20%D7%91%D7%A2%D7%99%D7%A6%D7%95%D7%91%20%D7%99%D7%97%D7%99%D7%93%D7%AA%20%D7%AA%D7%9B%D7%A0%D7%95%D7%9F%208%20%D7%9E%D7%92%D7%A8%D7%A9%20109%20%D7%90%D7%A9%D7%9B%D7%95%D7%9C%20%D7%A9%D7%93%D7%94%20%D7%93%D7%91.pdf","Four underground parking levels are shown; the final number of car spaces is not stated."
"shikun-binui-sde-dov","bicycle_parking","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%93%D7%99%D7%95%D7%9F%20%D7%91%D7%A2%D7%99%D7%A6%D7%95%D7%91%20%D7%99%D7%97%D7%99%D7%93%D7%AA%20%D7%AA%D7%9B%D7%A0%D7%95%D7%9F%208%20%D7%9E%D7%92%D7%A8%D7%A9%20109%20%D7%90%D7%A9%D7%9B%D7%95%D7%9C%20%D7%A9%D7%93%D7%94%20%D7%93%D7%91.pdf","Municipal design documents specify dedicated bicycle rooms at ground and basement levels."
"shikun-binui-sde-dov","storage","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","generator","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%93%D7%99%D7%95%D7%9F%20%D7%91%D7%A2%D7%99%D7%A6%D7%95%D7%91%20%D7%99%D7%97%D7%99%D7%93%D7%AA%20%D7%AA%D7%9B%D7%A0%D7%95%D7%9F%208%20%D7%9E%D7%92%D7%A8%D7%A9%20109%20%D7%90%D7%A9%D7%9B%D7%95%D7%9C%20%D7%A9%D7%93%D7%94%20%D7%93%D7%91.pdf","Municipal design documents specify the generator exhaust route to the upper roof."
"shikun-binui-sde-dov","elevators","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","kindergarten_or_public_space","unknown","","The plan documents a publicly accessible courtyard/easement but not a kindergarten or public space inside the building."
"shikun-binui-sde-dov","shared_roof","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","guard_or_staffed_lobby","unknown","","No project-specific public source found."
"utopia-sde-dov","designed_lobby","unknown","","No project-specific public source found."
"utopia-sde-dov","gym","yes","https://utopiatlv.co.il/","Official project site lists a luxury fitness center and training studios."
"utopia-sde-dov","pool","yes","https://utopiatlv.co.il/","Official project site lists a semi-Olympic swimming pool."
"utopia-sde-dov","spa","yes","https://utopiatlv.co.il/","Official project site explicitly advertises a spa and lists a sauna room in the residents' wellness complex."
"utopia-sde-dov","residents_room_or_lounge","yes","https://utopiatlv.co.il/en/utopia-sde-dov-tel-aviv/","Official project site lists residents' meeting areas and community spaces."
"utopia-sde-dov","workspace","yes","https://utopiatlv.co.il/en/utopia-sde-dov-tel-aviv/","Official project site lists work lounges within the complex."
"utopia-sde-dov","retail_floor","unknown","","No project-specific public source found."
"utopia-sde-dov","parking","unknown","","No project-specific public source found."
"utopia-sde-dov","bicycle_parking","unknown","","No project-specific public source found."
"utopia-sde-dov","storage","unknown","","No project-specific public source found."
"utopia-sde-dov","generator","unknown","","No project-specific public source found."
"utopia-sde-dov","elevators","unknown","","No project-specific public source found."
"utopia-sde-dov","kindergarten_or_public_space","unknown","","No project-specific public source found."
"utopia-sde-dov","shared_roof","unknown","","No project-specific public source found."
"utopia-sde-dov","guard_or_staffed_lobby","unknown","","No project-specific public source found."
"gindi-vogue-sde-dov","designed_lobby","unknown","","No project-specific public source found."
"gindi-vogue-sde-dov","gym","yes","https://gindivoguetlv.gindih.co.il/","Official VOGUE site explicitly lists a designed gym."
"gindi-vogue-sde-dov","pool","yes","https://gindivoguetlv.gindih.co.il/","Official VOGUE site explicitly lists a swimming pool."
"gindi-vogue-sde-dov","spa","unknown","","No project-specific public source found."
"gindi-vogue-sde-dov","residents_room_or_lounge","yes","https://gindivoguetlv.gindih.co.il/","Official VOGUE site explicitly lists a residents lounge."
"gindi-vogue-sde-dov","workspace","yes","https://gindivoguetlv.gindih.co.il/","Official VOGUE site explicitly lists intimate workspaces."
"gindi-vogue-sde-dov","retail_floor","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A1%D7%93%D7%A8%20%D7%99%D7%95%D7%9D%2026-0001%D7%91%20%D7%9C%D7%AA%D7%90%D7%A8%D7%99%D7%9A%2021-01-26.pdf","Municipal plans for the two VOGUE lots document ground-floor retail and active commercial frontages."
"gindi-vogue-sde-dov","parking","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A1%D7%93%D7%A8%20%D7%99%D7%95%D7%9D%2026-0001%D7%91%20%D7%9C%D7%AA%D7%90%D7%A8%D7%99%D7%9A%2021-01-26.pdf","Municipal plans document six underground parking levels on lot 2255 and four on lot 2206; total parking-space count is not disclosed."
"gindi-vogue-sde-dov","bicycle_parking","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A1%D7%93%D7%A8%20%D7%99%D7%95%D7%9D%2026-0001%D7%91%20%D7%9C%D7%AA%D7%90%D7%A8%D7%99%D7%9A%2021-01-26.pdf","Municipal plans document dedicated bicycle rooms, guest bicycle parking and bicycle lifts."
"gindi-vogue-sde-dov","storage","unknown","","No project-specific public source found."
"gindi-vogue-sde-dov","generator","unknown","","No project-specific public source found."
"gindi-vogue-sde-dov","elevators","unknown","","No project-specific public source found."
"gindi-vogue-sde-dov","kindergarten_or_public_space","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A1%D7%93%D7%A8%20%D7%99%D7%95%D7%9D%2026-0001%D7%91%20%D7%9C%D7%AA%D7%90%D7%A8%D7%99%D7%9A%2021-01-26.pdf","Lot 2255 integrates four kindergartens and 1,074 sqm of built public space."
"gindi-vogue-sde-dov","shared_roof","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A1%D7%93%D7%A8%20%D7%99%D7%95%D7%9D%2026-0001%D7%91%20%D7%9C%D7%AA%D7%90%D7%A8%D7%99%D7%9A%2021-01-26.pdf","Municipal plans document shared resident roofs on both VOGUE lots, including pool and fitness amenities."
"gindi-vogue-sde-dov","guard_or_staffed_lobby","unknown","","No project-specific public source found."
"zohi-sde-dov","designed_lobby","yes","https://sdedov.co.il/%D7%97%D7%95%D7%95%D7%99%D7%99%D7%AA-%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D-%D7%A9%D7%9B%D7%9E%D7%A2%D7%98-%D7%9C%D7%90-%D7%A7%D7%99%D7%99%D7%9E%D7%AA-%D7%91%D7%90%D7%A8%D7%A5-%D7%9B%D7%9A-%D7%99%D7%99/","ZOHI's interior architect describes the main and floor lobbies within the project's deliberate restrained-luxury design language."
"zohi-sde-dov","gym","yes","https://www.zohi.co.il/","Official project site explicitly lists an invested professional gym."
"zohi-sde-dov","pool","yes","https://sdedov.co.il/%D7%97%D7%95%D7%95%D7%99%D7%99%D7%AA-%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D-%D7%A9%D7%9B%D7%9E%D7%A2%D7%98-%D7%9C%D7%90-%D7%A7%D7%99%D7%99%D7%9E%D7%AA-%D7%91%D7%90%D7%A8%D7%A5-%D7%9B%D7%9A-%D7%99%D7%99/","Project-specific interview with ZOHI's interior architect explicitly lists a pool among its shared spaces."
"zohi-sde-dov","spa","unknown","","No project-specific public source found."
"zohi-sde-dov","residents_room_or_lounge","yes","https://www.zohi.co.il/","Official project site explicitly lists a designed residents lounge for meeting, hosting and working."
"zohi-sde-dov","workspace","yes","https://www.zohi.co.il/","Official project site explicitly lists shared workspaces."
"zohi-sde-dov","retail_floor","yes","https://sdedov.co.il/%D7%90%D7%95%D7%A9%D7%A8%D7%95-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-%D7%90%D7%9C%D7%99%D7%99%D7%93-%D7%9C%D7%95%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F-%D7%9E%D7%91%D7%A0%D7%94-%D7%91%D7%A9%D7%93/","Approved design summary for ZOHI's lot 110 documents ground-floor retail."
"zohi-sde-dov","parking","yes","https://sdedov.co.il/%D7%90%D7%95%D7%A9%D7%A8%D7%95-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-%D7%90%D7%9C%D7%99%D7%99%D7%93-%D7%9C%D7%95%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F-%D7%9E%D7%91%D7%A0%D7%94-%D7%91%D7%A9%D7%93/","Approved design summary documents five parking levels and 247 spaces: 230 residential and 17 commercial."
"zohi-sde-dov","bicycle_parking","yes","https://sdedov.co.il/%D7%90%D7%95%D7%A9%D7%A8%D7%95-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-%D7%90%D7%9C%D7%99%D7%99%D7%93-%D7%9C%D7%95%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F-%D7%9E%D7%91%D7%A0%D7%94-%D7%91%D7%A9%D7%93/","Approved design summary explicitly lists a bicycle room."
"zohi-sde-dov","storage","unknown","","No project-specific public source found."
"zohi-sde-dov","generator","unknown","","No project-specific public source found."
"zohi-sde-dov","elevators","unknown","","No project-specific public source found."
"zohi-sde-dov","kindergarten_or_public_space","unknown","","No project-specific public source found."
"zohi-sde-dov","shared_roof","yes","https://sdedov.co.il/%D7%90%D7%95%D7%A9%D7%A8%D7%95-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%95%D7%AA-%D7%90%D7%9C%D7%99%D7%99%D7%93-%D7%9C%D7%95%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F-%D7%9E%D7%91%D7%A0%D7%94-%D7%91%D7%A9%D7%93/","Approved design summary places shared resident amenities, including a pool and gym, on the top floor/roof level of the low-rise buildings."
"zohi-sde-dov","guard_or_staffed_lobby","unknown","","No project-specific public source found."
"dimri-yama-sde-dov","designed_lobby","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project technical specification lists a lobby designed by an internationally renowned interior designer."
"dimri-yama-sde-dov","gym","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project page lists fitness rooms and gyms."
"dimri-yama-sde-dov","pool","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project page lists an infinity pool and an indoor garden pool."
"dimri-yama-sde-dov","spa","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project page lists a spa with saunas and treatment rooms."
"dimri-yama-sde-dov","residents_room_or_lounge","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official technical specification lists a residents lounge in Tower A's lobby."
"dimri-yama-sde-dov","workspace","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project page lists a library/workspace and roof-floor work spaces."
"dimri-yama-sde-dov","retail_floor","yes","https://sdedov.co.il/%D7%94%D7%97%D7%9C-%D7%9E-3-75-%D7%9E%D7%99%D7%9C%D7%99%D7%95%D7%9F-%D7%A9%D7%A7%D7%9C%D7%99%D7%9D-%D7%93%D7%9E%D7%A8%D7%99-%D7%9E%D7%AA%D7%97%D7%99%D7%9C%D7%94-%D7%A9%D7%99%D7%95%D7%95%D7%A7-%D7%91/","Project report states that DIMRI YAMA includes approximately 1,500 sqm of commercial space."
"dimri-yama-sde-dov","parking","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project page specifies underground parking with EV charging; number of spaces is not stated."
"dimri-yama-sde-dov","bicycle_parking","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project technical specification lists bike rooms."
"dimri-yama-sde-dov","storage","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project technical specification lists a storage room subject to its asterisked qualification."
"dimri-yama-sde-dov","generator","unknown","","No project-specific public source found."
"dimri-yama-sde-dov","elevators","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project technical specification lists destination elevators; elevator count is not stated."
"dimri-yama-sde-dov","kindergarten_or_public_space","unknown","","No project-specific public source found."
"dimri-yama-sde-dov","shared_roof","yes","https://www.dimri.co.il/en/projects/yama-tlv-sde-dov-district/","Official project page lists a shared roof floor with a rooftop pool, business lounge, workspaces, chef kitchen and gym."
"dimri-yama-sde-dov","guard_or_staffed_lobby","unknown","","No project-specific public source found."
"ashira-sde-dov","designed_lobby","yes","https://www.ynet.co.il/article/sy93umhg0","Developer-sponsored project article describes a luxurious lobby designed by Dana Oberson."
"ashira-sde-dov","gym","yes","https://ashirabyavisror.com/","Official project site describes an equipped wellness and fitness complex."
"ashira-sde-dov","pool","yes","https://ashirabyavisror.com/","Official project site describes an indoor semi-Olympic pool and a children's pool."
"ashira-sde-dov","spa","yes","https://ashirabyavisror.com/","Official project site explicitly describes the ASHIRA spa complex."
"ashira-sde-dov","residents_room_or_lounge","yes","https://ashirabyavisror.com/","Official project site states that each tower has an exclusive residents lounge with a bar."
"ashira-sde-dov","workspace","yes","https://ashirabyavisror.com/","Official project site says the tower lounges can be used for meetings and work."
"ashira-sde-dov","retail_floor","yes","https://ashirabyavisror.com/","Official project site states that commercial space is planned on the ground floor."
"ashira-sde-dov","parking","yes","https://www.yad2.co.il/yad1/project/16157","Developer project listing states that the apartments include parking; number of spaces is not stated."
"ashira-sde-dov","bicycle_parking","yes","https://sdedov.co.il/%D7%A4%D7%A8%D7%95%D7%99%D7%99%D7%A7%D7%98%D7%99%D7%9D-%D7%9E%D7%AA%D7%97%D7%9D-%D7%90%D7%A9%D7%9B%D7%95%D7%9C/","Project-specific lot summary states that bicycle rooms are planned in three separate buildings."
"ashira-sde-dov","storage","unknown","","No project-specific public source found."
"ashira-sde-dov","generator","unknown","","No project-specific public source found."
"ashira-sde-dov","elevators","yes","https://www.yad2.co.il/yad1/project/16157","Developer project listing states that the apartments include elevator access; elevator count is not stated."
"ashira-sde-dov","kindergarten_or_public_space","yes","https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=372&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776","Municipal page for Ashira's lot 101 states that a kindergarten and municipal offices totaling 500 sqm are planned."
"ashira-sde-dov","shared_roof","unknown","","No project-specific public source found."
"ashira-sde-dov","guard_or_staffed_lobby","yes","https://magdilim.co.il/140920231312/","Project announcement explicitly states that a 24/7 guard station is planned."
"first-sde-dov","designed_lobby","yes","https://sdedov.co.il/project/first-by-hagag/","Project page expressly describes the main lobby as an impressive designed reception space with luxury finishes, lighting and a reception desk."
"first-sde-dov","gym","yes","https://sdedov.co.il/project/first-by-hagag/","Professional gym plus yoga and sport areas are explicitly listed."
"first-sde-dov","pool","yes","https://sdedov.co.il/project/first-by-hagag/","Swimming pool and Jacuzzi facilities are explicitly listed."
"first-sde-dov","spa","yes","https://sdedov.co.il/project/first-by-hagag/","A private spa with treatment rooms and sauna is explicitly listed."
"first-sde-dov","residents_room_or_lounge","yes","https://www.hagag-group.co.il/projects/ResidentProjects/first_%D7%A9%D7%93%D7%94_%D7%93%D7%91","Developer explicitly lists a luxurious residents lounge."
"first-sde-dov","workspace","yes","https://blog.yad2.co.il/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-first-%D7%91%D7%A9%D7%93%D7%94-%D7%93%D7%91-%D7%A7%D7%95-%D7%A8%D7%90%D7%A9%D7%95%D7%9F-%D7%9C%D7%99%D7%9D-%D7%91%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%9E/","Project-specific article explicitly lists a collaborative workspace."
"first-sde-dov","retail_floor","yes","https://sdedov.co.il/%D7%90%D7%95%D7%A9%D7%A8%D7%94-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%AA-%D7%94%D7%A2%D7%99%D7%A6%D7%95%D7%91-%D7%9C%D7%A4%D7%A8%D7%95%D7%99%D7%99%D7%A7%D7%98-first-%D7%A9%D7%9C-%D7%A7%D7%91%D7%95%D7%A6%D7%AA/","Approved design summary says approximately 85% of the street frontage is active commercial frontage."
"first-sde-dov","parking","yes","https://sdedov.co.il/%D7%90%D7%95%D7%A9%D7%A8%D7%94-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%AA-%D7%94%D7%A2%D7%99%D7%A6%D7%95%D7%91-%D7%9C%D7%A4%D7%A8%D7%95%D7%99%D7%99%D7%A7%D7%98-first-%D7%A9%D7%9C-%D7%A7%D7%91%D7%95%D7%A6%D7%AA/","Six underground parking levels are documented; total parking-space count is not disclosed."
"first-sde-dov","bicycle_parking","unknown","","No project-specific public source found."
"first-sde-dov","storage","unknown","","No project-specific public source found."
"first-sde-dov","generator","unknown","","No project-specific public source found."
"first-sde-dov","elevators","yes","https://www.yad2.co.il/yad1/project/17810","Project listing states that the apartments include elevator access; elevator count is not disclosed."
"first-sde-dov","kindergarten_or_public_space","unknown","","No project-specific public source found."
"first-sde-dov","shared_roof","yes","https://sdedov.co.il/%D7%90%D7%95%D7%A9%D7%A8%D7%94-%D7%AA%D7%95%D7%9B%D7%A0%D7%99%D7%AA-%D7%94%D7%A2%D7%99%D7%A6%D7%95%D7%91-%D7%9C%D7%A4%D7%A8%D7%95%D7%99%D7%99%D7%A7%D7%98-first-%D7%A9%D7%9C-%D7%A7%D7%91%D7%95%D7%A6%D7%AA/","Approved design includes a large shared roof terrace over building C with a pool, landscaping and seating."
"first-sde-dov","guard_or_staffed_lobby","yes","https://www.hagag-group.co.il/projects/ResidentProjects/first_%D7%A9%D7%93%D7%94_%D7%93%D7%91","Developer explicitly offers a dedicated concierge and hotel-level management; it does not state guard coverage or operating hours."
"duo-tel-aviv","designed_lobby","yes","https://www.duo-tlv.com/eng/residential-towers/","Official project site describes a 7 m-high main lobby and public areas designed by Orly Shrem Architects."
"duo-tel-aviv","gym","yes","https://www.duo-tlv.com/eng/residential-towers/","Official project site specifies a large advanced fitness room."
"duo-tel-aviv","pool","yes","https://www.duo-tlv.com/eng/residential-towers/","Official project site specifies an outdoor infinity pool and a toddlers' pool."
"duo-tel-aviv","spa","unknown","","No project-specific public source found."
"duo-tel-aviv","residents_room_or_lounge","yes","https://www.duo-tlv.com/eng/residential-towers/","Official project site specifies a residents' club."
"duo-tel-aviv","workspace","unknown","","No project-specific public source found."
"duo-tel-aviv","retail_floor","yes","https://www.duo-tlv.com/eng/commercial/","Official project site specifies a commercial complex with stores, cafes, restaurants and a supermarket."
"duo-tel-aviv","parking","yes","https://www.electra.co.il/%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94_%D7%91%D7%99%D7%9C%D7%93%D7%99%D7%A0%D7%92/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D/%D7%9E%D7%92%D7%93%D7%9C%D7%99_dou_%D7%A1%D7%9E%D7%9C_%D7%93%D7%A8%D7%95%D7%9D","Project contractor states there are 5 underground parking levels; number of parking spaces was not found."
"duo-tel-aviv","bicycle_parking","unknown","","No project-specific public source found."
"duo-tel-aviv","storage","yes","https://www.mfreg.com/?properties=duo-tel-aviv-tower-luxury-apartment-seaview","A current project-specific apartment listing includes a storage room; availability for every unit is not established."
"duo-tel-aviv","generator","unknown","","No project-specific public source found."
"duo-tel-aviv","elevators","yes","https://www.electra.co.il/%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%94_%D7%91%D7%99%D7%9C%D7%93%D7%99%D7%A0%D7%92/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98%D7%99%D7%9D/%D7%9E%D7%92%D7%93%D7%9C%D7%99_dou_%D7%A1%D7%9E%D7%9C_%D7%93%D7%A8%D7%95%D7%9D","Elevator contractor reports 16 residential-tower elevators plus 12 commercial-area elevators (28 total across the project)."
"duo-tel-aviv","kindergarten_or_public_space","yes","https://www.funder.co.il/article/195752","Project-management article identifies a roughly 2,000 sqm municipal public building (SHEFI) within the project."
"duo-tel-aviv","shared_roof","yes","https://www.duo-tlv.com/eng/residential-towers/","The shared residents' pool and seating area is explicitly located on the roof of the lobby building linking the towers."
"duo-tel-aviv","guard_or_staffed_lobby","yes","https://www.duo-tlv.com/eng/residential-towers/","Official project site specifies 24/7 security."
"yoo-tel-aviv","designed_lobby","yes","https://www.homeland.co.il/tower/%D7%9E%D7%92%D7%93%D7%9C%D7%99-yoo/","Specialist tower page describes the lobby and public areas designed by Philippe Starck."
"yoo-tel-aviv","gym","yes","https://barakiva.com/prorojects/installationsp/","Project electrical-engineering participant lists a fitness club in the YOO complex."
"yoo-tel-aviv","pool","yes","https://barakiva.com/prorojects/installationsp/","Project electrical-engineering participant lists an indoor swimming pool."
"yoo-tel-aviv","spa","yes","https://barakiva.com/prorojects/installationsp/","Project electrical-engineering participant lists a spa."
"yoo-tel-aviv","residents_room_or_lounge","yes","https://www.homeland.co.il/tower/%D7%9E%D7%92%D7%93%D7%9C%D7%99-yoo/","Specialist tower page specifies a residents' club."
"yoo-tel-aviv","workspace","unknown","","No project-specific public source found."
"yoo-tel-aviv","retail_floor","unknown","","No project-specific public source found."
"yoo-tel-aviv","parking","yes","https://www.ednaroberts.com/en/property/%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%92%D7%93%D7%9C-you/","Current YOO listing confirms underground parking; total project parking-space count was not found."
"yoo-tel-aviv","bicycle_parking","unknown","","No project-specific public source found."
"yoo-tel-aviv","storage","yes","https://alonandben.com/fr/properties/apartment-in-yoo-towers/","Current YOO listing includes a storage room; availability for every unit is not established."
"yoo-tel-aviv","generator","unknown","","No project-specific public source found."
"yoo-tel-aviv","elevators","yes","https://www.immoisrael.com/listings/3-5-room-apartment-rent-nissim-aloni-street-tel-aviv-f3qliavco0","Current listing for YOO Tower 1 reports 4+ elevators; complex-wide total was not established."
"yoo-tel-aviv","kindergarten_or_public_space","unknown","","No project-specific public source found."
"yoo-tel-aviv","shared_roof","unknown","","No project-specific public source found."
"yoo-tel-aviv","guard_or_staffed_lobby","yes","https://www.homeland.co.il/tower/%D7%9E%D7%92%D7%93%D7%9C%D7%99-yoo/","Specialist tower page specifies a guard at the lobby 24 hours a day."
"meier-on-rothschild","designed_lobby","yes","https://www.ynet.co.il/articles/mobile/0%2C7340%2CL-5034139%2C00.html","News feature describes a 13 m-high lobby with rotating art exhibitions."
"meier-on-rothschild","gym","yes","https://www.ynet.co.il/articles/mobile/0%2C7340%2CL-5034139%2C00.html","News feature lists a large residents' gym."
"meier-on-rothschild","pool","yes","https://www.ynet.co.il/articles/mobile/0%2C7340%2CL-5034139%2C00.html","News feature lists a 25 m semi-Olympic pool."
"meier-on-rothschild","spa","yes","https://www.nlk-architecture.com/meier-on-rothschild-tower","Project architect describes spa facilities including sauna and treatment rooms."
"meier-on-rothschild","residents_room_or_lounge","yes","https://www.telavivbroker.com/?property=meier-on-rothschild","Project-specific tower page lists a residents' lounge and pool lounge."
"meier-on-rothschild","workspace","yes","https://www.ynet.co.il/articles/mobile/0%2C7340%2CL-5034139%2C00.html","News feature specifies a business lounge with advanced communications systems."
"meier-on-rothschild","retail_floor","yes","https://www.kone.co.il/he/stories-and-references/references/meyer.aspx","Elevator supplier's project reference states the tower rises above a 2,900 sqm commercial center."
"meier-on-rothschild","parking","yes","https://www.kone.co.il/he/stories-and-references/references/meyer.aspx","Elevator supplier's project reference specifies a six-level underground car park; number of spaces was not found."
"meier-on-rothschild","bicycle_parking","unknown","","No project-specific public source found."
"meier-on-rothschild","storage","yes","https://mayafiles.tase.co.il/RPdf/887001-888000/P887948-00.pdf","Public company filing describes underground parking levels with storage areas."
"meier-on-rothschild","generator","unknown","","No project-specific public source found."
