date,category,page,url,viewport,state,element,client_width_px,client_height_px,scroll_width_px,scroll_height_px,scroll_y_px,top_px,bottom_px,nested_scroll,result,confidence,notes
2026-08-08,overflow,Dimri Yama,https://nad-lan.co.il/projects/dimri-yama-sde-dov/,375x812,unit-selected,#nl-panel-body,,291,,993,,,,true,fail,high,"אותו shell משותף"
2026-08-08,overflow,Dimri Yama,https://nad-lan.co.il/projects/dimri-yama-sde-dov/,1280x800,unit-selected,#nl-panel-body,,600,,1001,,,,true,fail,high,"אותו shell משותף"
2026-08-08,overflow,The Park,https://nad-lan.co.il/projects/the-park-bnei-brak/,375x812,unit-selected,#nl-panel-body,,291,,1003,,,,true,fail,high,"פרויקט מסחרי; 44 קומות בחירה"
2026-08-08,overflow,The Park,https://nad-lan.co.il/projects/the-park-bnei-brak/,1280x800,unit-selected,#nl-panel-body,,600,,981,,,,true,fail,high,"אותו shell גם עם מודל פרמטרי"
2026-08-08,model,The Park,https://nad-lan.co.il/projects/the-park-bnei-brak/,both,loaded,model-viewer,,,,,,,,false,pass,high,"19,488 triangles ו-44 קומות/יחידות בחירה; renderer נשאר חי"
2026-08-08,document-height,YOO,https://nad-lan.co.il/projects/yoo-tel-aviv/,375x812,initial,document,,35225,,,,,,false,measured,medium,"גובה בקירוב; page scroll אינו nested scroll"
2026-08-08,document-height,YOO,https://nad-lan.co.il/projects/yoo-tel-aviv/,1280x800,initial,document,,24874,,,,,,false,measured,medium,"גובה בקירוב"
2026-08-08,document-height,Meier,https://nad-lan.co.il/projects/meier-on-rothschild/,375x812,initial,document,,31395,,,,,,false,measured,medium,"גובה בקירוב"
2026-08-08,document-height,Meier,https://nad-lan.co.il/projects/meier-on-rothschild/,1280x800,initial,document,,22831,,,,,,false,measured,medium,"גובה בקירוב"
2026-08-08,document-height,Akirov,https://nad-lan.co.il/projects/akirov-towers/,375x812,initial,document,,42214,,,,,,false,measured,medium,"גובה בקירוב"
2026-08-08,document-height,Akirov,https://nad-lan.co.il/projects/akirov-towers/,1280x800,initial,document,,29485,,,,,,false,measured,medium,"גובה בקירוב"
2026-08-08,layout,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,375x812,initial,model-viewer,339,470,,,,,,false,measured,high,"מנוע נפרד; אין #nl-root או #nl-panel"
2026-08-08,layout,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,1280x800,initial,model-viewer,805,614,,,,,,false,measured,high,"מנוע נפרד"
2026-08-08,layout,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,375x812,unit-card,unit-detail-card,359,419,,,,,,false,pass,high,"תוכן בזרימת העמוד ללא nested scroll"
2026-08-08,fullscreen,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,375x812,plan-open,plan-dialog,375,812,,,,,,false,pass,very-high,"משטח fixed מלא; חזרה בנגיעה אחת"
2026-08-08,context,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,375x812,plan-close,document,,,,,3764,,,false,pass,high,"scrollY נשמר לאחר הסגירה"
2026-08-08,layout,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,375x812,plan-open,back-button,133,48,,,,,,false,pass,high,"יעד מגע גדול וברור"
2026-08-08,overflow,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,1280x800,small-reference,reference-panel,,120,,130,,,,true,minor,medium,"פער קטן בלבד בדסקטופ; לא נמצא במובייל"
2026-08-08,document-height,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,375x812,initial,document,,43016,,,,,,false,measured,medium,"page scroll ארוך"
2026-08-08,document-height,Utopia,https://nad-lan.co.il/projects/utopia-sde-dov/,1280x800,initial,document,,30559,,,,,,false,measured,medium,"page scroll ארוך"
2026-08-08,layout,Mobile unit mockup,https://nad-lan.co.il/mockup-mobile-unit/,375x812,selected,phone-frame,360,774,,,,,,false,measured,high,"מסגרת הדגמה קשיחה"
2026-08-08,layout,Mobile unit mockup,https://nad-lan.co.il/mockup-mobile-unit/,375x812,selected,phone-screen,336,750,,,,,,false,measured,high,"אינו viewport אמיתי"
2026-08-08,layout,Mobile unit mockup,https://nad-lan.co.il/mockup-mobile-unit/,375x812,selected,beam-map,336,283,,,,,,false,pass,high,"האלומה גלויה ללא גלילה פנימית"
2026-08-08,layout,Mobile unit mockup,https://nad-lan.co.il/mockup-mobile-unit/,375x812,selected,facts,,98,,,,,,false,pass,high,"גובה אזור facts"
2026-08-08,layout,Mobile unit mockup,https://nad-lan.co.il/mockup-mobile-unit/,375x812,selected,actions,,322,,,,,,false,pass,high,"גובה אזור doors/actions"
2026-08-08,document-height,Mobile unit mockup,https://nad-lan.co.il/mockup-mobile-unit/,375x812,initial,document,,3400,,,,,,false,measured,medium,"גובה בקירוב"
2026-08-08,fullscreen,Designer,https://nad-lan.co.il/tour/designer/,375x812,stage,designer-stage,375,812,,,,,,false,pass,very-high,"html/body overflow hidden; body-level stage"
2026-08-08,fullscreen,Designer,https://nad-lan.co.il/tour/designer/,1280x800,stage,designer-stage,1280,800,,,,,,false,pass,high,"stage ממלא viewport"
2026-08-08,fullscreen,Designer,https://nad-lan.co.il/tour/designer/,375x812,flow-open,#flow,375,812,,,,,,false,pass,high,"body-level overlay"
2026-08-08,layout,Designer,https://nad-lan.co.il/tour/designer/,375x812,flow-open,back-button,44,44,,,,,,false,pass,high,"חזרה בנגיעה אחת"
2026-08-08,overflow,Designer,https://nad-lan.co.il/tour/designer/,375x812,summary-order,#flowBody,,602,,824,,,,true,fail,high,"גם benchmark זה מפר את חוק האפס במצב הסיכום"
2026-08-08,document-height,Board,https://nad-lan.co.il/board/,375x812,initial,document,,23740,,,,,,false,measured,medium,"נסרק בקריאה בלבד; אין פרטי גישה בקובץ"
2026-08-08,broken-link,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,both,header,home.html,,,,,,,,false,fail,very-high,"URL יחסי נפתר מתחת לנתיב הפרויקט והחזיר HTTP 404"
2026-08-08,broken-link,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,both,footer,project.html?project=rainbow,,,,,,,,false,fail,very-high,"URL יחסי נפתר מתחת לנתיב הפרויקט והחזיר HTTP 404"
2026-08-08,performance,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,lab-navigation,LCP-ms,,,3284,,,,,false,measured,medium,"DPR3; CPU 1x; no network throttle; no field data"
2026-08-08,performance,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,lab-navigation,TTFB-ms,,,1260,,,,,false,measured,medium,"דגימת מעבדה אחת"
2026-08-08,performance,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,unit-select,forced-reflow-ms,,,331,,,,,false,fail,medium,"מיוחס ל-engine.js סביב שורה 1348"
2026-08-08,performance,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,lab-navigation,CLS,,,0,,,,,false,pass,medium,"דגימת מעבדה אחת"
