source_url,target_url,context,suggested_anchor,reciprocal_link,target_status,publication_phase,notes
/guides/ultra-prime-construction/,/guides/building-resilience-power-water-air/,הרחבה מן הפרק המתאים במדריך,עמידות לתקלות במערכות הבניין,"כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#חשמל-מים-ואוויר
/guides/building-resilience-power-water-air/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #חשמל-מים-ואוויר
/guides/ultra-prime-construction/,/guides/private-service-car-lifts/,הרחבה מן הפרק המתאים במדריך,מעליות פרטיות ומעליות שירות,"כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#המלון-הנסתר
/guides/private-service-car-lifts/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #המלון-הנסתר
/guides/ultra-prime-construction/,/guides/new-apartment-acoustics/,הרחבה מן הפרק המתאים במדריך,איך רעש עוקף קירות,"כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#שקט-ופרטיות
/guides/new-apartment-acoustics/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #שקט-ופרטיות
/guides/ultra-prime-construction/,/guides/luxury-residential-pool-spa/,הרחבה מן הפרק המתאים במדריך,ההנדסה שמאחורי הבריכה והספא,"כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#בריכה-ספא-וחדר-כושר
/guides/luxury-residential-pool-spa/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #בריכה-ספא-וחדר-כושר
/guides/ultra-prime-construction/,/guides/material-passport-luxury-home/,הרחבה מן הפרק המתאים במדריך,"דרכון חומרים לאבן, עץ, מתכת וזכוכית","כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#חומר-יקר-בלי-דרכון
/guides/material-passport-luxury-home/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #חומר-יקר-בלי-דרכון
/guides/ultra-prime-construction/,/guides/smart-home-2035/,הרחבה מן הפרק המתאים במדריך,בית חכם שנשאר ניתן לשדרוג,"כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#הבית-החכם
/guides/smart-home-2035/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #הבית-החכם
/guides/ultra-prime-construction/,/guides/mockups-quality-control/,הרחבה מן הפרק המתאים במדריך,מוק-אפים ודוגמאות בקרה,"כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#מוק-אפ-ובקרת-איכות
/guides/mockups-quality-control/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #מוק-אפ-ובקרת-איכות
/guides/ultra-prime-construction/,/guides/residential-commissioning-year-15/,הרחבה מן הפרק המתאים במדריך,"מסירה, בדיקות ותכנית חידוש","כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#שנת-הפעילות-ה-15
/guides/residential-commissioning-year-15/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #שנת-הפעילות-ה-15
/guides/ultra-prime-construction/,/projects/rainbow-tel-aviv/,דוגמה מקומית לרשימת פסיליטיז שיש לבחון תפעולית,Rainbow Tel Aviv,"כן, מן הפרויקט לפרק הבריכה והפסיליטיז",קיים,השקה,הפרויקט נשאר בעל הכוונה המסחרית
/projects/rainbow-tel-aviv/,/guides/ultra-prime-construction/#בריכה-ספא-וחדר-כושר,"ליד רשימת הבריכות, הספא והחללים המשותפים",איך בודקים אם מתקני הדיירים תוכננו להפעלה אמיתית,כן,מוצע,השקה,עוגן הקשרי אחד
/guides/ultra-prime-construction/,/projects/dimri-yama-sde-dov/,"דוגמה מקומית לבריכות, ספא, חדר כושר ודמי ניהול",DIMRI YAMA שדה דב,כן,קיים,השקה,לא להציג מידע שיווקי כמקור הנדסי
/projects/dimri-yama-sde-dov/,/guides/ultra-prime-construction/#שנת-הפעילות-ה-15,בסביבת דמי הניהול והמתקנים,מה יידרש לתחזק ולהחליף לאורך השנים,כן,מוצע,השקה,
/guides/ultra-prime-construction/,/projects/einstein-tower/,"עירוב שימושים, תנועת משתמשים ומסלולי שירות",EINSTEIN TOWER,כן,קיים,שלב 2,
/projects/einstein-tower/,/guides/ultra-prime-construction/#המלון-הנסתר,ליד תיאור המתחם והמסחר,כיצד מתכננים תפעול של מתחם מגורים גדול,כן,מוצע,שלב 2,
/guides/ultra-prime-construction/,/sde-dov/merkaz/,"מיקום, תכנון עתידי, ים ועירוב שימושים",מתחם המרכז בשדה דב,"כן, אל פרקי המיקום והמערכות",קיים,השקה,עמוד שדה דב נשאר בעל הכוונה הגאוגרפית
/sde-dov/merkaz/,/guides/ultra-prime-construction/#מיקום-מעולה,לאחר תיאור התכנון והפרויקטים במתחם,מה מיקום ליד הים דורש מן הבניין,כן,מוצע,שלב 2,
/guides/ultra-prime-construction/,URL-VERIFY: buyer-guide,"מפרט, חוזה, מסירה ובדיקות תהליך",מדריך קניית דירה מקבלן,רצוי לאחר אימות הכתובת,דורש אימות,לפני הטמעה,מדריך קניית דירה
/guides/ultra-prime-construction/,URL-VERIFY: glossary,הרחבת מונח מקצועי לאחר הסבר קצר בגוף,"מילון המונחים בבנייה ובנדל""ן",רצוי לאחר אימות הכתובת,דורש אימות,לפני הטמעה,מילון מונחים
/guides/ultra-prime-construction/,URL-VERIFY: professionals,מעבר לבעל מקצוע מוסמך לבדיקה פרטנית,"מהנדסי בניין, בדק בית ויועצים",רצוי לאחר אימות הכתובת,דורש אימות,לפני הטמעה,אינדקס אנשי מקצוע
/guides/ultra-prime-construction/,URL-VERIFY: 3d-catalog,"בדיקת קומה, כיוון, נוף ושמש",בחירת דירה מתוך הבניין בתלת ממד,רצוי לאחר אימות הכתובת,דורש אימות,לפני הטמעה,קטלוג תלת ממד
/guides/ultra-prime-construction/,URL-VERIFY: interior-design-2026,הפרדה בין טרנד עיצובי לתשתית ארוכת חיים,מגמות עיצוב בדירות חדשות,רצוי לאחר אימות הכתובת,דורש אימות,לפני הטמעה,כתבת עיצוב פנים 2026
URL-VERIFY: glossary/קיר דיאפרגמה,/guides/groundwater-deep-basements/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על קיר דיאפרגמה,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/תאוצת רוח,/guides/tall-building-wind-comfort/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על תאוצת רוח,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/מוק-אפ מעטפת,/guides/residential-tower-envelope-glass/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על מוק-אפ מעטפת,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/Back of house,/guides/residential-service-flows/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על Back of house,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/יתירות N+1,/guides/building-resilience-power-water-air/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על יתירות N+1,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/מעלית שירות,/guides/private-service-car-lifts/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על מעלית שירות,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/נתיב עקיפת רעש,/guides/new-apartment-acoustics/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על נתיב עקיפת רעש,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/כלוראמינים,/guides/luxury-residential-pool-spa/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על כלוראמינים,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/דרכון חומר,/guides/material-passport-luxury-home/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על דרכון חומר,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/פרוטוקול פתוח,/guides/smart-home-2035/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על פרוטוקול פתוח,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/דוגמת בקרה,/guides/mockups-quality-control/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על דוגמת בקרה,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
URL-VERIFY: glossary/Commissioning,/guides/residential-commissioning-year-15/,הרחבה מן ההגדרה הקצרה לתהליך ולמשמעות לרוכש,למדריך המעמיק על Commissioning,"כן, מן הכתבה לערך בהופעה הראשונה",מוצע,לאחר בדיקת מילון,אין ליצור ערך חדש אם כבר קיים
