id,project,city,country,case_theme,documented_decision,best_fit,evidence_type,primary_source,url,limitation,editorial_use
16,Aqua Tower,Chicago,USA,"Balcony geometry as view, shade, social space and wind response",Variable balcony slabs shape views and solar protection while creating outdoor living and altering wind behavior around the façade.,"Apartment architecture, balconies, façade",Architectural,Studio Gang project coverage,https://studiogang.com/now/new-yorker-wave-effect/,The available source quotes secondary commentary and does not provide maintenance data.,Flagship chapters 6 and 7.
17,One Delisle,Toronto,Canada,Hooded modules for weather-protected balconies,Eight-story façade modules shade balconies and protect residents from wind and rain while producing varied plans.,"Apartment architecture, façade, climate",Architectural,Studio Gang project page,https://studiogang.com/projects/one-delisle/,Under construction at time of source; no long-term operating record.,"Flagship chapters 2, 6 and 7."
18,Sky Habitat,Singapore,Singapore,Bridges as structural and social infrastructure,"Prefabricated steel truss bridges support sky gardens and pools, connecting amenities between towers and turning circulation into communal space.","Structure, amenities, social planning",Architectural,Safdie Architects project page,https://www.safdiearchitects.com/projects/sky-habitat-residential-development,Architect source; staffing and ongoing maintenance are not detailed.,"Flagship chapters 5, 8 and 12."
19,The Interlace,Singapore,Singapore,Horizontal stacking as an alternative to isolated towers,"Stacked residential blocks form a network of shaded communal, landscape and circulation spaces suited to a tropical environment.","Master planning, community, amenities",Architectural,OMA project page,https://www.oma.com/projects/the-interlace,Source emphasizes concept more than operational data.,"Flagship chapters 2, 6 and 12."
20,One Hyde Park,London,UK,Separate resident and service cores with layered privacy façade,"Primary residential cores and secondary service cores separate staff movement, while privacy screens and a triple-glazed ventilated façade control views and comfort.","Privacy, service flows, façade",Architectural,RSHP project page,https://rshp.com/projects/residential/one-hyde-park/,"Architect source; service quality, costs and façade maintenance are not independently audited.","Flagship chapters 7, 8 and 10; case profile justified."
21,One Park Taipei,Taipei,Taiwan,"Low unit density, deep terraces and climate response","One or two apartments per floor, generous terraces and external shading translate privacy and climate into plan and façade decisions.","Apartment planning, privacy, shading",Architectural,RSHP project page,https://rshp.com/projects/residential/one-park-taipei/,Limited technical and operations information in the public source.,Flagship chapters 2 and 6.
22,One Barangaroo,Sydney,Australia,Twisting mixed-use tower with vertical core and helical perimeter columns,"A 60-degree twist is carried by helical perimeter columns around a vertical core, while hotel rooms and residences follow different stacking logics.","Structure, mixed use, arrival, façade",Architectural,WilkinsonEyre project page,https://wilkinsoneyre.com/projects/one-barangaroo,Architect source; building operations and service separation require additional evidence.,"Flagship chapters 5, 6 and 8."
23,Bosco Verticale,Milan,Italy,Landscape treated as common building infrastructure,"Vegetation is a shared asset, maintained centrally by specialist gardeners with remote irrigation rather than left to individual owners.","Façade, landscape, common property, maintenance",Architectural and operational description,Stefano Boeri Architetti,https://www.stefanoboeriarchitetti.net/en/project/vertical-forest/,Designer source; actual operating cost and plant replacement data are not published in full.,Flagship chapters 7 and 15; standalone profile justified.
24,Porsche Design Tower Miami,Sunny Isles Beach,USA,Vehicle lifts as residential circulation,"A dedicated automobile lift system transports residents and cars to parking beside residences, forcing unusual safety, traffic and maintenance coordination.","Car lifts, parking, logistics",Brand and developer description,Porsche Newsroom,https://newsroom.porsche.com/en/company/porsche-design-tower-miami-dezer-development-florida-real-estate-13527.html,"Marketing source. Use only to describe the declared system, not reliability or superiority.",Flagship chapters 4 and 8; no standalone profile until independent operating data is found.
25,Central Park Tower,New York,USA,Large hotel-style residential club as an operating program,"A multi-floor club combines pools, sports, wellness, dining, wine, events and dedicated staff, illustrating the operational load behind an amenities list.","Amenities, staffing, hospitality operations",Marketing and declared operations,Official project site,https://centralparktower.com/club,"Sales source. Useful for program scope, not for proving capacity, service quality or financial sustainability.",Flagship chapter 12; amenities deep dive.
26,One Sydney Harbour,Sydney,Australia,"Custom glazing and façade procurement tied to light, comfort and embodied carbon","The project developed triple-layer glazing for light, heat and glare control and reports lower-carbon aluminium procurement across the façade.","Façade, daylight, procurement, materials",Developer technical storytelling,Lendlease,https://www.lendlease.com/au/living/apartments/articles/human-centred-design/,Developer source; performance data and independent post-occupancy evidence are limited.,"Flagship chapters 7, 11 and 14; case profile may be justified after technical documents are secured."
27,Marina Bay Sands SkyPark,Singapore,Singapore,Allowing connected towers to move independently,"The SkyPark is divided into structural movement zones over three towers, with tuned dampers and full-scale vibration testing for wind and crowd comfort.","Structure, pool, movement, hospitality",Architectural and engineering,Safdie Architects and Arup,https://www.safdiearchitects.com/projects/marina-bay-sands-hotel-and-skypark,"Hospitality benchmark, not residential. Use for movement, pool and operational scale only.",Flagship chapters 5 and 12; world-projects article.
28,The Singapore EDITION and Boulevard 88,Singapore,Singapore,Hotel and residences joined and separated through gardens and a pool bridge,"A sunken garden separates and connects uses, while a ninth-floor skybridge carries a long pool, deck, bar and lounge between towers.","Hospitality-residential planning, pool, privacy",Architectural,Safdie Architects,https://www.safdiearchitects.com/projects/the-singapore-edition-and-boulevard-88,Architect and marketing-oriented source; service flows and plant access need technical verification.,Flagship chapters 8 and 12; world-projects article.
