source_id,name,publisher,source_type,date,country,supports,reliability,limitation,url
IL-05,Building control institutes,Planning Administration,Government explanatory page,"2021, observed 2026",Israel,Role of licensed control institutes in design and execution control,Very high,Applicability varies by project and current reform stage,https://www.gov.il/he/departments/general/about_control_institutes
IL-06,Waste storage design regulations,Planning Administration,Government regulation text,March 2020 book,Israel,"Waste rooms, chutes and service spaces",Very high,Check latest binding version and local authority requirements,https://www.gov.il/files/iplan/construction_regulation/80/
IL-07,XPLAN and planning information access,Planning Administration,Government public search service,Observed 2026,Israel,"Plans, applications, meetings and appeals",Very high,Public database can lag procedural events and does not replace permit file review,https://www.gov.il/en/service/searching-for-plans-and-applications-in-planning-database
CX-01,"Guideline 0 title, purpose and scope",ASHRAE,Professional guideline scope,Current page observed 2026,USA,Commissioning from predesign through warranty and verification against Owner Project Requirements,Very high,Not Israeli law; use as international benchmark,https://www.ashrae.org/technical-resources/standards-and-guidelines/titles-purposes-and-scopes
CX-02,"NIBS Guideline 3, Building Enclosure Commissioning",NIBS and WBDG,Professional guideline,2012,USA,"BECx process, early integration, field observation and testing",Very high,Older guideline and federal context; principles require local adaptation,https://www.wbdg.org/nibs/criteria/nibs-guideline-3
FM-01,ISO 41001:2018 Facility management,ISO,International standard abstract,"April 2018, amendment 2024, revision in progress 2026",International,"Strategic, tactical and operational facility management system",Very high,Standard is under revision; verify status before publication,https://www.iso.org/standard/68021.html
FM-02,"CIBSE Guide M, Maintenance engineering and management",CIBSE,Professional guide,September 2023,UK,Operation and maintenance of building services,Very high,"UK best practice, not Israeli law",https://www.cibse.org/knowledge-research/knowledge-portal/guide-m-maintenance-engineering-and-management-2023
LIFT-01,"CIBSE Guide D, Transportation Systems in Buildings",CIBSE,Professional guide,September 2025,UK,"Lift traffic, human factors, controls, maintenance, modernization and lifecycle",Very high,"UK and international benchmark, not project-specific code compliance in Israel",https://www.cibse.org/knowledge-research/knowledge-portal/guide-d-transportation-systems-in-buildings-2025/
POOL-01,Chloramines and Pool Operation,CDC,Public-health technical guidance,June 23 2025,USA,"Indoor pool chloramines, fresh air and exhaust over the water surface",Very high,Health and operation guidance; exact Israeli pool rules require local verification,https://www.cdc.gov/healthy-swimming/toolkit/chloramines-and-pool-operation.html
POOL-02,Preventing Eye Irritation from Pool Chemicals,CDC,Public-health guidance,May 28 2025,USA,"Respiratory, eye and skin irritation associated with chloramines",Very high,Not a full pool design standard,https://www.cdc.gov/healthy-swimming/prevention/preventing-eye-irritation-from-pool-chemicals.html
BMS-01,BTL Certification,BACnet International,Certification program,Observed 2026,International,Independent product compliance and interoperability testing for BACnet products,High,Industry organization; certification does not guarantee full project integration quality,https://bacnetinternational.org/btl-certification/
BMS-02,BACnet FAQs and interoperability,BACnet International,Technical FAQ,Observed 2026,International,"Differences between protocol capability, product functions and BTL certification",High,"Industry source, not an independent cyber-risk audit",https://bacnetinternational.org/faq/
STONE-01,Natural stone technical resources and ASTM tests,Natural Stone Institute,Professional technical resource,Observed 2026,USA and international,"Selection of stone tests by application, absorption, strength, abrasion, anchorage and exposure",High,ASTM-based; Israeli specification and laboratory route must be verified,https://www.naturalstoneinstitute.org/technical-resources/standards-testing/
CASE-01,111 West 57th Street,WSP,Project engineering page,Observed 2026,USA,"Shear walls, slenderness and tuned mass damper",High for declared design,Project-team source,https://www.wsp.com/en-nz/projects/111-west-57th-street-new-york
CASE-02,56 Leonard,WSP,Project engineering page,Observed 2026,USA,Outriggers and water slosh damper,High for declared design,Project-team source,https://www.wsp.com/en-gb/projects/56-leonard
CASE-03,One Dalton,WSP,Project engineering page,"Completed 2019, observed 2026",USA,"Mixed-use MEP, controls and commissioning",High for declared design,No independent post-occupancy evaluation,https://www.wsp.com/en-kr/projects/one-dalton
CASE-04,Złota 44,Arup,Project engineering page,Observed 2026,Poland,"HVAC, plumbing acoustics, heat recovery to pool and home management",High for declared design,Current technology support must be rechecked,https://www.arup.com/projects/zlota-44-residential-tower/
CASE-05,Bosco Verticale,Stefano Boeri Architetti,Project and maintenance description,Observed 2026,Italy,Centralized vegetation maintenance and irrigation,High for declared operating model,Costs and performance not independently audited,https://www.stefanoboeriarchitetti.net/en/project/vertical-forest/
CASE-06,One Hyde Park,RSHP,Project architecture page,"2003-2011, observed 2026",UK,"Service cores, privacy screens and layered façade",High for declared design,No operating-cost evidence,https://rshp.com/projects/residential/one-hyde-park/
CASE-07,One Sydney Harbour human-centred façade,Lendlease,Developer technical article,Observed 2026,Australia,"Custom glazing, light, heat, glare and acoustics",Medium-high,Developer source and marketing context,https://www.lendlease.com/au/living/apartments/articles/human-centred-design/
CASE-08,Marina Bay Sands Hotel and SkyPark,Safdie Architects,Project architecture page,Observed 2026,Singapore,Movement zones over three towers and elevated pool program,High for declared design,Hospitality rather than residential,https://www.safdiearchitects.com/projects/marina-bay-sands-hotel-and-skypark
