claim,source_url,date
"A TAG listing advertises 450-6,000 sqm at NIS 180-250 rent NIS 24 management and NIS 1,200 parking but conflicts with official timing and floor-plate evidence","https://tagassets.co.il/offices-for-rent-in-tel-aviv/%D7%9E%D7%A9%D7%A8%D7%93%D7%99%D7%9D-%D7%9C%D7%94%D7%A9%D7%9B%D7%A8%D7%94-%D7%91%D7%9E%D7%92%D7%93%D7%9C-toha-2-2/","2026-08-08"
"A DH broker page advertises NIS 100-150 rent NIS 18 management NIS 1,300 parking and a 2,750 sqm floor; these are asks not landlord terms","https://dh-nadlan.co.il/towers/%D7%9E%D7%92%D7%93%D7%9C-%D7%AA%D7%95%D7%94%D7%90-2/","2026-08-08"
"SQM estimates full-fit-out ToHa2 space around NIS 200 per sqm but appears to mix complex-level amenities and is not a signed deal","https://sqmteam.com/blog/toha-offices","2026-06-13"
"Live Google Chrome query used for English intent research: office space Tel Aviv","https://www.google.com/search?q=office%20space%20Tel%20Aviv&hl=en&gl=il&pws=0","2026-08-08"
"Live Google Chrome query used for Hebrew intent research: משרדים להשכרה תל אביב","https://www.google.com/search?q=%D7%9E%D7%A9%D7%A8%D7%93%D7%99%D7%9D%20%D7%9C%D7%94%D7%A9%D7%9B%D7%A8%D7%94%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91&hl=he&gl=il&pws=0","2026-08-08"
"Live Google Chrome query used for French intent research: bureaux à louer Tel Aviv","https://www.google.com/search?q=bureaux%20%C3%A0%20louer%20Tel%20Aviv&hl=fr&gl=il&pws=0","2026-08-08"
"Live Google Chrome query used for Russian intent research: аренда офиса Тель-Авив","https://www.google.com/search?q=%D0%B0%D1%80%D0%B5%D0%BD%D0%B4%D0%B0%20%D0%BE%D1%84%D0%B8%D1%81%D0%B0%20%D0%A2%D0%B5%D0%BB%D1%8C-%D0%90%D0%B2%D0%B8%D0%B2&hl=ru&gl=il&pws=0","2026-08-08"
"Live Google Chrome query used for Arabic intent research: مكاتب للإيجار في تل أبيب","https://www.google.com/search?q=%D9%85%D9%83%D8%A7%D8%AA%D8%A8%20%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1%20%D9%81%D9%8A%20%D8%AA%D9%84%20%D8%A3%D8%A8%D9%8A%D8%A8&hl=ar&gl=il&pws=0","2026-08-08"
"Live Google Chrome tower query used for entity intent: ToHa2 Tel Aviv offices","https://www.google.com/search?q=ToHa2%20Tel%20Aviv%20offices&hl=en&gl=il&pws=0","2026-08-08"
"Crowne Plaza Tel Aviv City Center directions page is used only as a nearby-hotel reference and not as a ToHa2 service claim","https://www.ihg.com/crowneplaza/hotels/us/en/tel-aviv/tlvcc/hoteldetail/directions","2026-08-08"
"Tel Aviv's official 2026 arnona order supplies the cited zone and classification rates; final liability depends on municipal classification","https://www.tel-aviv.gov.il/Residents/Arnona/Documents/%D7%97%D7%95%D7%91%D7%A8%D7%AA%20%D7%A6%D7%95%20%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94%20%D7%9C%D7%A9%D7%A0%D7%AA-2026.pdf","2025-06-16"
"The 2022 Google LOI described 55,000 sqm plus an option for 20,000 sqm and about NIS 105 million annual rent; it was superseded by the 2024 signed structure","https://mayafiles.tase.co.il/RHtm/1485001-1486000/H1485310.htm","2022-11-09"
"A 2021 launch report described design intent for EV charging infrastructure capable of serving 100% of cars; it does not prove installed active chargers at handover","https://www.funder.co.il/article/124338","2021-10-25"
"Government workplace-accessibility guidance provides the cited compliance context for an occupier's fit-out and employment process","https://www.gov.il/he/pages/inclusion_people_with_disabilities_employment?chapterIndex=3","2025-07-09"
