slug,page_title,source_title,source_type,source_url,scope_note,access_date
northwest-3700,צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני,עיריית תל אביב-יפו: צפון מערב 3700,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/NorthWest.aspx,"חזון, חמישה צוותים ועקרונות",2026-08-18
northwest-3700,צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני,עיריית תל אביב-יפו: תכנית מתחם 2 בצפון מערב,עדכון מתחם,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=126&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,דוגמה למידע ברמת מתחם,2026-08-18
northwest-3700,צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני,עיריית תל אביב-יפו: תכנית מתחם 5 בצפון מערב,עדכון מתחם,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=129&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,דוגמה נוספת לתכנון מפורט,2026-08-18
northwest-3700,צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני,מערכת מידע תכנוני מינהל התכנון,מערכת סטטוטורית,https://mavat.iplan.gov.il/,איתור מסמכים לפי מספר תכנית,2026-08-18
kikar-atarim,"עיר כיכר ים: העתיד של כיכר אתרים, המרינה ובריכת גורדון",עיריית תל אביב-יפו: עיר כיכר ים,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/KikarAtarim.aspx,"מדיניות, שיתוף ציבור וחומרי תכנון",2026-08-18
kikar-atarim,"עיר כיכר ים: העתיד של כיכר אתרים, המרינה ובריכת גורדון",מערכת מידע תכנוני מינהל התכנון,מערכת סטטוטורית,https://mavat.iplan.gov.il/,"בדיקת הפקדה, תוקף ומסמכי תכנית",2026-08-18
kikar-atarim,"עיר כיכר ים: העתיד של כיכר אתרים, המרינה ובריכת גורדון",מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"גבולות, שכבות ותכניות באזור החוף",2026-08-18
kfir-renewal,התחדשות שכונת כפיר: מן החצר המרכזית לתכנית מפורטת,עיריית תל אביב-יפו: התחדשות שכונת כפיר,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/kfirrenewal.aspx,"רקע, מדיניות ותכנית תא/מק/5081",2026-08-18
kfir-renewal,התחדשות שכונת כפיר: מן החצר המרכזית לתכנית מפורטת,מערכת מידע תכנוני מינהל התכנון,מערכת סטטוטורית,https://mavat.iplan.gov.il/,"איתור הוראות, תשריט וסטטוס התכנית",2026-08-18
kfir-renewal,התחדשות שכונת כפיר: מן החצר המרכזית לתכנית מפורטת,עיריית תל אביב-יפו: התחדשות עירונית,מדריך עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/UrbanRenewal.aspx,מסלולים ומידע כללי לדיירים,2026-08-18
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה,עיריית תל אביב-יפו: איחוד וחלוקה בשכונת התקווה,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/ReParacelationHatikva.aspx,"רקע, מושע, השקעה ומהלך כולל",2026-08-18
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה,עיריית תל אביב-יפו: תכנית חלקה 1 קיבלה תוקף,עדכון 2026,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=419&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,"תא/מק/4691, 25.1.2026",2026-08-18
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה,מערכת מידע תכנוני מינהל התכנון,מערכת סטטוטורית,https://mavat.iplan.gov.il/,"מסמכי תכנית, תוקף וטבלאות",2026-08-18
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה,הרשות לרישום והסדר זכויות מקרקעין,מקור ממשלתי,https://www.gov.il/he/departments/land_registration/govil-landing-page,מידע על רישום ונסחים,2026-08-18
southeast-renewal,"ניר אביב, נווה חן ונווה אליעזר: התחדשות בלי למחוק את כל הקיים","עיריית תל אביב-יפו: ניר אביב, נווה חן ונווה אליעזר",מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/KfarShalemSurrounding.aspx,מסמך המדיניות והגישה המשולבת,2026-08-18
southeast-renewal,"ניר אביב, נווה חן ונווה אליעזר: התחדשות בלי למחוק את כל הקיים",עיריית תל אביב-יפו: התחדשות עירונית,מדריך עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/UrbanRenewal.aspx,מידע על מסלולים וכלים,2026-08-18
southeast-renewal,"ניר אביב, נווה חן ונווה אליעזר: התחדשות בלי למחוק את כל הקיים",מערכת מידע תכנוני מינהל התכנון,מערכת סטטוטורית,https://mavat.iplan.gov.il/,בדיקת תכניות פרטניות,2026-08-18
levana-renewal,שכונת לבנה: התחדשות בקצה פארק בגין,עיריית תל אביב-יפו: התחדשות עירונית בשכונת לבנה,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/Levana.aspx,"רקע, מדיניות ושיתוף ציבור",2026-08-18
levana-renewal,שכונת לבנה: התחדשות בקצה פארק בגין,עיריית תל אביב-יפו: תכניות אב ומדיניות,מסגרת תכנונית,https://www.tel-aviv.gov.il/Residents/Development/Pages/BluprintsAndPolicy.aspx,הסבר על תפקיד מסמכי מדיניות,2026-08-18
levana-renewal,שכונת לבנה: התחדשות בקצה פארק בגין,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"בדיקת תכניות, מגרשים ושטחים ציבוריים",2026-08-18
ramat-hatayasim,רמת הטייסים: איך מחדשים קיבוץ עירוני ליד הקו הסגול,עיריית תל אביב-יפו: התחדשות רמת הטייסים,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/RamatHatayasim.aspx,"רקע, מדיניות, מבנה השכונה ועדכון 2024",2026-08-18
ramat-hatayasim,רמת הטייסים: איך מחדשים קיבוץ עירוני ליד הקו הסגול,נת״ע: הקו הסגול,תחבורה,https://www.nta.co.il/line/%D7%94%D7%A7%D7%95-%D7%94%D7%A1%D7%92%D7%95%D7%9C/,מידע על מערכת הרכבת הקלה,2026-08-18
ramat-hatayasim,רמת הטייסים: איך מחדשים קיבוץ עירוני ליד הקו הסגול,מערכת מידע תכנוני מינהל התכנון,מערכת סטטוטורית,https://mavat.iplan.gov.il/,בדיקת תכניות מפורטות,2026-08-18
florentin,"פלורנטין מתחדשת: רחובות, שימור, הליכה ומגורים בצפיפות גבוהה",עיריית תל אביב-יפו: התחדשות עירונית בפלורנטין,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/Florentin.aspx,רשימת תהליכי התכנון המרכזיים,2026-08-18
florentin,"פלורנטין מתחדשת: רחובות, שימור, הליכה ומגורים בצפיפות גבוהה",נת״ע: הקו הסגול,תחבורה,https://www.nta.co.il/line/%D7%94%D7%A7%D7%95-%D7%94%D7%A1%D7%92%D7%95%D7%9C/,רקע לעבודות ברחוב העלייה,2026-08-18
florentin,"פלורנטין מתחדשת: רחובות, שימור, הליכה ומגורים בצפיפות גבוהה",עיריית תל אביב-יפו: תכניות פיתוח תשתיות 2026,מעקב ביצוע,https://www.tel-aviv.gov.il/Residents/Development/Pages/Infrastructure.aspx,בדיקת עבודות רחוב עדכניות,2026-08-18
neot-afeka-b,"נאות אפקה ב׳: התחדשות בין שיכונים, מרכז מסחרי ומגדלי גבעת הפרחים",עיריית תל אביב-יפו: תכנון ופיתוח נאות אפקה ב׳,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/NeotAfekaBRenovation.aspx,"רקע, מדיניות ושיתוף ציבור",2026-08-18
neot-afeka-b,"נאות אפקה ב׳: התחדשות בין שיכונים, מרכז מסחרי ומגדלי גבעת הפרחים",מערכת שיתוף הציבור העירונית,שיתוף ציבור,https://shituf.tel-aviv.gov.il/,בדיקת הליכים פתוחים ועדכונים,2026-08-18
neot-afeka-b,"נאות אפקה ב׳: התחדשות בין שיכונים, מרכז מסחרי ומגדלי גבעת הפרחים",מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,גבולות ותכניות חלות,2026-08-18
neve-avivim,נווה אביבים: התחדשות מדודה לשכונה ירוקה ומבוססת,עיריית תל אביב-יפו: תכנון ופיתוח שכונת נווה אביבים,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/NeveAvivim.aspx,"סטטוס המדיניות, גבולות, צוות התכנון ותהליך ההיוועצות",2026-08-18
neve-avivim,נווה אביבים: התחדשות מדודה לשכונה ירוקה ומבוססת,עיריית תל אביב-יפו: תכנית המתאר מתעדכנת,מסגרת עירונית,https://www.tel-aviv.gov.il/Residents/Development/Pages/OutlineUpdate.aspx,הקשר בין תכנית מתאר כוללנית לתכניות מפורטות,2026-08-18
neve-avivim,נווה אביבים: התחדשות מדודה לשכונה ירוקה ומבוססת,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"בדיקת גבולות, מגרשים ושכבות מידע",2026-08-18
neve-avivim,נווה אביבים: התחדשות מדודה לשכונה ירוקה ומבוססת,אינדקס פרויקטים חדשים,אינדקס עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/NewNeighborhoods.aspx,מיקום העמוד במפת התוכן העירונית,2026-08-18
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,עיריית תל אביב-יפו: התחדשות עירונית בשכונת יד אליהו,עמוד עירוני לא נגיש,https://www.tel-aviv.gov.il/Residents/Development/Pages/YadEliyahu.aspx,העמוד החזיר 401 בעת הבדיקה ביום 18.8.2026,2026-08-18
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,עיריית תל אביב-יפו: תכניות אב ומדיניות,מדיניות עירונית,https://www.tel-aviv.gov.il/Residents/Development/Pages/BluprintsAndPolicy.aspx,מסמכי מדיניות רובעיים והקשר תכנוני,2026-08-18
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,עיריית תל אביב-יפו: התחדשות עירונית,שירות ומאגר עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/UrbanRenewal.aspx,"מתחמים, מידע וסיוע לתושבים",2026-08-18
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,עיריית תל אביב-יפו: התכנית הכוללת להתחדשות עירונית תא/5555,תכנון עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/KoleletTlv.aspx,מסגרת עירונית משלימה להתחדשות מבנים ומרחב ציבורי,2026-08-18
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,עיריית תל אביב-יפו: התחדשות מרחב לה גוארדיה 35-45,תכנית נקודתית,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=425&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,דוגמה לתכנית שמיישמת עקרונות רובעיים במתחם מסוים,2026-08-18
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"איתור תכניות לפי כתובת, גוש וחלקה",2026-08-18
carmel-market,שוק הכרמל: לשפץ תשתיות בלי לעצור את הדופק,עיריית תל אביב-יפו: שוק הכרמל,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/CarmelMarket.aspx,"שלבי הפרויקט, שיטת הביצוע, השוק המערבי וזכויות הסוחרים",2026-08-18
carmel-market,שוק הכרמל: לשפץ תשתיות בלי לעצור את הדופק,"עיריית תל אביב-יפו: עבודות לחידוש שוק הכרמל, 21.6.2026",עדכון עבודות,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=24763&ListID=5a9823a9-22cf-40a3-8a59-e9f3305db983&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,עדכון שטח נוכחי שנמצא בעת הבדיקה,2026-08-18
carmel-market,שוק הכרמל: לשפץ תשתיות בלי לעצור את הדופק,עיריית תל אביב-יפו: עבודות תשתית בשוק הכרמל המערבי,עדכון עבודות,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=22454&ListID=5a9823a9-22cf-40a3-8a59-e9f3305db983&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,מידע על עבודות במרחב המערבי,2026-08-18
carmel-market,שוק הכרמל: לשפץ תשתיות בלי לעצור את הדופק,עיריית תל אביב-יפו: תכנית עיצוב לשיקום השוק המערבי,תכנון ועיצוב,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=273&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,תכנית עיצוב שאושרה בוועדה המקומית בשנת 2022,2026-08-18
carmel-market,שוק הכרמל: לשפץ תשתיות בלי לעצור את הדופק,עיריית תל אביב-יפו: תכניות פיתוח תשתיות לשנת 2026,מעקב ביצוע,https://www.tel-aviv.gov.il/Residents/Development/Pages/Infrastructure.aspx,טבלה עירונית דינמית לבדיקת פרויקטים,2026-08-18
central-station,"התחנה המרכזית החדשה: לתכנן את היום שאחרי, עוד לפני שהוא מגיע",עיריית תל אביב-יפו: התחדשות התחנה המרכזית,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/CentralStation.aspx,"מטרות המדיניות, ההפרדה מפינוי האוטובוסים, החזון ושיתוף הציבור",2026-08-18
central-station,"התחנה המרכזית החדשה: לתכנן את היום שאחרי, עוד לפני שהוא מגיע",עיריית תל אביב-יפו: פיתוח תשתיות,מעקב עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/Development.aspx,עדכוני עבודות ותשתיות משתנים,2026-08-18
central-station,"התחנה המרכזית החדשה: לתכנן את היום שאחרי, עוד לפני שהוא מגיע",עיריית תל אביב-יפו: תכנית המתאר מתעדכנת,מסגרת תכנון,https://www.tel-aviv.gov.il/Residents/Development/Pages/OutlineUpdate.aspx,"הקשר בין מדיניות עירונית, תכנית כוללנית ותכניות מפורטות",2026-08-18
central-station,"התחנה המרכזית החדשה: לתכנן את היום שאחרי, עוד לפני שהוא מגיע",מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"בדיקת גבולות, תכניות ותשתיות בסביבת התחנה",2026-08-18
central-station,"התחנה המרכזית החדשה: לתכנן את היום שאחרי, עוד לפני שהוא מגיע",אינדקס פרויקטים חדשים,אינדקס עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/NewNeighborhoods.aspx,מיקום העמוד במפת התוכן העירונית,2026-08-18
how-planning-works,איך קוראים תכנית עירונית בלי להתבלבל בין חזון להיתר,עיריית תל אביב-יפו: תכנית המתאר מתעדכנת,מסגרת תכנון,https://www.tel-aviv.gov.il/Residents/Development/Pages/OutlineUpdate.aspx,מעמד תא/5500 וההבהרה שלא ניתן להוציא מכוחה היתר ישיר,2026-08-18
how-planning-works,איך קוראים תכנית עירונית בלי להתבלבל בין חזון להיתר,עיריית תל אביב-יפו: תכניות אב ומדיניות,מסמכי מדיניות,https://www.tel-aviv.gov.il/Residents/Development/Pages/BluprintsAndPolicy.aspx,דוגמאות למסמכי תכנון מנחים,2026-08-18
how-planning-works,איך קוראים תכנית עירונית בלי להתבלבל בין חזון להיתר,מינהל התכנון: מערכת מידע תכנוני מבא״ת,מערכת סטטוטורית,https://mavat.iplan.gov.il/,"איתור תכניות, סטטוס ומסמכים",2026-08-18
how-planning-works,איך קוראים תכנית עירונית בלי להתבלבל בין חזון להיתר,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"איתור כתובת, גוש, חלקה ושכבות תכנון",2026-08-18
how-planning-works,איך קוראים תכנית עירונית בלי להתבלבל בין חזון להיתר,עיריית תל אביב-יפו: מסמכי מדיניות,מאגר עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/PolicyDocuments.aspx,גישה למסמכי מדיניות לפי נושא,2026-08-18
infrastructure-2026,תשתיות תל אביב 2026: איך עוקבים אחרי עבודה אמיתית ברחוב,עיריית תל אביב-יפו: תכניות פיתוח תשתיות לשנת 2026,טבלה עירונית דינמית,https://www.tel-aviv.gov.il/Residents/Development/Pages/Infrastructure.aspx,"מאגר הפרויקטים השנתי, שדורש פתיחה וסינון בדפדפן",2026-08-18
infrastructure-2026,תשתיות תל אביב 2026: איך עוקבים אחרי עבודה אמיתית ברחוב,עיריית תל אביב-יפו: פיתוח תשתיות,הודעות ועדכונים,https://www.tel-aviv.gov.il/Residents/Development/Pages/Development.aspx,מבזקי עבודה משתנים לפי תאריך,2026-08-18
infrastructure-2026,תשתיות תל אביב 2026: איך עוקבים אחרי עבודה אמיתית ברחוב,עיריית תל אביב-יפו: עבודות תשתית בעיר,חסימות והסדרי תנועה,https://www.tel-aviv.gov.il/Residents/Transportation/Pages/ClosedRoads.aspx,מידע נקודתי על חסימות ותנועה,2026-08-18
infrastructure-2026,תשתיות תל אביב 2026: איך עוקבים אחרי עבודה אמיתית ברחוב,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,בדיקת מיקום ומקטע,2026-08-18
public-buildings,מבני ציבור בעיר מתחדשת: מה צריך להגיע לפני המפתח לדירה,עיריית תל אביב-יפו: בינוי ופיתוח מוסדות ציבור,טבלה עירונית דינמית,https://www.tel-aviv.gov.il/Residents/Development/Pages/InfrastructuresOfPublicInstitutions.aspx,"מאגר פרויקטים של מוסדות ציבור, שדורש פתיחה וסינון בדפדפן",2026-08-18
public-buildings,מבני ציבור בעיר מתחדשת: מה צריך להגיע לפני המפתח לדירה,עיריית תל אביב-יפו: תכנית המתאר מתעדכנת,מסגרת תכנון,https://www.tel-aviv.gov.il/Residents/Development/Pages/OutlineUpdate.aspx,"הקשר בין גידול עירוני, שימושי ציבור ותכניות מפורטות",2026-08-18
public-buildings,מבני ציבור בעיר מתחדשת: מה צריך להגיע לפני המפתח לדירה,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"איתור מגרשי ציבור, מוסדות ושכבות תכנון",2026-08-18
public-buildings,מבני ציבור בעיר מתחדשת: מה צריך להגיע לפני המפתח לדירה,עיריית תל אביב-יפו: פיתוח תשתיות,עדכוני ביצוע,https://www.tel-aviv.gov.il/Residents/Development/Pages/Development.aspx,הודעות על עבודות ושינויים בשטח,2026-08-18
