source_url,syntax_status,observed_access,used_by_slugs,source_types,source_titles,verification_note
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=336&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,sde-dov,עדכון תכנוני,עיריית תל אביב-יפו: מרכז רובע שדה דב יוצא לדרך,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=345&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,sde-dov,עדכון תכנוני,עיריית תל אביב-יפו: צפון רובע שדה דב יוצא לדרך,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=419&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,hatikva-reparcelation,עדכון 2026,עיריית תל אביב-יפו: תכנית חלקה 1 קיבלה תוקף,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=425&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,yad-eliyahu,תכנית נקודתית,עיריית תל אביב-יפו: התחדשות מרחב לה גוארדיה 35-45,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/Ayalon.aspx,valid-http-url,not-batch-http-tested-in-build,ayalon-roof,מקור עירוני,עיריית תל אביב-יפו: קירוי איילון,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/BluprintsAndPolicy.aspx,valid-http-url,not-batch-http-tested-in-build,how-planning-works | levana-renewal | yad-eliyahu,מדיניות עירונית | מסגרת תכנונית | מסמכי מדיניות,עיריית תל אביב-יפו: תכניות אב ומדיניות,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/CarmelMarket.aspx,valid-http-url,not-batch-http-tested-in-build,carmel-market,מקור עירוני,עיריית תל אביב-יפו: שוק הכרמל,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/CentralStation.aspx,valid-http-url,not-batch-http-tested-in-build,central-station,מקור עירוני,עיריית תל אביב-יפו: התחדשות התחנה המרכזית,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/Development.aspx,valid-http-url,not-batch-http-tested-in-build,central-station | infrastructure-2026 | public-buildings,הודעות ועדכונים | מעקב עירוני | עדכוני ביצוע,עיריית תל אביב-יפו: פיתוח תשתיות,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/Florentin.aspx,valid-http-url,not-batch-http-tested-in-build,florentin,מקור עירוני,עיריית תל אביב-יפו: התחדשות עירונית בפלורנטין,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/Infrastructure.aspx,valid-http-url,not-batch-http-tested-in-build,ayalon-roof | carmel-market | florentin | infrastructure-2026,טבלה עירונית דינמית | מעקב ביצוע,עיריית תל אביב-יפו: תכניות פיתוח תשתיות 2026 | עיריית תל אביב-יפו: תכניות פיתוח תשתיות לשנת 2026,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/InfrastructuresOfPublicInstitutions.aspx,valid-http-url,not-batch-http-tested-in-build,public-buildings,טבלה עירונית דינמית,עיריית תל אביב-יפו: בינוי ופיתוח מוסדות ציבור,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/KfarShalemSurrounding.aspx,valid-http-url,not-batch-http-tested-in-build,southeast-renewal,מקור עירוני,"עיריית תל אביב-יפו: ניר אביב, נווה חן ונווה אליעזר","תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/KikarAtarim.aspx,valid-http-url,not-batch-http-tested-in-build,kikar-atarim,מקור עירוני,עיריית תל אביב-יפו: עיר כיכר ים,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/KoleletTlv.aspx,valid-http-url,not-batch-http-tested-in-build,yad-eliyahu,תכנון עירוני,עיריית תל אביב-יפו: התכנית הכוללת להתחדשות עירונית תא/5555,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/Levana.aspx,valid-http-url,not-batch-http-tested-in-build,levana-renewal,מקור עירוני,עיריית תל אביב-יפו: התחדשות עירונית בשכונת לבנה,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/NeotAfekaBRenovation.aspx,valid-http-url,not-batch-http-tested-in-build,neot-afeka-b,מקור עירוני,עיריית תל אביב-יפו: תכנון ופיתוח נאות אפקה ב׳,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/NeveAvivim.aspx,valid-http-url,not-batch-http-tested-in-build,neve-avivim,מקור עירוני,עיריית תל אביב-יפו: תכנון ופיתוח שכונת נווה אביבים,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/NewNeighborhoods.aspx,valid-http-url,not-batch-http-tested-in-build,ayalon-roof | central-station | neve-avivim,אינדקס עירוני,אינדקס פרויקטים חדשים,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/NorthWest.aspx,valid-http-url,not-batch-http-tested-in-build,northwest-3700,מקור עירוני,עיריית תל אביב-יפו: צפון מערב 3700,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/OutlineUpdate.aspx,valid-http-url,not-batch-http-tested-in-build,central-station | how-planning-works | neve-avivim | public-buildings,מסגרת עירונית | מסגרת תכנון,עיריית תל אביב-יפו: תכנית המתאר מתעדכנת,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/PolicyDocuments.aspx,valid-http-url,not-batch-http-tested-in-build,how-planning-works,מאגר עירוני,עיריית תל אביב-יפו: מסמכי מדיניות,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/RamatHatayasim.aspx,valid-http-url,not-batch-http-tested-in-build,ramat-hatayasim,מקור עירוני,עיריית תל אביב-יפו: התחדשות רמת הטייסים,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/ReParacelationHatikva.aspx,valid-http-url,not-batch-http-tested-in-build,hatikva-reparcelation,מקור עירוני,עיריית תל אביב-יפו: איחוד וחלוקה בשכונת התקווה,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDov.aspx,valid-http-url,not-batch-http-tested-in-build,sde-dov | sde-dov-participation,מקור עירוני | רקע תכנוני,עיריית תל אביב-יפו: רובע שדה דב,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDovPublicParticipation.aspx,valid-http-url,not-batch-http-tested-in-build,sde-dov-participation,מקור עירוני,"עיריית תל אביב-יפו: שדה דב, שיתוף ועדכון הציבור","תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/UrbanRenewal.aspx,valid-http-url,not-batch-http-tested-in-build,kfir-renewal | southeast-renewal | yad-eliyahu,מדריך עירוני | שירות ומאגר עירוני,עיריית תל אביב-יפו: התחדשות עירונית,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Development/Pages/YadEliyahu.aspx,valid-http-url,401-observed-during-research,yad-eliyahu,עמוד עירוני לא נגיש,עיריית תל אביב-יפו: התחדשות עירונית בשכונת יד אליהו,הכתובת הישירה של יד אליהו לא הייתה נגישה. אין להסיק מכך שהמקור הוסר לצמיתות.
https://www.tel-aviv.gov.il/Residents/Development/Pages/kfirrenewal.aspx,valid-http-url,not-batch-http-tested-in-build,kfir-renewal,מקור עירוני,עיריית תל אביב-יפו: התחדשות שכונת כפיר,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Residents/Transportation/Pages/ClosedRoads.aspx,valid-http-url,not-batch-http-tested-in-build,infrastructure-2026,חסימות והסדרי תנועה,עיריית תל אביב-יפו: עבודות תשתית בעיר,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
