tower,section,field,value,status,source_url
"The Park","קומות","Highzone","1,740 מ""ר","שיווק רשמי","https://allied-re.co.il/project/the-park/"
"The Park","חניה","מקומות חניה","כ-1,000; 4 מפלסים תת-קרקעיים","אתר אמות וחוברת רשמית","https://www.amot.co.il/assets-list/offices/amot-halehi/ | https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf"
"The Park","קיימות","תקן","LEED Platinum לפי הצהרת היזמים; לא אותרה תעודת USGBC סופית","הצהרת יזם","https://www.amot.co.il/assets-list/offices/amot-halehi/ | https://allied-re.co.il/project/the-park/"
"The Park","מיקום","GovMap","32.1036709011, 34.8296395759","נקודת כתובת","https://www.govmap.gov.il/?c=34.82963957588966,32.10367090107063&z=12"
"The Park","מיקום","OSM polygon center","32.1044001, 34.8295595","מיפוי קהילתי","https://www.openstreetmap.org/way/1250289015"
"The Park","שיווק","קשר אלייד","*2013; office@allied.co.il","רשמי","https://allied-re.co.il/project/the-park/"
"The Park","שיווק","קשר אמות","*2668; marketing@amot.com; גליה רביד 050-7765557","רשמי","https://amot.co.il/ | https://www.amot.co.il/assets-list/offices/amot-halehi/"
"ToHa2","נתוני יסוד","בעלות","אמות 50%; גב-ים 50%","רשמי","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf"
"ToHa2","נתוני יסוד","קומות","75 לפי אמות; 77 ו-80 באותו עמוד גב-ים; 77 לפי רון ארד; 76 לפי CTBUH; 78 לפי ויקיפדיה","סתירה בין מקורות","https://amot.co.il/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/ | https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/ | https://ronarad.com/projects/toha2/ | https://www.skyscrapercenter.com/building/toha-tower-2/27419"
"ToHa2","נתוני יסוד","גובה","298.2 מטר לפי CTBUH; 303.6 מטר לפי ויקיפדיה","סתירה בין מקורות","https://www.skyscrapercenter.com/building/toha-tower-2/27419 | https://he.wikipedia.org/wiki/%D7%9E%D7%92%D7%93%D7%9C%D7%99_%D7%AA%D7%95%D7%A6%D7%A8%D7%AA_%D7%94%D7%90%D7%A8%D7%A5"
"ToHa2","נתוני יסוד","שטח עילי לשיווק","156,000 מ""ר","דיווח כספי רשמי ל-31.3.2026","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf"
"ToHa2","נתוני יסוד","שטח חלופי","160,000 מ""ר עילי באתר אמות; 165,000 מ""ר משרד ועסקים בגב-ים; 100,000 מ""ר נטו אצל רון ארד","הגדרות שונות","https://amot.co.il/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/ | https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/ | https://ronarad.com/projects/toha2/"
"ToHa2","נתוני יסוד","חניה תת-קרקעית","כ-45,000 מ""ר; אין מספר חניות עדכני למגדל בלבד","רשמי","https://mayafiles.tase.co.il/rpdf/1741001-1742000/P1741400-00.pdf"
"ToHa2","נתוני יסוד","אדריכלים","Ron Arad Architects; Yashar Architects ואבנר ישר","רשמי","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/ | https://ronarad.com/projects/toha2/"
"ToHa2","נתוני יסוד","השלמה ואכלוס","טופס 4 וסיום בנייה בסוף 2026; Q4 2026 לפי גב-ים; אכלוס Q1 2027 לפי אמות","לוחות זמנים שונים","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf | https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/ | https://amot.co.il/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/"
"ToHa2","נתוני יסוד","השקעה","3.45 מיליארד ש""ח לפי מצגת אמות; 3.4 מיליארד ש""ח לפי נכסים ובניין; 3 מיליארד ש""ח באתר אמות","סתירה בין מקורות","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf | https://mayafiles.tase.co.il/rpdf/1741001-1742000/P1741400-00.pdf | https://amot.co.il/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/"
"ToHa2","משקיע","NOI ותשואה חזויים","315 מיליון ש""ח ו-9.2% לפי אמות; 300 מיליון ש""ח ו-8.8% לפי נכסים ובניין","סתירה בין מקורות","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf | https://mayafiles.tase.co.il/rpdf/1741001-1742000/P1741400-00.pdf"
"ToHa2","שיווק","שיעור חוזים","45% לפי דוח אמות; 43% לפי גלובס","סתירה בין מקורות","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf | https://www.globes.co.il/news/article.aspx?did=1001544585"
"ToHa2","שיווק","שטח תחת חוזים בחישוב","כ-70 אלף מ""ר לפי 45%; כ-67 אלף מ""ר לפי 43%","חישוב מעוגל; לא נתון חברה","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf | https://www.globes.co.il/news/article.aspx?did=1001544585"
"ToHa2","שיווק","יתרה ללא חוזה בחישוב","כ-86 אלף מ""ר לפי 45%; כ-89 אלף מ""ר לפי 43%","חישוב מעוגל; לא נתון חברה","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf | https://www.globes.co.il/news/article.aspx?did=1001544585"
"ToHa2","שיווק","Google","כ-60,000 מ""ר מעטפת; כמה מאות חניות; 10 שנים; יציאה אחרי 5; תחילה Q1 2027","עסקה חתומה","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf"
"ToHa2","שיווק","דמי שכירות Google","115 מיליון ש""ח לשנה במקור; כ-120 מיליון ש""ח צמוד מדד בדוח 2026","רשמי; כולל חניה","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf | https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf"
"ToHa2","שיווק","אומדן מחיר Google","145-155 ש""ח למ""ר לחודש","אומדן עיתונאי; לא מחיר רשמי","https://www.bizportal.co.il/capitalmarket/news/article/830470"
"ToHa2","שיווק","ציפיית מחיר גמר מלא","כ-200 ש""ח למ""ר לחודש","אתר תיווך; לא עסקה חתומה","https://sqmteam.com/blog/toha-offices"
"ToHa2","קומות","קומה טיפוסית","מעל 30,000 רגל רבועה ברוטו, כ-2,787 מ""ר בהמרה; 2,500-3,000 מ""ר לפי גלובס","מקורות אדריכל ועיתונות","https://ronarad.com/projects/toha2/ | https://www.globes.co.il/news/article.aspx?did=1001482550"
"ToHa2","לובי","מפרט","6 אזורי תחבורה אנכית; 2 לובי שמיים; לובי כניסה כ-20 מטר; גשר בגובה כ-100 מטר","אדריכל","https://ronarad.com/projects/toha2/"
"ToHa2","קיימות","תקן","LEED Platinum לפי גב-ים; לא אותרה תעודת USGBC סופית","הצהרת יזם","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/"
"ToHa2","מיקום","סמן גב-ים","32.0729783275, 34.7949360022","סמן פרויקט יזם","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/"
"ToHa2","מיקום","GovMap","32.0734792568, 34.7953068779","נקודת כתובת","https://www.govmap.gov.il/?c=34.79530687791587,32.07347925682061&z=12"
"ToHa2","מיקום","OSM polygon center","32.07315, 34.79559","מיפוי קהילתי","https://www.openstreetmap.org/way/339168801"
"ToHa2","שיווק","קשר גב-ים","*3354; טופס בעמוד הפרויקט","רשמי","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/"
"ToHa2","שיווק","קשר אמות","*2668; marketing@amot.com","רשמי","https://amot.co.il/"
