"tower","category","title","url","publisher","source_date_or_checked","reuse_status","notes"
"The Park","press","רכישת 50% והאומדן המקורי","https://www.globes.co.il/news/article.aspx?did=1001248269","Globes","2018-07-31","Copyrighted press; link and summarize; do not republish article or images","Historical transaction and original estimate; not a current cost source."
"The Park","press","עיכוב ושיווק The Park","https://apiapp.nadlancenter.co.il/article/14712","מרכז הנדל״ן","2026-06-11","Copyrighted press; link and summarize; do not republish article or images","Industry press report published after the Q1 2026 filings."
"The Park","commercial brokerage","משרדים להשכרה במגדל The Park","https://tagassets.co.il/offices-for-rent-in-bnei-brak/offices-for-rent-in-the-park-tower/","TAG נכסים","checked 2026-08-04","Copyrighted broker listing; link only; verify availability directly","Commercial brokerage listing; availability and asking terms can change without notice."
"The Park","commercial brokerage","שטחי מעטפת במתחם","https://banadlan.co.il/label/%D7%91%D7%A8%D7%9E%D7%AA-%D7%9E%D7%A2%D7%98%D7%A4%D7%AA/","BANADLAN","checked 2026-08-04","Copyrighted listing; link only; verify availability directly","Broker/listing tag page; do not treat as official inventory without confirmation."
"The Park","industry media","אירוע ההשקה ורשימת מותגים","https://www.pnim.co.il/%D7%90%D7%99%D7%A8%D7%95%D7%A2-%D7%94%D7%A9%D7%A0%D7%94-%D7%91%D7%A2%D7%99%D7%A6%D7%95%D7%91/","Pnim","2026-07; checked 2026-08-04","Copyrighted; link and summarize; obtain permission for images","Coverage of launch event and brands in the design-commercial component."
"The Park","sponsored content","פתיחת רגבה במתחם","https://www.calcalist.co.il/article/s1v0nxvlgx","Calcalist","2026-06-01","Sponsored/copyrighted content; disclose commercial nature; no image reuse","Commercial content, not independent editorial verification."
"The Park","encyclopedia","Amot HaLehi Tower","https://en.wikipedia.org/wiki/Amot_HaLehi_Tower","Wikipedia","checked 2026-08-04","Wikipedia text license applies; attribute and share alike; verify every image separately","Secondary overview; reconcile figures against developer and filing sources."
"The Park","official map","GovMap address point for Lehi 2 Bnei Brak","https://www.govmap.gov.il/?c=34.82963957588966,32.10367090107063&z=12&q=%D7%9C%D7%97%22%D7%99%202%20%D7%91%D7%A0%D7%99%20%D7%91%D7%A8%D7%A7","GovMap","checked 2026-08-04","Link to official map; republication terms not reviewed","Official address point converted to WGS84: 32.10367090107063, 34.82963957588966; not a cadastral survey."
"The Park","community map","OpenStreetMap search for The Park tower footprint","https://nominatim.openstreetmap.org/search?format=jsonv2&limit=10&extratags=1&namedetails=1&q=%D7%9E%D7%92%D7%93%D7%9C%20%D7%94%D7%A4%D7%90%D7%A8%D7%A7%20%D7%91%D7%A0%D7%99%20%D7%91%D7%A8%D7%A7","OpenStreetMap contributors","checked 2026-08-04","ODbL; attribution required","Community-mapped footprint center 32.1044001, 34.8295595; secondary, not cadastral."
"The Park","route","Walk to Bnei Brak Ramat HaHayal railway station","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=32.1028916%2C34.8305499&travelmode=walking","Google Maps","snapshot 2026-08-04","Link only; Google map/data terms apply","Snapshot: 180 m, 2 minutes. Route time is dynamic."
"The Park","route","Walk to Azrieli Ayalon Mall","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=32.1005038%2C34.8266776&travelmode=walking","Google Maps","snapshot 2026-08-04","Link only; Google map/data terms apply","Snapshot: 750 m, 10 minutes. Route time is dynamic."
"The Park","route","Drive to Atidim Park","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=%D7%A4%D7%90%D7%A8%D7%A7%20%D7%A2%D7%AA%D7%99%D7%93%D7%99%D7%9D%2C%20%D7%93%D7%91%D7%95%D7%A8%D7%94%20%D7%94%D7%A0%D7%91%D7%99%D7%90%D7%94%20121%2C%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91&travelmode=driving","Google Maps","snapshot 2026-08-04","Link only; Google map/data terms apply","Snapshot: 2.7 km, 8 minutes. Traffic dependent."
"The Park","route","Drive to Ben Gurion Airport","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=Ben%20Gurion%20Airport&travelmode=driving","Google Maps","snapshot 2026-08-04 20:51 Asia/Jerusalem","Link only; Google map/data terms apply","Snapshot: 27.3 km, 37 minutes. Traffic dependent."
"The Park","route","Public transit to Ben Gurion Airport","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=Ben%20Gurion%20Airport&travelmode=transit","Google Maps","snapshot 2026-08-04 20:51 Asia/Jerusalem","Link only; Google map/data terms apply","Snapshot alternatives ranged 40-61 minutes by departure; dynamic timetable."
"The Park","transport","Tel Aviv Green Line eastern branch stations","https://www.nta.co.il/tel-aviv/","NTA","checked 2026-08-04","Copyrighted; link and cite","Lists planned Pinchas Rosen, HaBarzel, HaNechoshet and Dvora HaNevia stations in Ramat HaHayal."
"The Park","transport","Green Line project page","https://www.nta.co.il/light-rail/%D7%94%D7%A7%D7%95-%D7%94%D7%99%D7%A8%D7%95%D7%A7","NTA","checked 2026-08-04","Copyrighted; link and cite","Official project scope and phased planning; stations are future, not operating."
"The Park","transport","Metro M3 line","https://www.nta.co.il/en/metro/m3-line/","NTA","checked 2026-08-04","Copyrighted; link and cite","Lists planned Ramat Hachayal-Ha'arad, Pinchas Rosen and Kiryat Shaul stations; no project-specific walk time."
"The Park","environment","Azrieli Ayalon Mall property page","https://azrieligroup.com/properties/azrieli-ayalon-mall/","Azrieli Group","checked 2026-08-04","Copyrighted; link and cite; obtain permission for images","Official mall area, parking, tenant count and sample international brands."
"The Park","environment","Azrieli Ayalon stores and restaurants","https://www.azrielimalls.co.il/malls/ayalon/stores","Azrieli Malls","checked 2026-08-04","Copyrighted directory; link and recheck before publication","Live store and food directory; tenants can change."
"The Park","environment","Atidim Park about","https://www.atidim.co.il/about/","Atidim Park","checked 2026-08-04","Copyrighted; link and cite; obtain permission for images","Official address, campus size, building count and examples of international companies."
"The Park","environment","Atidim Park offices","https://www.atidim.co.il/offices/","Atidim Park","checked 2026-08-04","Copyrighted; link and cite","Office-campus context; does not establish tenancy in The Park."
"The Park","open media","Amot Ha'lehi B photograph","https://commons.wikimedia.org/wiki/File:Amot-Ha%27lehi-B.jpg","Wikimedia Commons / CitizenX73","photo 2024-05-28; checked 2026-08-04","CC BY 4.0; attribution, license link and change notice required","Commercial use and adaptation permitted under license terms."
"The Park","license","Creative Commons Attribution 4.0","https://creativecommons.org/licenses/by/4.0/","Creative Commons","checked 2026-08-04","CC BY 4.0 license text","License referenced by the open Wikimedia photograph."
"ToHa2","developer","ToHaTwo official project page","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","Gav-Yam","checked 2026-08-04","Copyrighted; link and cite; permission required for renderings and plans","Official specifications, embedded project marker, contact, sustainability claims, parking, public square and restaurants. Page conflicts internally between 77 and 80 floors."
"ToHa2","developer","ToHaTwo official English project page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","Gav-Yam","checked 2026-08-04","Copyrighted; link and cite; permission required for renderings and plans","Official English-language source for international readers."
"ToHa2","developer","Amot ToHa 2 official project page","https://amot.co.il/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","Amot Investments","checked 2026-08-04","Copyrighted; link and cite; permission required for media","Official Amot project source; compare occupancy date against Gav-Yam and filings."
"ToHa2","architect","ToHa2 project page","https://ronarad.com/projects/toha2/","Ron Arad Associates","checked 2026-08-04","Copyrighted; link and cite; permission required for images","Architect's official project page."
"ToHa2","MAYA filing","Amot Q1 2026 report","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","Amot Investments via MAYA","2026-05-12","Public filing; link and cite; no open republication license identified","Official status source through 2026-03-31."
"ToHa2","MAYA presentation","Amot Q1 2026 investor presentation","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","Amot Investments via MAYA","2026-05-12","Public filing; link and cite; no open republication license identified","Official project progress and leasing presentation."
"ToHa2","MAYA filing","Immediate report on Google Israel lease","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf","Amot Investments via MAYA","2024-06-25","Public filing; link and cite; no open republication license identified","Primary source for lease date, area and transaction terms disclosed by the company."
"ToHa2","MAYA presentation","Gav-Yam investor presentation for end 2025","https://mayafiles.tase.co.il/rpdf/1723001-1724000/P1723629-00.pdf","Gav-Yam via MAYA","end 2025; checked 2026-08-04","Public filing; link and cite; no open republication license identified","Official year-end project and leasing source."
"ToHa2","MAYA filing","Alony Hetz Q1 2026 official English translation","https://mayafiles.tase.co.il/rpdf/1744001-1745000/P1744011-00.pdf","Alony Hetz via MAYA","2026-05","Public filing; link and cite; no open republication license identified","Official English-language group source."
"ToHa2","MAYA filing","Amot 2024 periodic report containing ToHa2 lease information","https://mayafiles.tase.co.il/rpdf/1645001-1646000/P1645561-00.pdf","Amot Investments via MAYA","checked 2026-08-04","Public filing; link and cite; no open republication license identified","Annual-period reference used in the research; later filings should govern current status."
"ToHa2","corporate report","Alony Hetz full report for 2024","https://www.alony-hetz.com/wp-content/uploads/2025/05/Full-report-for-website-31.12.24.pdf","Alony Hetz","report date 2024-12-31; checked 2026-08-04","Copyrighted corporate report; link and cite; permission required for images","Contains group context and project renderings; no open media license found."
"ToHa2","press","Google rents approximately 60,000 sqm in ToHa2","https://www.globes.co.il/news/article.aspx?did=1001482550","Globes","2024-06-25","Copyrighted press; link and summarize; do not republish article or images","Press coverage of Google lease; primary filing should control exact terms."
"ToHa2","press","Project launch, planning and parking","https://www.calcalist.co.il/real-estate/article/sjmynbelf","Calcalist","2021-10-11","Copyrighted press; link and summarize; do not republish article or images","Historical launch and planning report; later plans may supersede it."
"ToHa2","press","Occupancy and economic timing","https://www.calcalist.co.il/market/article/hkak6fydzg","Calcalist","2026-02-11","Copyrighted press; link and summarize; do not republish article or images","Market article on delivery and economics; compare against official 2026 filings."
"ToHa2","press","Google deal in ToHa2","https://www.ynet.co.il/economy/article/hj00prgour","Ynet / Calcalist","2024-06-25","Copyrighted press; link and summarize; do not republish article or images","Secondary report on Google lease."
"ToHa2","financial press","Google deal and reported rate per sqm","https://www.bizportal.co.il/capitalmarket/news/article/830470","Bizportal","2024-06-25","Copyrighted press; link and summarize; do not republish article or images","Secondary source for reported rent; preserve any difference from company disclosure."
"ToHa2","industry press","Google deal in ToHa2","https://www.nadlancenter.co.il/article/10123","מרכז הנדל״ן","2024-06-25","Copyrighted press; link and summarize; do not republish article or images","Industry press coverage; primary filing should control exact lease terms."
"ToHa2","encyclopedia","ToHa Tower","https://en.wikipedia.org/wiki/ToHa_Tower","Wikipedia","checked 2026-08-04","Wikipedia text license applies; attribute and share alike; verify every image separately","Secondary overview of the complex; reconcile ToHa2 figures with developer sources."
"ToHa2","building database","ToHa Tower 2 profile","https://www.skyscrapercenter.com/building/toha-tower-2/27419","CTBUH Skyscraper Center","checked 2026-08-04","Copyrighted database; link and cite; no image reuse without permission","Secondary height and building-profile source; use conflicts table when different from developers."
"ToHa2","official map","GovMap address point for Totzeret HaAretz 2 Tel Aviv","https://www.govmap.gov.il/?c=34.79530687791587,32.07347925682061&z=12&q=%D7%AA%D7%95%D7%A6%D7%A8%D7%AA%20%D7%94%D7%90%D7%A8%D7%A5%202%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91","GovMap","checked 2026-08-04","Link to official map; republication terms not reviewed","Official address point converted to WGS84: 32.07347925682061, 34.79530687791587; not a cadastral survey."
"ToHa2","developer map","Embedded Gav-Yam project marker","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","Gav-Yam","checked 2026-08-04","Copyrighted site; link and cite","Embedded marker coordinates: 32.07297832745654, 34.79493600216633; marker differs from GovMap address point."
"ToHa2","community map","OpenStreetMap search for ToHa2 footprint","https://nominatim.openstreetmap.org/search?format=json&limit=3&q=ToHa%202%20Tel%20Aviv","OpenStreetMap contributors","checked 2026-08-04","ODbL; attribution required","Community-mapped construction footprint center 32.0731121, 34.7953254; secondary, not cadastral."
"ToHa2","community map","Mapcarta page using OpenStreetMap geometry","https://mapcarta.com/W339168801","Mapcarta / OpenStreetMap contributors","checked 2026-08-04","Mapcarta and ODbL attribution terms apply","Secondary footprint visualization; not an official cadastral source."
"ToHa2","route","Walk to Tel Aviv HaShalom railway station","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=32.0735594%2C34.7931642&travelmode=walking","Google Maps","snapshot 2026-08-04","Link only; Google map/data terms apply","Snapshot: 900 m, 14 minutes; alternative 1.0 km, 15 minutes."
"ToHa2","route","Walk to Azrieli Tel Aviv Mall","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=32.07473293535248%2C34.79186755489448&travelmode=walking","Google Maps","snapshot 2026-08-04","Link only; Google map/data terms apply","Snapshot: 700 m, 11 minutes."
"ToHa2","route","Walk to Yehudit Red Line station","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=32.07032624312405%2C34.78834364660483&travelmode=walking","Google Maps","snapshot 2026-08-04","Link only; Google map/data terms apply","Snapshot: 900 m, 14 minutes; alternative 950 m, 14 minutes."
"ToHa2","route","Drive to Atidim Park","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=%D7%A4%D7%90%D7%A8%D7%A7%20%D7%A2%D7%AA%D7%99%D7%93%D7%99%D7%9D%2C%20%D7%93%D7%91%D7%95%D7%A8%D7%94%20%D7%94%D7%A0%D7%91%D7%99%D7%90%D7%94%20121%2C%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91&travelmode=driving","Google Maps","snapshot 2026-08-04","Link only; Google map/data terms apply","Snapshot: 8.1 km, 16 minutes; alternative 17 minutes. Traffic dependent."
"ToHa2","route","Drive to Ben Gurion Airport","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=Ben%20Gurion%20Airport&travelmode=driving","Google Maps","snapshot 2026-08-04 20:52 Asia/Jerusalem","Link only; Google map/data terms apply","Snapshot: 22.3 km, 25 minutes. Traffic dependent."
"ToHa2","route","Public transit to Ben Gurion Airport","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=Ben%20Gurion%20Airport&travelmode=transit","Google Maps","snapshot 2026-08-04 20:52 Asia/Jerusalem","Link only; Google map/data terms apply","Snapshot showed 19-20 minutes but resolved origin near Cafe TOHA and a 4-minute station walk, conflicting with standalone 14-minute walk; do not hard-code."
"ToHa2","transport","Red Line official page","https://www.nta.co.il/en/light-rail/red-line/","NTA","checked 2026-08-04","Copyrighted; link and cite","Official source for active Red Line and Tel Aviv station list including Yehudit and Shaul HaMelekh."
"ToHa2","transport","Metro M1 in Tel Aviv","https://www.nta.co.il/metro/%D7%A7%D7%95-m1/m1-%D7%91%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/","NTA","checked 2026-08-04","Copyrighted; link and cite","Official planned M1 source listing HaShalom station."
"ToHa2","transport","Metro M2 in Tel Aviv","https://www.nta.co.il/metro/%D7%A7%D7%95-m2/m2-%D7%91%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/","NTA","checked 2026-08-04","Copyrighted; link and cite","Official planned M2 source listing HaShalom station."
"ToHa2","transport","Integrated transport hubs","https://www.nta.co.il/%D7%9E%D7%AA%D7%97%D7%9E%D7%99%D7%9D-%D7%9E%D7%A8%D7%9B%D7%96%D7%99-%D7%AA%D7%97%D7%91%D7%95%D7%A8%D7%94-%D7%9E%D7%A9%D7%95%D7%9C%D7%91%D7%99%D7%9D/","NTA","checked 2026-08-04","Copyrighted; link and cite","Official description of planned HaShalom integrated hub near Israel Rail and Azrieli."
"ToHa2","environment","Official ToHa complex site","https://toha.gav-yam.co.il/%D7%92%D7%91-%D7%99%D7%9D-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-toha/","Gav-Yam and Amot","checked 2026-08-04","Copyrighted; link and cite; permission required for media","Describes existing ground-level restaurant, cafe and shaded public space; context for complex, not necessarily ToHa2 delivery."
"ToHa2","environment","Dixie official address","https://www.dixie.co.il/menus/kidsmenu","Dixie","checked 2026-08-04","Copyrighted; link and cite; directory details can change","Official footer lists Yigal Alon 120; no separate walking route was measured."
"ToHa2","environment","Holmes Place Azrieli","https://www.holmesplace.co.il/club-page-azrieli/","Holmes Place Israel","checked 2026-08-04","Copyrighted; link and cite; service details can change","Official gym page for Azrieli Mall floor 3; mall walk measured separately."
"ToHa2","environment","Azrieli Tel Aviv property page","https://azrieligroup.com/properties/azrieli-tel-aviv/","Azrieli Group","checked 2026-08-04","Copyrighted; link and cite; obtain permission for images","Official mixed-use mall and office complex context across the interchange."
"ToHa2","international tenant context","Novartis Israel contact page","https://www.novartis.com/il-he/about/contactil","Novartis Israel","checked 2026-08-04","Copyrighted; link and cite","Lists Totzeret HaAretz 6, ToHa building; existing-complex tenant, not proof of ToHa2 tenancy."
"ToHa2","international tenant context","WeWork ToHa","https://www.wework.co.il/en/locations/toha","WeWork Israel","checked 2026-08-04","Copyrighted; link and cite; availability can change","Lists Yigal Alon 114 in existing ToHa complex; not proof of ToHa2 tenancy."
"ToHa2","open media","Construction of ToHa Tower 2 category","https://commons.wikimedia.org/wiki/Category:Construction_of_ToHa_Tower_2","Wikimedia Commons","checked 2026-08-04","Licenses vary by file; verify each file page","Category index only; do not assume a common license for all images."
"ToHa2","open media","ToHa 2 photograph dated 2025-10-02","https://commons.wikimedia.org/wiki/File:ToHa_2_021025.jpg","Wikimedia Commons","photo 2025-10-02; checked 2026-08-04","Verify exact license and attribution on file page before reuse","Later construction photograph; license was not independently recorded in research notes."
"ToHa2","open media","ToHa 2 under construction photograph","https://commons.wikimedia.org/wiki/File:ToHa_2_under_construction.jpg","Wikimedia Commons / Yms","photo 2024-10-07; checked 2026-08-04","CC BY 4.0; attribution, license link and change notice required","Original file reported as 2286 x 3248; commercial use and adaptation permitted under license terms."
"ToHa2","license","Creative Commons Attribution 4.0","https://creativecommons.org/licenses/by/4.0/","Creative Commons","checked 2026-08-04","CC BY 4.0 license text","License referenced by the confirmed open Wikimedia photograph."
