keyword,language,cluster,subcluster,audience,country_market,intent,funnel_stage,priority,recommended_page_type,suggested_slug,primary_kpi,content_angle,trust_requirement,verification_flag,notes
דירות למכירה באר שבע,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P2,city_hub,/buy/beer-sheva,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה אשדוד,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P2,city_hub,/buy/ashdod,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות להשכרה,he,buyer_seller_core,rent_general,renter,IL,transactional,decision,P1,hub,/rent,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות להשכרה תל אביב,he,buyer_seller_core,rent_city,renter,IL,transactional,decision,P1,city_hub,/rent/tel-aviv,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות להשכרה רמת גן,he,buyer_seller_core,rent_city,renter,IL,transactional,decision,P2,city_hub,/rent/ramat-gan,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות להשכרה ירושלים,he,buyer_seller_core,rent_city,renter,IL,transactional,decision,P2,city_hub,/rent/jerusalem,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות להשכרה חיפה,he,buyer_seller_core,rent_city,renter,IL,transactional,decision,P2,city_hub,/rent/haifa,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות מציאה,he,buyer_seller_core,deal_finder,buyer,IL,commercial,consideration,P2,feature,/deals,signups,smart-filter deals page,real supply,NEEDS_VERIFICATION,
דירות מתחת למחיר שוק,he,buyer_seller_core,deal_finder,buyer,IL,commercial,consideration,P2,feature,/below-market,signups,requires estimator integration,real supply + valid estimator,NEEDS_VERIFICATION,
איך למכור דירה,he,buyer_seller_core,seller_guide,seller,IL,informational,awareness,P1,guide,/sell/how-to-sell-apartment,organic_sessions,end-to-end seller playbook,reviewed by licensed agent,NEEDS_VERIFICATION|LEGAL_REVIEW,
מחיר דירה ממוצע,he,buyer_seller_core,market_data,buyer,IL,informational,awareness,P1,data_page,/market/average-prices,organic_sessions,,CBS / official data,OFFICIAL_SOURCE_REQUIRED,
מחירי דירות 2026,he,buyer_seller_core,market_data,buyer,IL,informational,awareness,P1,report,/market/prices-2026,organic_sessions,,CBS / official data,OFFICIAL_SOURCE_REQUIRED,
מדד מחירי דירות,he,buyer_seller_core,market_data,buyer,IL,informational,awareness,P2,data_page,/market/price-index,organic_sessions,,CBS,OFFICIAL_SOURCE_REQUIRED,
שמאות דירה,he,buyer_seller_core,valuation,seller,IL,commercial,consideration,P1,tool_landing,/valuation,tool_starts,routes into estimator,licensed appraiser disclaimer,LEGAL_REVIEW,
כמה שווה הדירה שלי,he,buyer_seller_core,valuation,seller,IL,commercial,decision,P0,tool,/property-value-estimator,tool_completions,seller-facing estimator,methodology + disclaimer,LEGAL_REVIEW|NEEDS_VERIFICATION,Existing URL — fix per Report 1 first
חוזה שכירות לדוגמא,he,buyer_seller_core,seller_guide,renter,IL,informational,consideration,P1,template,/rent/lease-template,downloads,downloadable template,attorney-reviewed template,LEGAL_REVIEW,
זיכרון דברים דירה,he,buyer_seller_core,seller_guide,buyer,IL,informational,consideration,P1,guide,/buy/memorandum-of-understanding,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
ביטול עסקת דירה,he,buyer_seller_core,seller_guide,buyer,IL,informational,decision,P2,guide,/buy/cancel-contract,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
זכויות קונה דירה מקבלן,he,buyer_seller_core,buyer_rights,buyer,IL,informational,consideration,P1,guide,/buy/rights-from-developer,organic_sessions,חוק המכר דירות,attorney-reviewed,LEGAL_REVIEW,
פרויקטים חדשים,he,projects_developers,new_projects_general,buyer,IL,commercial,consideration,P0,hub,/projects,organic_sessions,national new-projects hub,developer-verified data,REQUIRES_OFFICIAL_ASSET,
פרויקטים חדשים תל אביב,he,projects_developers,new_projects_city,buyer,IL,commercial,consideration,P0,city_hub,/projects/tel-aviv,organic_sessions,,developer-verified,REQUIRES_OFFICIAL_ASSET,
פרויקטים חדשים שדה דב,he,projects_developers,new_projects_neighborhood,buyer,IL,commercial,decision,P0,area_hub,/projects/sde-dov,organic_sessions,Sde Dov master area,official municipal + developer,REQUIRES_OFFICIAL_ASSET|OFFICIAL_SOURCE_REQUIRED,
פרויקטים חדשים רמת גן,he,projects_developers,new_projects_city,buyer,IL,commercial,consideration,P1,city_hub,/projects/ramat-gan,organic_sessions,,developer-verified,REQUIRES_OFFICIAL_ASSET,
פרויקטים חדשים ירושלים,he,projects_developers,new_projects_city,buyer,IL,commercial,consideration,P1,city_hub,/projects/jerusalem,organic_sessions,,developer-verified,REQUIRES_OFFICIAL_ASSET,
פרויקטים חדשים חיפה,he,projects_developers,new_projects_city,buyer,IL,commercial,consideration,P1,city_hub,/projects/haifa,organic_sessions,,developer-verified,REQUIRES_OFFICIAL_ASSET,
פרויקטים חדשים נתניה,he,projects_developers,new_projects_city,buyer,IL,commercial,consideration,P1,city_hub,/projects/netanya,organic_sessions,,developer-verified,REQUIRES_OFFICIAL_ASSET,
פרויקטים חדשים הרצליה,he,projects_developers,new_projects_city,buyer,IL,commercial,consideration,P1,city_hub,/projects/herzliya,organic_sessions,,developer-verified,REQUIRES_OFFICIAL_ASSET,
דירות מקבלן,he,projects_developers,from_developer,buyer,IL,commercial,decision,P1,hub,/from-developer,organic_sessions,,developer-verified,REQUIRES_OFFICIAL_ASSET,
דירה מקבלן או יד שניה,he,projects_developers,from_developer,buyer,IL,comparison,consideration,P1,guide,/from-developer/vs-second-hand,organic_sessions,,balanced editorial,NEEDS_VERIFICATION,
דירות על הנייר,he,projects_developers,pre_sale,buyer,IL,commercial,consideration,P1,guide,/pre-sale,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
פרויקט דמרי שדה דב,he,projects_developers,project_specific,buyer,IL,navigational,decision,P0,project_page,/projects/dimri-yama-sde-dov,leads,Dimri Yama Sde Dov,official developer data,REQUIRES_OFFICIAL_ASSET,Existing URL
פרויקט רינבו תל אביב,he,projects_developers,project_specific,buyer,IL,navigational,decision,P0,project_page,/projects/rainbow-tel-aviv,leads,Rainbow Tel Aviv,official developer data,REQUIRES_OFFICIAL_ASSET,Existing URL
חברות בניה בישראל,he,projects_developers,developers,buyer,IL,informational,consideration,P2,directory,/developers,organic_sessions,verified developer directory,company registry,OFFICIAL_SOURCE_REQUIRED,
דירוג חברות בניה,he,projects_developers,developers,buyer,IL,comparison,consideration,P2,report,/developers/ranking,organic_sessions,,methodology + data,OFFICIAL_SOURCE_REQUIRED|LEGAL_REVIEW,
חברת דמרי,he,projects_developers,developers,buyer,IL,navigational,consideration,P1,developer_page,/developers/dimri,organic_sessions,Dimri profile,official + public filings,OFFICIAL_SOURCE_REQUIRED,
מחירון דירות חדשות,he,projects_developers,price_list,buyer,IL,commercial,decision,P1,data_page,/projects/price-list,organic_sessions,,developer pricing,REQUIRES_OFFICIAL_ASSET,
buying property in israel,en,intl_investor,intl_overview,investor,INTL,informational,awareness,P0,guide,/en/buy-property-israel,organic_sessions,top-of-funnel intl pillar,attorney-reviewed,LEGAL_REVIEW,
real estate israel,en,intl_investor,intl_overview,investor,INTL,informational,awareness,P0,hub,/en,organic_sessions,EN homepage,EN site stub required,NEEDS_VERIFICATION,
tel aviv apartments for sale,en,intl_investor,intl_city,investor,INTL,commercial,decision,P0,city_hub,/en/buy/tel-aviv,leads,Tel Aviv intl buy hub,real supply,NEEDS_VERIFICATION,
jerusalem apartments for sale,en,intl_investor,intl_city,investor,INTL,commercial,decision,P1,city_hub,/en/buy/jerusalem,leads,,real supply,NEEDS_VERIFICATION,
herzliya pituach real estate,en,intl_investor,intl_city,investor,INTL,commercial,decision,P1,city_hub,/en/buy/herzliya-pituach,leads,Anglo-friendly neighborhood,real supply,NEEDS_VERIFICATION,
netanya apartments english speakers,en,intl_investor,intl_city,investor,INTL,commercial,decision,P1,city_hub,/en/buy/netanya,leads,,real supply,NEEDS_VERIFICATION,
raanana real estate english,en,intl_investor,intl_city,investor,INTL,commercial,decision,P1,city_hub,/en/buy/raanana,leads,,real supply,NEEDS_VERIFICATION,
sde dov tel aviv project,en,intl_investor,intl_project,investor,INTL,navigational,decision,P0,project_page,/en/projects/sde-dov,leads,intl-facing Sde Dov,official developer,REQUIRES_OFFICIAL_ASSET,
new construction tel aviv,en,intl_investor,intl_projects,investor,INTL,commercial,consideration,P0,hub,/en/new-construction/tel-aviv,leads,,developer-verified,REQUIRES_OFFICIAL_ASSET,
foreign buyer purchase tax israel,en,intl_investor,intl_tax,investor,INTL,informational,consideration,P0,guide,/en/tax/foreign-buyer-purchase-tax,organic_sessions,מס רכישה לתושב חוץ,attorney + CPA reviewed,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
mortgage in israel for foreigners,en,intl_investor,intl_finance,investor,INTL,informational,consideration,P0,guide,/en/mortgage/foreign-buyers,leads,,licensed advisor reviewed,LEGAL_REVIEW,
israeli real estate lawyer english,en,intl_investor,intl_professionals,investor,INTL,commercial,decision,P1,directory,/en/professionals/lawyers,leads,vetted EN-speaking lawyers,license verification,REQUIRES_OFFICIAL_ASSET,
buying apartment israel aliyah,en,intl_investor,intl_aliyah,investor,INTL,informational,awareness,P1,guide,/en/aliyah/buying-apartment,organic_sessions,,partner with Nefesh / org review,LEGAL_REVIEW,
investing in tel aviv real estate,en,intl_investor,intl_invest,investor,INTL,commercial,consideration,P1,guide,/en/invest/tel-aviv,leads,yield + appreciation data,OFFICIAL CBS data,OFFICIAL_SOURCE_REQUIRED,
rental yield israel,en,intl_investor,intl_invest,investor,INTL,informational,consideration,P1,data_page,/en/invest/rental-yields,organic_sessions,,CBS + market data,OFFICIAL_SOURCE_REQUIRED,
israel property market 2026,en,intl_investor,intl_market,investor,INTL,informational,awareness,P1,report,/en/market/2026,organic_sessions,annual market report,CBS + Bank of Israel,OFFICIAL_SOURCE_REQUIRED,
tama 38 explained,en,intl_investor,intl_renewal,investor,INTL,informational,awareness,P1,guide,/en/urban-renewal/tama-38,organic_sessions,EN explainer of TAMA 38,attorney-reviewed,LEGAL_REVIEW,
pinui binui meaning,en,intl_investor,intl_renewal,investor,INTL,informational,awareness,P2,guide,/en/urban-renewal/pinui-binui,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
how to buy property in israel from usa,en,intl_investor,intl_process,investor,US,informational,consideration,P1,guide,/en/buy/from-usa,leads,US-buyer playbook,attorney + CPA reviewed,LEGAL_REVIEW,
how to buy property in israel from uk,en,intl_investor,intl_process,investor,UK,informational,consideration,P2,guide,/en/buy/from-uk,leads,,attorney reviewed,LEGAL_REVIEW,
how to buy property in israel from france,en,intl_investor,intl_process,investor,FR,informational,consideration,P2,guide,/en/buy/from-france,leads,,attorney reviewed,LEGAL_REVIEW,
israeli mortgage calculator english,en,intl_investor,intl_tools,investor,INTL,commercial,decision,P1,tool,/en/tools/mortgage-calculator,tool_completions,,disclaimer,LEGAL_REVIEW,
purchase tax calculator israel,en,intl_investor,intl_tools,investor,INTL,commercial,decision,P0,tool,/en/tools/purchase-tax-calculator,tool_completions,,Tax Authority brackets,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מחשבון משכנתא,he,tools_calculators,mortgage,buyer,IL,transactional,decision,P0,tool,/tools/mortgage-calculator,tool_completions,flagship calculator,licensed advisor disclaimer,LEGAL_REVIEW,
החזר משכנתא חודשי,he,tools_calculators,mortgage,buyer,IL,informational,consideration,P1,tool,/tools/monthly-payment,tool_completions,,disclaimer,LEGAL_REVIEW,
מחשבון מס רכישה,he,tools_calculators,tax,buyer,IL,transactional,decision,P0,tool,/tools/purchase-tax-calculator,tool_completions,,Tax Authority brackets,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מס רכישה דירה ראשונה,he,tools_calculators,tax,buyer,IL,informational,consideration,P0,guide,/tax/purchase-tax-first-home,organic_sessions,,Tax Authority,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מס רכישה דירה שניה,he,tools_calculators,tax,investor,IL,informational,consideration,P0,guide,/tax/purchase-tax-second-home,organic_sessions,,Tax Authority,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מס שבח,he,tools_calculators,tax,seller,IL,informational,consideration,P0,guide,/tax/capital-gains,organic_sessions,,Tax Authority,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מחשבון מס שבח,he,tools_calculators,tax,seller,IL,transactional,decision,P0,tool,/tools/capital-gains-calculator,tool_completions,,Tax Authority,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מחשבון תשואה דירה,he,tools_calculators,yield,investor,IL,transactional,decision,P0,tool,/tools/rental-yield-calculator,tool_completions,,methodology disclosure,NEEDS_VERIFICATION,
תשואה ממוצעת דירה תל אביב,he,tools_calculators,yield,investor,IL,informational,consideration,P1,data_page,/data/yields/tel-aviv,organic_sessions,,CBS + market data,OFFICIAL_SOURCE_REQUIRED,
מחשבון עלות שיפוץ,he,tools_calculators,renovation,buyer,IL,commercial,consideration,P1,tool,/tools/renovation-calculator,tool_completions,,contractor data,NEEDS_VERIFICATION,
עלות שיפוץ דירה לפי מטר,he,tools_calculators,renovation,buyer,IL,informational,consideration,P1,guide,/guides/renovation-cost-per-sqm,organic_sessions,,contractor survey,NEEDS_VERIFICATION,
מחשבון הון עצמי,he,tools_calculators,mortgage,buyer,IL,transactional,decision,P1,tool,/tools/equity-calculator,tool_completions,,Bank of Israel LTV rules,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מחשבון יכולת החזר,he,tools_calculators,mortgage,buyer,IL,transactional,decision,P1,tool,/tools/affordability-calculator,tool_completions,,disclaimer,LEGAL_REVIEW,
מחשבון עמלת פירעון מוקדם,he,tools_calculators,mortgage,buyer,IL,transactional,decision,P1,tool,/tools/early-repayment-fee,tool_completions,,Bank of Israel formula,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
תהליך קניית דירה,he,tools_calculators,buying_process,buyer,IL,informational,awareness,P0,pillar,/guides/buying-process,organic_sessions,step-by-step pillar,attorney-reviewed,LEGAL_REVIEW,
שלבים בקניית דירה,he,tools_calculators,buying_process,buyer,IL,informational,awareness,P1,guide,/guides/buying-steps,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
מסמכים לקניית דירה,he,tools_calculators,buying_process,buyer,IL,informational,consideration,P1,guide,/guides/buying-documents,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
בדיקת נסח טאבו,he,tools_calculators,due_diligence,buyer,IL,informational,decision,P1,guide,/guides/tabu-extract,organic_sessions,,attorney-reviewed,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
נסח טאבו אונליין,he,tools_calculators,due_diligence,buyer,IL,navigational,decision,P2,guide,/guides/tabu-online,organic_sessions,,Land Registry,OFFICIAL_SOURCE_REQUIRED,
מתווכים תל אביב,he,professionals_directory,realtors,buyer,IL,local,decision,P1,directory,/professionals/realtors/tel-aviv,leads,,license verification,REQUIRES_OFFICIAL_ASSET,
מתווך דירות,he,professionals_directory,realtors,buyer,IL,commercial,decision,P1,directory,/professionals/realtors,leads,,license verification,REQUIRES_OFFICIAL_ASSET,
מתווכים מומלצים,he,professionals_directory,realtors,buyer,IL,comparison,decision,P1,directory,/professionals/realtors/recommended,leads,methodology required,license + review policy,REQUIRES_OFFICIAL_ASSET|LEGAL_REVIEW,
דמי תיווך,he,professionals_directory,realtors,buyer,IL,informational,consideration,P1,guide,/guides/realtor-fees,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
עורך דין מקרקעין,he,professionals_directory,lawyers,buyer,IL,commercial,decision,P1,directory,/professionals/lawyers,leads,,bar association verification,REQUIRES_OFFICIAL_ASSET,
עורך דין מקרקעין תל אביב,he,professionals_directory,lawyers,buyer,IL,local,decision,P1,directory,/professionals/lawyers/tel-aviv,leads,,bar verification,REQUIRES_OFFICIAL_ASSET,
עורך דין מקרקעין ירושלים,he,professionals_directory,lawyers,buyer,IL,local,decision,P2,directory,/professionals/lawyers/jerusalem,leads,,bar verification,REQUIRES_OFFICIAL_ASSET,
שכר טרחת עורך דין דירה,he,professionals_directory,lawyers,buyer,IL,informational,consideration,P1,guide,/guides/lawyer-fees-apartment,organic_sessions,,bar guidance,LEGAL_REVIEW,
יועץ משכנתאות,he,professionals_directory,mortgage_advisors,buyer,IL,commercial,decision,P1,directory,/professionals/mortgage-advisors,leads,,license verification,REQUIRES_OFFICIAL_ASSET,
יועץ משכנתאות מומלץ,he,professionals_directory,mortgage_advisors,buyer,IL,comparison,decision,P1,directory,/professionals/mortgage-advisors/recommended,leads,,license + reviews,REQUIRES_OFFICIAL_ASSET,
שמאי מקרקעין,he,professionals_directory,appraisers,seller,IL,commercial,decision,P1,directory,/professionals/appraisers,leads,,council of appraisers verification,REQUIRES_OFFICIAL_ASSET,
שמאי מקרקעין מחיר,he,professionals_directory,appraisers,seller,IL,informational,consideration,P2,guide,/guides/appraiser-cost,organic_sessions,,survey,NEEDS_VERIFICATION,
בודק דירות,he,professionals_directory,inspectors,buyer,IL,commercial,decision,P1,directory,/professionals/inspectors,leads,inspection report standard,credentials check,REQUIRES_OFFICIAL_ASSET,
בדק בית,he,professionals_directory,inspectors,buyer,IL,commercial,decision,P1,directory,/professionals/home-inspection,leads,,credentials check,REQUIRES_OFFICIAL_ASSET,
ליקויי בנייה,he,professionals_directory,inspectors,buyer,IL,informational,consideration,P2,guide,/guides/construction-defects,organic_sessions,,attorney + engineer,LEGAL_REVIEW,
מעצב פנים דירה,he,professionals_directory,designers,buyer,IL,commercial,decision,P2,directory,/professionals/interior-designers,leads,,portfolio verification,NEEDS_VERIFICATION,
אדריכל דירה,he,professionals_directory,designers,buyer,IL,commercial,decision,P2,directory,/professionals/architects,leads,,architects registry,REQUIRES_OFFICIAL_ASSET,
קבלן שיפוצים,he,professionals_directory,contractors,buyer,IL,commercial,decision,P1,directory,/professionals/renovation-contractors,leads,,contractor registry,REQUIRES_OFFICIAL_ASSET,
קבלן שיפוצים תל אביב,he,professionals_directory,contractors,buyer,IL,local,decision,P2,directory,/professionals/renovation-contractors/tel-aviv,leads,,contractor registry,REQUIRES_OFFICIAL_ASSET,
איך לבחור מתווך,he,professionals_directory,realtors,buyer,IL,informational,consideration,P1,guide,/guides/choose-realtor,organic_sessions,,editorial,NEEDS_VERIFICATION,
איך לבחור עורך דין מקרקעין,he,professionals_directory,lawyers,buyer,IL,informational,consideration,P1,guide,/guides/choose-real-estate-lawyer,organic_sessions,,editorial,LEGAL_REVIEW,
תמא 38,he,urban_renewal,tama38_general,owner,IL,informational,awareness,P0,pillar,/urban-renewal/tama-38,organic_sessions,TAMA 38 pillar,attorney-reviewed,LEGAL_REVIEW,
תמא 38 1,he,urban_renewal,tama38_variants,owner,IL,informational,awareness,P1,guide,/urban-renewal/tama-38-1,organic_sessions,strengthening,attorney-reviewed,LEGAL_REVIEW,
תמא 38 2,he,urban_renewal,tama38_variants,owner,IL,informational,awareness,P1,guide,/urban-renewal/tama-38-2,organic_sessions,demolish-rebuild,attorney-reviewed,LEGAL_REVIEW,
תמא 38 זכויות דיירים,he,urban_renewal,tama38_rights,owner,IL,informational,consideration,P0,guide,/urban-renewal/tama-38-tenant-rights,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
תמא 38 מיסוי,he,urban_renewal,tama38_tax,owner,IL,informational,consideration,P1,guide,/urban-renewal/tama-38-tax,organic_sessions,,CPA + attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
פינוי בינוי,he,urban_renewal,pinui_binui_general,owner,IL,informational,awareness,P0,pillar,/urban-renewal/pinui-binui,organic_sessions,Pinui-Binui pillar,attorney-reviewed,LEGAL_REVIEW,
פינוי בינוי זכויות דיירים,he,urban_renewal,pinui_binui_rights,owner,IL,informational,consideration,P0,guide,/urban-renewal/pinui-binui-tenant-rights,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
התחדשות עירונית,he,urban_renewal,renewal_general,owner,IL,informational,awareness,P0,hub,/urban-renewal,organic_sessions,renewal hub,attorney + municipal,LEGAL_REVIEW,
התחדשות עירונית תל אביב,he,urban_renewal,renewal_city,owner,IL,local,consideration,P1,city_hub,/urban-renewal/tel-aviv,organic_sessions,,municipal data,OFFICIAL_SOURCE_REQUIRED,
התחדשות עירונית רמת גן,he,urban_renewal,renewal_city,owner,IL,local,consideration,P2,city_hub,/urban-renewal/ramat-gan,organic_sessions,,municipal data,OFFICIAL_SOURCE_REQUIRED,
היתר בניה,he,urban_renewal,permits,owner,IL,informational,consideration,P1,guide,/guides/building-permit,organic_sessions,,municipal + attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
תוכנית בניין עיר,he,urban_renewal,planning,owner,IL,informational,consideration,P1,guide,/guides/city-master-plan,organic_sessions,,municipal,OFFICIAL_SOURCE_REQUIRED,
"תב""ע",he,urban_renewal,planning,owner,IL,informational,consideration,P1,guide,/guides/tabaa,organic_sessions,,municipal,OFFICIAL_SOURCE_REQUIRED,
ועדה מקומית לתכנון ובניה,he,urban_renewal,planning,owner,IL,informational,consideration,P2,guide,/guides/local-planning-committee,organic_sessions,,municipal,OFFICIAL_SOURCE_REQUIRED,
חוק התחדשות עירונית,he,urban_renewal,renewal_law,owner,IL,informational,consideration,P2,guide,/urban-renewal/law,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
דייר סרבן,he,urban_renewal,pinui_binui_rights,owner,IL,informational,consideration,P1,guide,/urban-renewal/refusing-tenant,organic_sessions,,attorney-reviewed,LEGAL_REVIEW,
סיור וירטואלי דירה,he,showroom_3d,virtual_tour,buyer,IL,commercial,consideration,P1,feature,/features/virtual-tours,signups,3D tour feature page,real tour assets,REQUIRES_OFFICIAL_ASSET,
מפת פרויקטים,he,showroom_3d,map_discovery,buyer,IL,commercial,consideration,P1,feature,/map,signups,Mapbox project explorer,verified project data,REQUIRES_OFFICIAL_ASSET,
מפת התחדשות עירונית,he,showroom_3d,map_discovery,owner,IL,informational,consideration,P1,feature,/urban-renewal/map,signups,renewal map,municipal data,OFFICIAL_SOURCE_REQUIRED,
מפת מחירי דירות,he,showroom_3d,map_discovery,buyer,IL,informational,consideration,P1,feature,/map/prices,signups,price heatmap,CBS / transaction data,OFFICIAL_SOURCE_REQUIRED,
הדמיה תלת מימד דירה,he,showroom_3d,3d_renders,buyer,IL,informational,consideration,P2,guide,/guides/3d-renders,organic_sessions,concept vs official explainer,disclaimer mandatory,REQUIRES_OFFICIAL_ASSET,
showroom פרויקט,he,showroom_3d,showroom,buyer,IL,navigational,consideration,P1,feature,/features/showroom,signups,project showroom feature,state-machine compliant,REQUIRES_OFFICIAL_ASSET,
3d apartment tour israel,en,showroom_3d,virtual_tour,investor,INTL,commercial,consideration,P2,feature,/en/features/virtual-tours,signups,EN intl-facing,real assets,REQUIRES_OFFICIAL_ASSET,
interactive map israel real estate,en,showroom_3d,map_discovery,investor,INTL,commercial,consideration,P2,feature,/en/map,signups,,verified data,REQUIRES_OFFICIAL_ASSET,
הדמיה לעומת תמונה אמיתית,he,showroom_3d,trust,buyer,IL,due_diligence,consideration,P1,guide,/guides/render-vs-photo,organic_sessions,trust explainer,editorial,NEEDS_VERIFICATION,
יד2 או מדלן,he,trust_comparison,platform_compare,buyer,IL,comparison,consideration,P1,guide,/compare/yad2-vs-madlan,organic_sessions,balanced comparison,editorial integrity,NEEDS_VERIFICATION,
האתר הטוב ביותר לחיפוש דירה,he,trust_comparison,platform_compare,buyer,IL,comparison,consideration,P1,guide,/compare/best-real-estate-sites,organic_sessions,,editorial,NEEDS_VERIFICATION,
ביקורות יד2,he,trust_comparison,platform_reviews,buyer,IL,due_diligence,consideration,P2,guide,/reviews/yad2,organic_sessions,,editorial,NEEDS_VERIFICATION,
ביקורות מדלן,he,trust_comparison,platform_reviews,buyer,IL,due_diligence,consideration,P2,guide,/reviews/madlan,organic_sessions,,editorial,NEEDS_VERIFICATION,
"הונאות נדל""ן",he,trust_comparison,scams,buyer,IL,due_diligence,awareness,P0,guide,/guides/real-estate-scams,organic_sessions,top scam patterns,attorney + police data,LEGAL_REVIEW,
הונאת שכירות,he,trust_comparison,scams,renter,IL,due_diligence,awareness,P1,guide,/guides/rental-scams,organic_sessions,,editorial,LEGAL_REVIEW,
איך לבדוק קבלן,he,trust_comparison,due_diligence,buyer,IL,due_diligence,decision,P0,guide,/guides/vet-developer,organic_sessions,,Registrar of Contractors,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
פנקס קבלנים,he,trust_comparison,due_diligence,buyer,IL,navigational,decision,P1,guide,/guides/contractor-registry,organic_sessions,,Registrar of Contractors,OFFICIAL_SOURCE_REQUIRED,
איך לבדוק דירה לפני קניה,he,trust_comparison,due_diligence,buyer,IL,due_diligence,decision,P0,guide,/guides/pre-purchase-checklist,organic_sessions,,attorney + inspector,LEGAL_REVIEW,
דירה עם עיקול,he,trust_comparison,due_diligence,buyer,IL,due_diligence,decision,P1,guide,/guides/apartment-with-lien,organic_sessions,,attorney,LEGAL_REVIEW,
נדלן ישראל אמין,he,trust_comparison,platform_compare,buyer,IL,comparison,consideration,P2,guide,/compare/trusted-real-estate-platforms,organic_sessions,,editorial,NEEDS_VERIFICATION,
best real estate website israel,en,trust_comparison,platform_compare,investor,INTL,comparison,consideration,P1,guide,/en/compare/best-real-estate-platforms,organic_sessions,,editorial,NEEDS_VERIFICATION,
