"event_id","event_name","event_type","surface","trigger","required_parameters","optional_parameters","privacy_rule","owner_kpi","qa_evidence_required","status"
"AE-016","view_context_open","custom","showroom","User opens view, surroundings, or orientation layer","project_id,unit_id,context_type,language","city,asset_status","Do not fake view data; mark missing/illustrative internally.","View and surroundings interest","Context-layer screenshot and event payload","ready_to_build"
"AE-017","tour_open","custom","showroom","User opens interior tour or walkthrough","project_id,unit_id,tour_type,language","asset_status,provider","Do not claim real tour if only an illustration exists.","Interior-tour demand","Tour screenshot and event payload","ready_to_build"
"AE-018","interior_request_start","custom","showroom,tools","User starts interior design or consultation request","project_id,unit_id,request_type,language","budget_band,style_choice","No personal details until form submit; budget as band only.","Interior service lead intent","Start screenshot and event payload","ready_to_build"
"AE-019","generate_lead","recommended","lead_forms","Qualified lead is submitted","lead_type,form_id,page_type,language","project_id,unit_id,city,source_surface,value_band","Hash or omit contact details from analytics; store contact only in CRM/form system.","Primary lead conversion","Thank-you state screenshot, DebugView, and CRM record id","ready_to_build"
"AE-020","form_start","custom","lead_forms","User focuses or starts lead form","form_id,page_type,language","project_id,unit_id,city","Do not send typed personal values.","Form friction","Form start screenshot and event payload","ready_to_build"
"AE-021","form_error","custom","lead_forms","Lead form validation error appears","form_id,error_field,page_type,language","project_id,city","Do not send entered values.","Form friction and UX defects","Error screenshot and event payload","ready_to_build"
"AE-022","phone_click","custom","contact_cta","User taps phone call button","cta_id,page_type,language","project_id,professional_id,city","Do not send full phone number unless needed and approved.","Call intent","CTA screenshot and event payload","ready_to_build"
"AE-023","whatsapp_click","custom","contact_cta","User taps WhatsApp button","cta_id,page_type,language","project_id,professional_id,city","Do not send message body or phone number into analytics.","Messaging intent","CTA screenshot and event payload","ready_to_build"
"AE-024","professional_profile_open","custom","professionals","User opens professional profile","professional_id,category,city,language","verification_status,commercial_position_state","No personal client data or private license details beyond public profile data.","Professional demand","Profile screenshot and event payload","ready_to_build"
"AE-025","professional_lead_submit","custom","professionals","Professional inquiry is submitted","lead_type,professional_id,category,city,language","source_surface,value_band","Contact details stay in CRM/form system, not analytics.","Professional referral revenue","Thank-you screenshot and CRM record id","ready_to_build"
"AE-026","tool_start","custom","tools","User starts calculator or estimate tool","tool_id,tool_type,language","city,source_page","Do not send exact sensitive financial values if not necessary.","Tool engagement","Tool start screenshot and event payload","ready_to_build"
"AE-027","tool_result_generated","custom","tools","Tool result is shown","tool_id,tool_type,language","city,value_band,result_bucket","Use bands and assumptions, not precise private finance data.","Tool conversion and lead bridge","Result screenshot and event payload","ready_to_build"
"AE-028","language_switch","custom","sitewide","User changes language","from_language,to_language,page_type","project_id,city","No personal data.","Foreign-buyer demand and localization priority","Language toggle screenshot and event payload","ready_to_build"
"AE-029","contractor_intake_start","custom","contractor_intake","Contractor starts project intake","intake_step,language","company_type,project_city","Do not send company name before submission unless approved.","Contractor pipeline","Intake start screenshot and event payload","ready_to_build"
"AE-030","contractor_intake_submit","custom","contractor_intake","Contractor submits project intake","lead_type,intake_version,language","project_city,asset_bundle_state,package_interest","Company and contact details stay in CRM/form system, not analytics.","B2B sales pipeline","Thank-you screenshot, CRM id, and event payload","ready_to_build"
"AE-031","registry_view","custom","wp_admin","Authorized admin opens registry or dashboard","admin_surface,registry_filter","user_role","Admin analytics must not expose strategy publicly.","Internal governance usage","Admin screenshot after role check","future_admin"
"AE-032","publish_gate_block","custom","wp_admin","Admin publish gate blocks incomplete content","gate_name,content_type,page_id","missing_fields_count,user_role","Private admin-only event; do not send public strategy text.","Governance enforcement","Blocked publish screenshot and event payload","future_admin"
