page_id,page_role,canonical_url_pattern,primary_keyword_class,money_or_support,parent_hub,required_child_pages,data_requirements,trust_gate,priority,build_slice
showroom_3d,product_tool,/projects/{project_slug}/showroom,הדמיית דירה / תלת מימד נדלן,money,project_detail,"unit selector, floor plan, map/view/tour","GLB/facade/floor/unit data, asset license","REQUIRES_OFFICIAL_ASSET",P0,Project showroom
valuation_tool,tool_page,/property-value-estimator,כמה שווה הדירה שלי,money,tools_hub,"methodology, city price pages, seller route","methodology, confidence range, source dates","LEGAL_REVIEW",P0,Tools foundation
price_sqm_city,data_page,/market/{city}/price-per-sqm,מחיר למטר {city},support,city_buy_hub,"transactions, market trend, valuation tool","official transaction source, methodology","OFFICIAL_SOURCE_REQUIRED",P0,Data foundation
market_report_city,data_page,/market/{city},שוק הנדלן {city},support,city_buy_hub,"price sqm, rent, yield, projects","CBS/Tax Authority/municipal sources","OFFICIAL_SOURCE_REQUIRED",P1,Data foundation
rental_yield_tool,tool_page,/rental-yield-calculator,מחשבון תשואה דירה,money,tools_hub,"investment guide, city yields","methodology, rent/price assumptions","LEGAL_REVIEW",P0,Tools foundation
mortgage_calculator,tool_page,/mortgage-calculator,מחשבון משכנתא,support,tools_hub,"mortgage guides, advisor directory","Bank of Israel data, assumptions","LEGAL_REVIEW",P0,Tools foundation
purchase_tax_calculator,tool_page,/purchase-tax-calculator,מחשבון מס רכישה,support,tools_hub,"tax guide, lawyer directory","Tax Authority rules, legal review","LEGAL_REVIEW",P0,Tools foundation
professionals_hub,directory_hub,/professionals,אנשי מקצוע נדלן,money,home,"category pages, city pages, profiles","verified professional records","REQUIRES_OFFICIAL_ASSET",P0,Professionals foundation
professional_category,directory_page,/professionals/{category},עורך דין נדלן / מתווך / שמאי,money,professionals_hub,"city category pages, profiles, guide","license/registry/credentials","REQUIRES_OFFICIAL_ASSET",P0,Professionals foundation
professional_city_category,directory_page,/professionals/{category}/{city},{category} {city},money,professional_category,"profiles, local guide","city service coverage, credentials","REQUIRES_OFFICIAL_ASSET",P1,Professionals scale
professional_profile,conversion_page,/professionals/{category}/{profile_slug},איש מקצוע נדלן,money,professional_category,"contact, reviews policy, related guides","license, contact consent, review policy","REQUIRES_OFFICIAL_ASSET",P1,Professionals foundation
urban_renewal_hub,guide_hub,/urban-renewal,התחדשות עירונית,support,home,"tama, pinui binui, city renewal hubs","planning/legal sources","LEGAL_REVIEW",P0,Authority foundation
urban_renewal_city,local_authority_page,/urban-renewal/{city},פינוי בינוי {city},support,urban_renewal_hub,"projects, professionals, planning guides","municipal planning data","LEGAL_REVIEW",P1,Authority scale
tama38_topic,guide_page,/urban-renewal/tama-38,תמא 38,support,urban_renewal_hub,"FAQ, lawyer directory, city hubs","legal/planning source review","LEGAL_REVIEW",P1,Authority foundation
pinui_binui_topic,guide_page,/urban-renewal/pinui-binui,פינוי בינוי,support,urban_renewal_hub,"FAQ, city hubs, professionals","legal/planning source review","LEGAL_REVIEW",P1,Authority foundation
intl_hub,english_money_hub,/en,buying property in Israel,money,home,"EN city hubs, tax, mortgage, lawyers, projects","English content governance","LEGAL_REVIEW",P0,International foundation
intl_buy_guide,english_guide,/en/buy-property-israel,buying property in Israel,support,intl_hub,"tax, mortgage, lawyer, city pages","legal/tax review","LEGAL_REVIEW",P0,International foundation
intl_city_hub,english_local_page,/en/buy/{city},Tel Aviv apartments for sale,money,intl_hub,"projects, professionals, market data","English supply and source disclosure","NEEDS_VERIFICATION",P0,International foundation
intl_tax_guide,english_guide,/en/tax/foreign-buyer-purchase-tax,foreign buyer purchase tax Israel,support,intl_hub,"calculator, lawyer directory","Tax Authority/legal review","LEGAL_REVIEW",P0,International foundation
intl_mortgage_guide,english_guide,/en/mortgage,israeli mortgage calculator english,support,intl_hub,"advisor directory, calculator","Bank/legal review","LEGAL_REVIEW",P1,International foundation
trust_center,trust_hub,/trust,לוח נדלן אמין,support,home,"fake listing, developer check, professional verification","editorial policy, verification methodology","NEEDS_VERIFICATION",P0,Trust foundation
comparison_yad2_madlan,comparison_page,/compare/yad2-vs-madlan-vs-nadlan,יד2 או מדלן,support,trust_center,"methodology, feature matrix, portal routes","editorial/legal review","LEGAL_REVIEW",P0,Trust foundation
fake_listing_guide,trust_guide,/trust/fake-real-estate-listings,מודעת נדלן מזויפת,support,trust_center,"buyer checklist, report flow","evidence, legal wording","LEGAL_REVIEW",P1,Trust foundation
tools_hub,tool_hub,/tools,מחשבוני נדלן,support,home,"valuation, mortgage, tax, yield","tool methodology registry","LEGAL_REVIEW",P0,Tools foundation
glossary_hub,aeo_hub,/glossary,מונחי נדלן,support,home,"term pages, FAQ blocks, schema","editorial review, canonical links","NEEDS_VERIFICATION",P2,AEO foundation
sitemap_public,utility_page,/sitemap,מפת אתר,support,home,"all canonical pages","real routes only, no samples","NEEDS_VERIFICATION",P0,Stage 1 cleanup
