"fact_id","category","field","current_value","status","source_type","source_owner","source_url","source_date_or_version","accessed_on","confidence","contradiction_or_risk","answer_owner","document_or_api_needed","website_action","priority"
"park-021","floors","floor_number_shift","2024 zone ranges are consistently 7 floors above the 2023 plan ranges","derived_snapshot","document comparison","Research team","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","comparison with 2023 LZ MZ HZ PDFs","2026-08-10","high","Cause is unknown; may represent renumbering or document error","Owner architect and leasing team","Versioned legal elevator marketing crosswalk","Show conflict banner and retain both source versions","P0"
"park-022","floors","lowzone_example_gross","2620 sqm gross","owner_disclosed","owner live space page","Allied Real Estate","https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-lowzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/","live page","2026-08-10","high","Archetype is not evidence of a specific available legal floor or certified rentable area","Owner architect and measurement surveyor","Floor-specific certified area schedule","Label zone example and gross basis","P0"
"park-023","floors","midzone_example_gross","1800 sqm gross","owner_disclosed","owner live space page","Allied Real Estate","https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-midzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/","live page","2026-08-10","high","Archetype is not evidence of a specific available legal floor or certified rentable area","Owner architect and measurement surveyor","Floor-specific certified area schedule","Label zone example and gross basis","P0"
"park-024","floors","highzone_example_gross","1740 sqm gross","owner_disclosed","owner live space page","Allied Real Estate","https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-highzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/","live page","2026-08-10","high","Archetype is not evidence of a specific available legal floor or certified rentable area","Owner architect and measurement surveyor","Floor-specific certified area schedule","Label zone example and gross basis","P0"
"park-025","floors","typical_floor_range","Approximately 1600-3000 gross sqm per office floor","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 4","2026-08-10","medium","Broad range cannot price or test-fit a selected floor","Owner architect and measurement surveyor","Certified floor-by-floor schedule","Use only as building overview","P1"
"park-026","floors","lowzone_terraces","Example shows terraces of 35 sqm and 110 sqm","owner_disclosed","owner floor-plan PDF","Allied Real Estate","https://allied-re.co.il/wp-content/uploads/2023/06/lz.pdf","2023 upload","2026-08-10","medium","Not proven on every floor; chargeable area and access unknown","Owner architect and leasing team","Floor-specific terrace schedule and lease charging basis","Show only for matching verified floor","P1"
"park-027","floors","midzone_terraces","Example shows two terraces of 33 sqm","owner_disclosed","owner floor-plan PDF","Allied Real Estate","https://allied-re.co.il/wp-content/uploads/2023/06/mz.pdf","2023 upload","2026-08-10","medium","Not proven on every floor; chargeable area and access unknown","Owner architect and leasing team","Floor-specific terrace schedule and lease charging basis","Show only for matching verified floor","P1"
"park-028","floors","highzone_terraces","Example shows terraces of 73 sqm and 55 sqm","owner_disclosed","owner floor-plan PDF","Allied Real Estate","https://allied-re.co.il/wp-content/uploads/2023/06/hz.pdf","2023 upload","2026-08-10","medium","Not proven on every floor; chargeable area and access unknown","Owner architect and leasing team","Floor-specific terrace schedule and lease charging basis","Show only for matching verified floor","P1"
"park-029","area","project_area_allied","100000 sqm project area","owner_disclosed","owner live page","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","Area definition is not supplied and conflicts in scope with other totals","Owner architect and valuer","Reconciled area statement by use and measurement basis","Label unqualified project area; do not use for cost","P0"
"park-030","area","brochure_area_mix","80000 sqm gross offices plus 12500 sqm gross retail","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 4","2026-08-10","high","Totals 92500 and does not reconcile visibly to 100000","Owner architect and valuer","Reconciled area statement","Show scope and date; flag unreconciled","P0"
"park-031","area","amot_live_marketable_area","75000 sqm marketable comprising 62000 office and 13000 retail","owner_disclosed","owner live page","Amot","https://www.amot.co.il/assets-list/offices/amot-halehi/","live page","2026-08-10","high","Differs from brochure gross and Q1 2026 marketable/build area","Owner architect and valuer","Reconciled rentable marketable gross schedule","Do not merge different area definitions","P0"
"park-032","area","q1_2026_build_marketable_area","86920 sqm at 100% project share","verified_primary_disclosure","owner statutory presentation","Amot","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","Q1 2026 investor presentation","2026-08-10","high","Investor table label does not give tenant usable area","Owner architect and valuer","Reconciled area statement and tenant measurement standard","Show as project investor metric only","P0"
"park-033","area","selected_floor_usable_net","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Without net area the buyer cannot calculate efficiency or headcount","Owner architect and measurement surveyor","Certified usable and rentable schedule plus methodology","Render Not supplied and request pack","P0"
"park-034","area","measurement_standard","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Gross figures may not be comparable across buildings or US standards","Owner architect and leasing counsel","Written lease measurement standard and area certificate","Require before cost comparison","P0"
"park-035","availability","public_zone_cards","LOWZONE MIDZONE and HIGHZONE displayed for rent","owner_disclosed","owner live page","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","Zone cards do not identify available floors or transaction states","Owner leasing team","Signed current availability stack or API","Label zone archetype only","P0"
"park-036","availability","floor_level_availability","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Cannot infer vacancy from zone cards or absence of announced leases","Owner leasing team","Suite-level stack with state hold expiry and timestamp","Default every floor to unknown","P0"
"park-037","availability","office_leases_disclosed","No floor-level office leases identified in reviewed statutory disclosures","verified_primary_disclosure","owner statutory filing review","Amot","https://mayafiles.tase.co.il/rpdf/1721001-1722000/P1721830-00.pdf","2025 annual report","2026-08-10","medium","Absence of disclosure is not proof of no leases","Owner leasing team","Current signed leasing schedule","State not publicly disclosed; do not infer vacant","P0"
"park-038","availability","retail_contracts","Approximately 13000 sqm of contracts in retail context; expected annual rent approximately ILS 22 million total project","verified_primary_disclosure","owner statutory filing","Amot","https://mayafiles.tase.co.il/rpdf/1721001-1722000/P1721830-00.pdf","2025 annual report page 89","2026-08-10","high","Not an office rent comparable and not office availability","Owner asset manager","Use-specific lease schedule","Keep in retail/project context only","P2"
"park-039","completion","brochure_office_occupancy","Q1 2025","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 4","2026-08-10","high","Historic date conflicts with current construction state and later dates","Amot and Allied","Current programme and Form 4","Mark superseded/conflicted","P0"
"park-040","completion","brochure_retail_occupancy","Q4 2024","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 4","2026-08-10","high","Later annual report supports retail handover but not precise full-area opening","Owner retail manager","Retail handover certificate and tenant directory","Use historic target only with later status","P1"
"park-041","completion","q2_2025_form4_expectation","Form 4 expected Q4 2025","verified_primary_disclosure","owner statutory filing","Amot","https://mayafiles.tase.co.il/rpdf/1685001-1686000/P1685103-00.pdf","Q2 2025 English report","2026-08-10","high","Expectation is not proof of issuance","Amot and Bnei Brak municipality","Issued Form 4 and scope","Label historic expectation; do not claim issued","P0"
"park-042","completion","amot_current_target","Page title: approximate occupancy Q3 2026; page body: Q1 2026","owner_disclosed","owner project detail page","Amot","https://www.amot.co.il/en/assets/the-park-project-in-development-occupancy-target-q3-2026/","live project detail page","2026-08-10","high","The same current owner page contradicts itself before comparison with Allied zone dates","Amot and Allied","Floor-specific landlord delivery schedule and Form 4","Show the internal title/body conflict; do not select either date as current floor availability","P0"
"park-043","completion","q1_2026_expected_completion","2026","verified_primary_disclosure","owner statutory presentation","Amot","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","Q1 2026 investor presentation","2026-08-10","high","Project completion is not tenant operational move-in","Amot and Allied","Detailed project and floor handover programme","Separate project completion from tenant move-in","P0"
"park-044","completion","lowzone_live_occupancy","Q4 2024","owner_disclosed","owner live space page","Allied Real Estate","https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-lowzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/","live page","2026-08-10","high","Stale or differently scoped; conflicts with under-construction status","Allied leasing team","Floor-specific delivery and occupancy certificate","Show conflicted and request confirmation","P0"
"park-045","completion","midzone_live_occupancy","2027","owner_disclosed","owner live space page","Allied Real Estate","https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-midzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/","live page","2026-08-10","high","Conflicts with Amot Q3 2026 and generic project completion","Allied leasing team","Floor-specific delivery schedule","Use only for exact verified offer","P0"
"park-046","completion","highzone_live_occupancy","2027","owner_disclosed","owner live space page","Allied Real Estate","https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-highzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/","live page","2026-08-10","high","Conflicts with Amot Q3 2026 and generic project completion","Allied leasing team","Floor-specific delivery schedule","Use only for exact verified offer","P0"
"park-047","completion","delivery_condition","Shell","owner_disclosed","owner live space pages","Allied Real Estate","https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-highzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/","live page","2026-08-10","medium","Shell scope is undefined and may vary by offer","Owner project and leasing teams","Delivery-condition matrix landlord work letter and fit-out guide","Show shell claim plus missing-scope warning","P0"
"park-048","commercial","owner_asking_rent","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Cannot derive from project NOI retail contracts or broker listing","Owner leasing team","Dated owner commercial proposal","Display owner price unavailable","P0"
"park-049","commercial","broker_asking_rent","Approximately ILS 75 per sqm per month","third_party_indication","broker listing","TAG","https://tagassets.co.il/offices-for-rent-in-bnei-brak/offices-for-rent-in-the-park-tower/","live listing","2026-08-10","medium","Not owner-confirmed achieved or net-effective rent; area basis and floor unknown","Owner leasing team","Owner proposal and executed comparable schedule","Show only in dated third-party indication layer","P1"
"park-050","commercial","broker_management_fee","Approximately ILS 18 per sqm per month","third_party_indication","broker listing","TAG","https://tagassets.co.il/offices-for-rent-in-bnei-brak/offices-for-rent-in-the-park-tower/","live listing","2026-08-10","medium","Budget inclusions area basis VAT and reconciliation unknown","Asset manager","Service-charge budget and management agreement","Show only as dated indication with exclusions unknown","P1"
"park-051","commercial","broker_parking_price","Approximately ILS 1200 per bay per month","third_party_indication","broker listing","TAG","https://tagassets.co.il/offices-for-rent-in-bnei-brak/offices-for-rent-in-the-park-tower/","live listing","2026-08-10","medium","Allocation availability VAT EV and licence terms unknown","Owner leasing team and manager","Parking schedule licence and tariff","Show only as dated indication","P1"
"park-052","commercial","arnona_standard_office_2026","ILS 373.86 per assessed sqm per year","authority_verified","municipal tax order","Bnei Brak Municipality","https://www.bnei-brak.muni.il/wp-content/uploads/2026/02/%D7%A6%D7%95-%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94-%D7%9C%D7%A9%D7%A0%D7%AA-2026.pdf","2026 Arnona Order","2026-08-10","high","Actual classification and assessed area remain unknown","Bnei Brak Municipality and tenant tax adviser","Actual assessment and classification decision","Use in calculator only as explicit scenario","P0"
"park-053","commercial","arnona_software_house_2026","ILS 194.67 per assessed sqm per year","authority_verified","municipal tax order","Bnei Brak Municipality","https://www.bnei-brak.muni.il/wp-content/uploads/2026/02/%D7%A6%D7%95-%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94-%D7%9C%D7%A9%D7%A0%D7%AA-2026.pdf","2026 Arnona Order","2026-08-10","high","Restrictive definition; startup or tech company does not automatically qualify","Bnei Brak Municipality and tenant tax adviser","Written eligibility opinion and municipal classification","Never market as automatic startup discount","P0"
"park-054","commercial","arnona_large_office_rates_2026","Published annual thresholds include ILS 311.79 over 5000 sqm; 263.84 over 10000; 211.09 over 15000; 193.46 over 20000","authority_verified","municipal tax order","Bnei Brak Municipality","https://www.bnei-brak.muni.il/wp-content/uploads/2026/02/%D7%A6%D7%95-%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94-%D7%9C%D7%A9%D7%A0%D7%AA-2026.pdf","2026 Arnona Order","2026-08-10","high","Threshold application to a particular holding requires confirmation","Bnei Brak Municipality and tenant tax adviser","Actual assessment and threshold ruling","Scenario only; do not promise rate","P1"
"park-055","commercial","management_budget","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","A single broker fee does not disclose inclusions or future escalation","Asset manager","Annual operating budget inclusions exclusions and reconciliation","Require before total-cost comparison","P0"
"park-056","commercial","fitout_allowance_free_rent","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Net-effective economics cannot be calculated","Owner leasing team","Heads of terms with incentives and fit-out contribution","Show Not supplied; collect in RFP","P0"
"park-057","commercial","lease_security_index_vat","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Cash and FX exposure remain unknown","Owner leasing team and counsel","Heads of terms and draft lease","Expose as comparison fields","P0"
"park-058","parking","parking_levels","Four underground parking levels","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 23","2026-08-10","high","Counts allocation and operational status are absent","Owner architect and manager","As-built parking schedule and operations plan","Show level count with missing-count warning","P1"
"park-059","parking","ev_motorcycle_bicycle","EV parking and motorcycle/bicycle spaces are claimed","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 23","2026-08-10","medium","No counts power tariffs reservations or opening status","Building manager","As-built counts charging operator tariffs and access rules","Do not imply availability; show evidence requested","P1"
"park-060","parking","vehicular_entrances","Two vehicle entrances claimed","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 8","2026-08-10","medium","No coordinates turning restrictions queue or entrance status","Municipality traffic consultant and manager","Approved traffic appendix and as-built access plan","Map only after verified","P0"
"park-061","technical","facade_system","Closed double-skin curtain wall cable wall and concrete honeycomb described","third_party_indication","façade contractor portfolio","Alcon","https://alcon.co.il/projects/%D7%90%D7%9E%D7%95%D7%AA-%D7%94%D7%9C%D7%97%D7%B4%D7%99/","live contractor page","2026-08-10","medium","Does not establish thermal acoustic or operational performance","Owner architect and façade consultant","As-built façade specification commissioning and performance data","Use as design context only","P2"
"park-062","technical","clear_height_floor_to_floor","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Core test-fit and MEP coordination blocker","Owner architect","Signed floor data sheet and current sections","Request on every floor card","P0"
"park-063","technical","floor_load_vibration","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Critical for labs dense storage server rooms and special equipment","Structural engineer","Design criteria and floor-specific load schedule","Request in technical tab","P0"
"park-064","technical","electrical_capacity","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Cannot validate headcount labs kitchens or IT load","Electrical engineer and utility","Single-line load schedule utility letter and tenant allocation","Block technical-ready badge","P0"
"park-065","technical","generator_backup","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Life-safety coverage must not be mistaken for tenant continuity","Landlord electrical engineer and manager","Generator ATS schedule autonomy test certificates and tenant coverage","State unknown; request exact coverage","P0"
"park-066","technical","central_ups","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Buyer must design own UPS unless proven otherwise","Landlord electrical engineer","UPS schedule topology autonomy and tenant policy","Do not imply building UPS","P0"
"park-067","technical","hvac_system_capacity_hours","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Fit-out capacity 24/7 operation and after-hours cost unknown","Mechanical engineer and manager","HVAC design basis equipment schedule hours BMS and tariff","Require for cost and technical comparison","P0"
"park-068","technical","telecom_carriers_diverse_fiber","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Provider names alone would not prove physical path diversity","Landlord telecom lead and carriers","Carrier letters route-diversity drawing riser and MMR schedule","Display only orderable services and physical diversity evidence","P0"
"park-069","technical","elevator_count_capacity_zoning","High-speed all-zone elevators claimed; count capacity and performance absent","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 23","2026-08-10","medium","Marketing label cannot predict door-to-desk time or redundancy","Lift consultant and manager","Elevator schedule zoning traffic study maintenance SLA","Show claim plus missing operational metrics","P0"
"park-070","technical","freight_loading","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Move-in deliveries and daily operations cannot be planned","Building manager","Dock plan vehicle limits booking rules and freight-lift route","Request in logistics tab","P0"
"park-071","technical","security_24_7_access","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Foreign HQ may require 24/7 and security integration","Building security and manager","Security operations manual access-control spec and SLA","Request and avoid generic secure-building claim","P0"
"park-072","technical","fire_life_safety","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Selected-floor occupant load and egress cannot be validated","Owner fire consultant and authority","Approved fire strategy inspection certificates and floor egress plan","Require before executable test-fit","P0"
"park-073","technical","accessibility_completion","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Marketing accessibility cannot prove entrance-to-desk route","Accessibility consultant and municipality","Approved accessibility plans signed completion certificate and field audit","Show route status and evidence","P0"
"park-074","sustainability","leed_claim","LEED Platinum level or standard claimed by both owners","owner_disclosed","owner marketing","Allied and Amot","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","No public certificate ID rating version date or scorecard in reviewed package","Landlord and GBCI USGBC","Project ID current status certificate and scorecard","Label owner claim evidence requested","P0"
"park-075","amenities","lifestyle_floor_claim","Fitness training and classes changing rooms and lounge promised","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 24","2026-08-10","medium","Operator opening hours access cost and current status absent","Building manager","Amenity handover and operations schedule","Mark announced unless operational evidence supplied","P1"
"park-076","amenities","retail_open_status","Retail handed over and stores open","verified_primary_disclosure","owner statutory filing","Amot","https://mayafiles.tase.co.il/rpdf/1721001-1722000/P1721830-00.pdf","2025 annual report page 89","2026-08-10","high","Does not establish a complete current tenant directory","Retail asset manager","Signed current tenant directory with opening states and hours","Show retail open generally; verify each venue separately","P1"
"park-077","amenities","verified_retail_examples","Park Design and furniture retailers including Kaufman Oknin and Dr Gav publish THE PARK or HaLehi locations","third_party_indication","retailer pages","Retailers","https://www.kaufman-group.co.il/the-park","live pages","2026-08-10","medium","Design retail is not proof of food grocery health hotel or employee services","Retail asset manager","Current directory and field verification","List individually with retailer source and hours","P1"
"park-078","amenities","food_grocery_health_hotel_childcare","No complete verified on-site or walkable inventory established","missing","research finding","Research team","","research cut-off","2026-08-10","high","Generic map search can include closed unsafe or inaccessible places","Retail manager plus map provider and field audit","Current place directory hours status and entrance-aware walking routes","Show missing categories and verification state","P1"
"park-079","transport","rail_station_proximity","Bnei Brak railway station point approximately 130 m straight-line from provisional navigation coordinate","derived_snapshot","official GTFS plus retailer navigation point","Ministry of Transport and Kaufman Group","https://gtfs.mot.gov.il/gtfsfiles/israel-public-transportation.zip","snapshot retrieved 2026-08-10","2026-08-10","medium","Straight-line distance is not entrance-to-platform walk or accessibility proof","Building manager and routing provider","Verified entrance network and field-walk route","Label straight-line derived distance; no two-minute guarantee","P0"
"park-080","transport","nearest_bus_stop_proximity","Railway-named bus stop approximately 103 m straight-line from provisional navigation coordinate","derived_snapshot","official GTFS plus retailer navigation point","Ministry of Transport and Kaufman Group","https://gtfs.mot.gov.il/gtfsfiles/israel-public-transportation.zip","snapshot retrieved 2026-08-10","2026-08-10","medium","Correct direction crossing and pedestrian route not verified","Building manager and routing provider","Entrance-aware pedestrian graph and stop-direction mapping","Show derived snapshot with route caveat","P1"
"park-081","transport","rail_departure_snapshot","85 departure events at Bnei Brak station on active Tuesday 2026-08-11 from 05:52 to 24:27; mean event gap 10.2 min 07:00-10:00 and 12.2 min 16:00-19:00","derived_snapshot","official GTFS computation","Ministry of Transport","https://gtfs.mot.gov.il/gtfsfiles/israel-public-transportation.zip","feed calendar 2026-08-10 to 2026-09-09","2026-08-10","high","Events span directions and are not destination frequency reliability or live service","Ministry of Transport and Israel Railways","Live journey planner GTFS-RT and reliability history","Show dated schedule snapshot only; route by destination","P1"
