"gap_id","journey_stage","buyer_question","toha_current_answer","park_current_answer","current_state","severity","decision_risk","required_data_field","evidence_required","data_owner","refresh_sla","one_click_surface","missing_state_action","acceptance_test","generalizes_to"
"G012","identity","Which data on this screen is landlord verified versus editorial?","No consistent fact-level source date confidence system exists in selected tools.","No consistent fact-level source date confidence system exists in selected tools.","MISSING","P0","Buyer cannot distinguish transaction facts from illustrative content.","provenance.*","Field-level source URL document ID verification date and owner.","Product data steward","Per field SLA","Every fact via source affordance","Unknown stays unknown; estimates and conflicts are visually distinct.","Every material fact exposes state source date owner and expiry in one click.","commercial;residential;premium;3D"
"G013","selection","Which physical floor did my tap actually select?","Live audit tap intended for floor 20 selected floors 24 mobile and 23 desktop because hotspots overlap.","Live audit tap intended for floor 20 selected floors 22 mobile and 21 desktop because hotspots overlap.","VERIFIED","P0","The buyer evaluates and enquires about the wrong floor.","selection.resolved_floor_id","Calibrated model Y ranges plus automated hit-test evidence.","3D engine owner and project modeler","Every model release","3D selection confirmation","Require explicit confirmation label and accessible floor selector.","At 375 and 1280 widths 100 taps per target floor resolve to the displayed floor ID.","commercial;residential;premium;3D"
"G014","selection","How many selectable office floors really exist?","Live engine creates 75 selectable units; public sources report differing total-floor counts.","Live engine creates 44 selectable units; owner and statutory sources report 44 52 or 45 office plus 3 retail floors.","CONTRADICTED","P0","3D IDs cannot be trusted as legal floor numbers.","building.floor_schedule","Signed current stack plan mapping physical legal marketing and lift numbers.","Owner architect and leasing team","On stack or numbering change","Floor picker and conflict drawer","Suspend definitive count and show sourced conflict.","Each 3D target maps to one approved floor schedule record with version ID.","commercial;premium;3D"
"G015","selection","Which floors are non-office mechanical retail or amenity levels?","All 75 engine units are presented as selectable homes; non-office program is not mapped.","All 44 engine units are presented as selectable offices despite conflicting retail lifestyle and technical-level programs.","INVENTED","P0","Buyer may request or price a non-leasable level.","floor.use_class","Approved as-built floor program.","Owner architect","On approved program change","3D floor picker","Disable non-leasable levels and explain their use.","Every model level has an explicit use class and only leasable records open commercial details.","commercial;premium;3D"
"G016","selection","What is this floor's exact legal marketing and elevator number?","One numeric floor label is shown without a numbering crosswalk.","One numeric floor label is shown; 2023 and 2024 owner documents shift zone ranges by seven floors.","CONTRADICTED","P0","Tours leases and fit-out documents may reference different floor IDs.","floor.number_crosswalk","Signed floor numbering crosswalk.","Owner architect and building manager","On renumbering","Selected floor identity card","Show every numbering system and conflict; do not normalize silently.","Floor identity copies legal lift marketing and model IDs in one record.","commercial;premium;3D"
"G017","selection","Is this a whole floor or a subdivided suite?","The engine treats each floor as one unit and does not expose suite boundaries.","The engine treats each floor as one unit and does not expose suite boundaries.","MISSING","P0","Area price access and availability may differ by suite.","space.demising_type","Current leasing plan with suite polygons and IDs.","Leasing team and architect","Daily while marketing","Selected-floor plan and suite picker","Label Whole-floor assumption unverified; offer request for current demise.","Verified suite polygons can be selected independently and sum to the certified floor area.","commercial;premium;3D"
"G018","selection","What is the exact rentable area of this selected space?","Engine shows 2787 or 2500 sqm by zone without a measurement standard or floor certificate.","Engine shows 2620 1800 or 1740 sqm by zone without a measurement standard or floor certificate.","SOURCED_ESTIMATE","P0","Rent and occupancy calculations can be materially wrong.","space.rentable_area","Floor-specific certified area schedule and lease measurement standard.","Measurement surveyor and leasing team","On demise change; verify monthly while available","Floor identity and cost card","Label zone archetype not certified; exclude from total-cost calculation.","Displayed rentable area matches a dated floor or suite certificate and names the standard.","commercial;premium;3D"
"G019","selection","What is the net usable area?","Not shown.","Not shown; reviewed owner sources provide gross archetypes rather than selected-floor net.","MISSING","P0","Buyer cannot calculate density efficiency or real cost.","space.usable_area","Certified net usable survey.","Measurement surveyor","On demise or survey change","Area breakdown drawer","Show Not supplied and request measurement pack.","Net area source and calculation basis are shown beside rentable area.","commercial;premium;3D"
"G020","selection","What measurement standard defines net and rentable area?","No standard is exposed.","No standard is exposed.","MISSING","P0","US and Israeli area figures may not be comparable.","space.measurement_standard","Written lease measurement clause and survey methodology.","Owner counsel and measurement surveyor","On methodology change","Area breakdown drawer","Prevent efficiency calculation until supplied.","The calculation cites standard version and reconciles every included common area.","commercial;premium"
"G021","selection","What is the gross-to-net efficiency or load factor?","Not calculated because certified net and measurement basis are missing.","Not calculated because certified net and measurement basis are missing.","MISSING","P0","Headline rent per sqm can conceal a costly load factor.","space.load_factor","Derived only from verified rentable and usable areas under same standard.","Product calculation service","Recalculate on source change","Cost and area comparison","Show Cannot calculate and link the two missing inputs.","Formula inputs result source dates and standard are visible and unit tested.","commercial;premium"
"G022","selection","What are the floor's exact dimensions and planning grid?","No verified dimensions appear in the selected screen.","No verified dimensions appear in the selected screen.","MISSING","P1","Test-fit feasibility cannot be assessed.","floor.dimensions","Current dimensioned CAD or PDF and architect certification.","Owner architect","On as-built revision","Plan tool","Replace empty plan with Request verified floor pack.","Plan displays scale grid dimensions north and revision with downloadable source.","commercial;premium;3D"
"G023","selection","Where are the core columns shafts and risers?","Plan tool opens an empty notice; no floor-specific plan is loaded.","Plan tool opens an empty notice; no floor-specific plan is loaded.","MISSING","P0","A test fit may be physically impossible.","floor.core_geometry","Current CAD BIM or signed plan.","Owner architect and MEP consultant","On as-built revision","Plan tool","Do not show a decorative plan; provide targeted document request.","Core columns shafts risers exits and scale render from a versioned plan.","commercial;premium;3D"
"G024","selection","How many orientations and facade exposures does this floor have?","Every floor is hardcoded west despite a whole-floor office likely having multiple exposures; config orientation is empty.","Every floor is hardcoded west despite a whole-floor office likely having multiple exposures; config orientation is empty.","INVENTED","P0","View daylight heat and planning conclusions are false.","space.exposures","Verified floor plan with compass and facade mapping.","Owner architect and project modeler","On plan or demise change","Compass perimeter on selected floor","Show orientation unknown until verified; never default west.","Whole floors expose all verified facades and suites expose only their frontage.","commercial;residential;premium;3D"
"G025","selection","Which direction does each suite face?","No suite geometry exists; one west value is assigned to every floor.","No suite geometry exists; one west value is assigned to every floor.","INVENTED","P0","A buyer cannot evaluate views daylight or solar load.","suite.exposures","Demising plan linked to facade segments.","Leasing architect","On suite change","Suite plan and beam scene","Use neutral compass and Ask for verified demise.","Selecting a suite highlights only its verified facade arcs.","commercial;premium;3D"
"G026","selection","What can actually be seen from this floor?","View tool is a synthetic Mapbox context view and is labelled illustrative; no verified panorama.","View tool is a synthetic Mapbox context view and is labelled illustrative; no verified panorama.","SOURCED_ESTIMATE","P1","Buyer may mistake a simulation for an unobstructed real view.","floor.view_assets","Dated geolocated panorama or verified sightline study.","Owner marketing and surveyor","Quarterly and after nearby construction","View tool","Prominently label illustrative and offer Request verified view.","Every image states capture date camera point direction and whether actual or simulated.","commercial;residential;premium;3D"
"G027","selection","Are any views obstructed now or by planned buildings?","No obstruction study is connected to the selected floor.","No obstruction study is connected to the selected floor.","MISSING","P1","Long-term view and daylight value may be overstated.","floor.view_obstructions","Current planning search and verified sightline model.","Planning consultant","Quarterly","View risks layer","Show Not assessed and a planning-risk request.","The layer distinguishes existing approved and proposed obstructions with dates.","commercial;residential;premium"
"G028","selection","Does the selected floor include terraces and how large are they?","Selected UI uses a generic balcony label but no floor-specific evidence.","Owner example plans show different terrace areas by zones; engine shows generic balcony semantics without floor linkage.","INVENTED","P1","Outdoor area access charging and usability may be misrepresented.","space.terraces","Floor-specific signed plan and lease charging basis.","Owner architect and leasing team","On floor or lease package change","Area breakdown and plan","Call it terrace only when verified; otherwise hide the row.","Terrace polygon area access exclusivity and charge basis match selected floor evidence.","commercial;residential;premium;3D"
"G029","selection","What is the floor-to-floor and clear finished ceiling height?","Not present in the selected context.","Not present in the selected context.","MISSING","P1","Density services and interior concept may fail.","floor.clear_height","As-built section and landlord technical specification.","Owner architect","On as-built revision","Technical facts drawer","Show Not supplied and request technical pack.","Heights distinguish slab-to-slab base-build and expected finished clear height.","commercial;premium"
"G030","selection","What live load can the floor support?","Not exposed for the selected floor.","Not exposed for the selected floor.","MISSING","P0","Labs archives equipment or dense storage may be unsafe or prohibited.","floor.live_load_capacity","Structural engineer letter and as-built schedule.","Owner structural engineer","On structural change","Technical facts drawer","Do not state a default; request engineer confirmation for special loads.","Capacity units zones exceptions and source revision are displayed.","commercial;premium"
"G031","availability","Is this exact floor available now?","All 75 units default to available even though live availability fields and evidence are empty.","All 44 units default to available while the text says availability and price are with the developer.","INVENTED","P0","A false vacancy claim wastes buyer time and creates legal and trust risk.","space.availability_status","Signed landlord availability stack or authenticated feed.","Leasing team","Daily; hourly during active negotiations","Selected floor status chip","Default to unknown; show Request live check with response SLA.","No floor is available without source verified_at expires_at and authorized owner.","commercial;residential;premium;3D"
"G032","availability","When was availability last verified?","No selected-floor verification timestamp.","No selected-floor verification timestamp.","MISSING","P0","Buyer cannot judge whether a vacancy claim is current.","space.availability_verified_at","Timestamp from authorized feed or signed schedule.","Leasing operations","Daily","Status chip source popover","Show Not verified and do not color green.","Status displays human-readable age and becomes unknown automatically at expiry.","commercial;residential;premium;3D"
"G033","availability","Who verified the availability?","No data owner appears.","No data owner appears.","MISSING","P0","The claim lacks accountability.","space.availability_owner","Authorized organization role and feed identity.","Leasing director","On assignment change","Status source popover","Show source owner missing and route verification request.","Only allowlisted owners can publish transaction status.","commercial;residential;premium"
"G034","availability","Is the space available under offer reserved leased or not marketed?","Engine enum only supports available reserved sold and missing values coerce to available.","Engine enum only supports available reserved sold and missing values coerce to available.","INVENTED","P0","Commercial negotiation states are collapsed into false vacancy.","space.availability_status","Landlord transaction-state feed.","Leasing operations","Daily","Status chip","Allowed commercial states include verified_available under_offer leased not_marketed and unknown.","Every source state maps losslessly; unknown never maps to available.","commercial;premium;3D"
"G035","availability","Can the selected floor be divided and what is the minimum suite?","No demise options or minimum unit are shown.","No demise options or minimum unit are shown.","MISSING","P0","Buyer may reject a viable building or pursue an impossible area.","space.divisibility","Landlord-approved demise options and constraints.","Leasing architect","Weekly while marketing","Availability and plan tool","Show Unknown; add Request demise study.","Approved suite options display area geometry shared-core impacts and lead time.","commercial;premium"
"G036","availability","Can adjacent floors be leased together?","No contiguous availability logic.","No contiguous availability logic.","MISSING","P1","Multi-floor occupiers cannot assess scale.","space.contiguous_groups","Live stack with vertical adjacency and exclusivity.","Leasing operations","Daily","Stack availability drawer","Offer Request contiguous block when source unavailable.","Selecting an area requirement returns only verified contiguous combinations.","commercial;premium;3D"
"G037","availability","What is the earliest lawful move-in date for this floor?","Public project timing does not produce a floor-specific lawful and fitted move-in date.","Historic owner dates conflict with current under-construction signals; no floor-specific lawful date.","CONTRADICTED","P0","Hiring relocation and lease commitments may be scheduled incorrectly.","space.earliest_move_in","Current construction program Form 4 scope landlord delivery condition and fit-out path.","Owner project director","Weekly during delivery","Availability card","Show Range not guarantee with prerequisites; block a precise date without evidence.","Date distinguishes building completion possession fit-out start and operational occupancy.","commercial;premium"
"G038","availability","What landlord delivery condition will I receive?","No selected-floor delivery condition.","No selected-floor delivery condition.","MISSING","P0","Budget and schedule cannot be compared.","lease.delivery_condition","Signed landlord specification and sample handover protocol.","Leasing team and project director","Per leasing package revision","Fit-out and cost summary","Show Not supplied and request delivery specification.","Shell core fitted or turnkey state is defined with inclusions exclusions and revision.","commercial;premium"
"G039","availability","Is there a hold expiry or competing offer?","No transaction hold metadata.","No transaction hold metadata.","MISSING","P1","Buyer may act on stale or strategically incomplete status.","space.hold_expires_at","Authorized leasing CRM state.","Leasing operations","Real time","Status details","Protect confidential counterparties but show state and expiry confidence.","Under-offer records expire automatically and never reveal another party's identity.","commercial;premium"
"G040","availability","Can I receive a current signed availability schedule?","No one-click data-room request tied to floor.","No one-click data-room request tied to floor.","MISSING","P0","Buyer cannot progress from discovery to verifiable shortlist.","documents.availability_schedule","Signed and dated landlord schedule.","Leasing director","Daily","Request verified floor pack","Prefill project floor and document ID; return case ID and SLA.","A test request reaches authorized recipient and status is trackable without resubmission.","commercial;premium;leads"
"G041","cost","What is asking base rent per chargeable sqm per month?","No selected-floor price; engine price values are zero.","Page states price with developer; selected-floor price is absent.","MISSING","P0","Buyer cannot determine affordability.","cost.base_rent_monthly","Dated landlord quote with area basis currency VAT and validity.","Leasing director","Daily while marketed","Cost snapshot","Show Quote required and request a live commercial quote.","A displayed rent includes currency unit basis source date expiry and selected space ID.","commercial;premium"
"G042","cost","Is the rent quoted on net usable rentable or gross area?","No rent and no measurement basis.","No rent and no measurement basis.","MISSING","P0","Per-sqm comparisons may be misleading.","cost.rent_area_basis","Landlord quote plus measurement clause.","Leasing counsel","Per quote","Cost detail","Block comparable effective-rent calculation until basis is known.","Area basis matches certified area field and is shown beside the rate.","commercial;premium"
"G043","cost","What annual indexation applies?","Not connected to selected floor.","Not connected to selected floor.","MISSING","P0","Long-term occupancy cost may be understated.","lease.indexation","Draft heads of terms or standard lease clause.","Leasing counsel","Per offer revision","Lease terms drawer","Show Not quoted and ask for term sheet.","Index name floor cap lag and frequency are separately structured.","commercial;premium"
"G044","cost","What service or management fee is charged?","No floor cost stack.","No floor cost stack.","MISSING","P0","All-in monthly cost is unknown.","cost.service_charge","Current budget and reconciliation policy.","Property manager","Annual budget plus quarterly update","Cost calculator","Show Missing input; exclude from total and display incomplete badge.","Total never presents as complete unless service charge state is verified or explicitly zero.","commercial;premium"
"G045","cost","What municipal arnona rate and classification apply?","Long-form content may discuss taxes generally; no verified selected-space rate.","Long-form content may discuss taxes generally; no verified selected-space rate.","MISSING","P0","Local tax can materially alter occupancy cost.","cost.arnona","Current municipal tariff classification and measured taxable area.","Municipal tax adviser and property manager","Annual and on classification change","Cost calculator","Show estimate only with municipality class year and caveat.","Arnona calculation exposes tariff taxable area discounts assumptions and source year.","commercial;premium"
"G046","cost","How much does each parking space cost?","No selected-floor parking quote.","No selected-floor parking quote.","MISSING","P1","Commute benefit and all-in cost cannot be compared.","cost.parking_monthly","Landlord quote and parking allocation schedule.","Leasing team","Per quote","Commute and cost calculator","Show Quote required.","Parking rate includes VAT indexation access hours and allocation status.","commercial;premium"
"G047","cost","How many parking spaces are allocated to this lease?","No floor allocation.","No floor allocation.","MISSING","P0","Headcount commute plan may be infeasible.","space.parking_allocation","Landlord ratio and floor or lease allocation.","Leasing operations","Per offer revision","Selected floor commute card","Show Not committed and request allocation.","Allocation distinguishes included optional visitor accessible EV and bicycle spaces.","commercial;premium"
"G048","cost","What is the fit-out contribution or tenant improvement allowance?","Not shown.","Not shown.","MISSING","P0","Net effective rent and capital requirement are unknown.","deal.ti_allowance","Dated heads of terms.","Leasing director","Per negotiation","Deal terms drawer","Show Negotiable not zero; request quote.","Allowance currency basis payment milestones conditions and clawback are structured.","commercial;premium"
"G049","cost","What rent-free period is offered?","Not shown.","Not shown.","MISSING","P1","Comparable effective rent cannot be calculated.","deal.rent_free_months","Dated heads of terms.","Leasing director","Per negotiation","Deal terms drawer","Show Not quoted.","Effective-rent calculator uses verified commencement and free-rent schedule.","commercial;premium"
"G050","cost","What deposit guarantee or security package is required?","Not shown.","Not shown.","MISSING","P1","Foreign startup liquidity needs may be misjudged.","deal.security_requirements","Draft heads of terms and landlord credit policy.","Leasing counsel and finance","Per offer","Deal terms drawer","Provide Request foreign-company terms.","Cash deposit guarantee parent support and alternatives appear as separate negotiable fields.","commercial;premium"
"G051","cost","What utilities are included and separately metered?","Not floor-specific.","Not floor-specific.","MISSING","P1","Operating cost and ESG reporting are uncertain.","cost.utility_structure","Landlord technical and service-charge specification.","Property manager","Annual and on system change","Cost and MEP drawer","Show Not supplied and request meter schedule.","Electricity water HVAC after-hours and common services each show inclusion and meter basis.","commercial;premium"
"G052","cost","What does after-hours HVAC cost?","No rate or operating policy.","No rate or operating policy.","MISSING","P1","Global teams may face unexpected recurring cost.","cost.after_hours_hvac","Current property management tariff and policy.","Property manager","Quarterly","HVAC and cost calculator","Show Quote required rather than zero.","User can enter hours and calculate a sourced cost range.","commercial;premium"
"G053","cost","What is the estimated monthly all-in occupancy cost?","No office cost calculator; compare tool uses home fields.","No office cost calculator; compare tool uses home fields.","MISSING","P0","Decision makers cannot compare alternatives.","derived.total_occupancy_cost","Verified base rent service fee arnona parking utilities and assumptions.","Product calculation service","On any input change","Cost snapshot and compare","Mark incomplete and list missing inputs; never silently treat missing as zero.","Monthly annual per-sqm and per-employee totals reconcile to visible inputs.","commercial;premium"
"G054","cost","What is the cost per employee at my planned density?","No headcount or usable-area calculator.","No headcount or usable-area calculator.","MISSING","P1","Business case cannot relate real estate to workforce.","derived.cost_per_employee","Verified total cost usable area and buyer headcount.","Product calculation service","On input change","Fit-out scenario and compare","Explain which verified inputs are absent.","Scenario result updates from headcount and preserves source state for every cost.","commercial;premium"
"G055","cost","Which amounts include VAT and which do not?","No selected-floor cost stack.","No selected-floor cost stack.","MISSING","P0","Foreign budgeting and cash-flow comparisons may be wrong.","cost.vat_treatment","Landlord quote and tax-adviser annotation.","Leasing counsel and tax adviser","Per quote and law change","Cost detail","No default VAT assumption; show tax advice caveat.","Every monetary field declares inclusive exclusive exempt or unknown.","commercial;premium"
"G056","fit-out","Can this floor support my target headcount?","Tour invents residential rooms; no office test fit or verified net area.","Tour invents residential rooms; no office test fit or verified net area.","INVENTED","P0","Buyer receives a visually persuasive but irrelevant capacity answer.","fitout.capacity_scenarios","Verified plan core egress net area and density assumptions.","Workplace architect","On plan revision","Commercial studio","Disable capacity result until required geometry is present.","Scenario shows desk count rooms circulation and code constraints with assumption list.","commercial;premium"
"G057","fit-out","Can I test open-plan cellular hybrid lab or client-facing layouts?","Studio loads a generic residential apartment designer.","Studio loads a generic residential apartment designer; Park screenshot says four-room apartment by the sea.","INVENTED","P0","The flagship tool damages trust and cannot answer office needs.","fitout.scenario_type","Commercial workplace templates approved for real geometry.","Product owner and workplace architect","Per template release","Commercial studio","Hide residential studio for commercial assets; offer office brief and request test fit.","No residential template or label can load when asset_type is commercial_office.","commercial;premium;3D"
"G058","fit-out","Where can meeting rooms reception kitchen IT and wellness spaces fit?","Tour labels living dining kitchen master bedroom and bedrooms.","Tour labels living dining kitchen master bedroom and bedrooms.","INVENTED","P0","Interior program is false.","fitout.program_zones","Verified test-fit model based on selected geometry.","Workplace architect","Per scenario revision","Commercial studio","Show empty brief builder until a verified test fit exists.","Program zones use commercial taxonomy and retain revision and author.","commercial;premium"
"G059","fit-out","What workstation density assumptions are being used?","No commercial assumption panel.","No commercial assumption panel.","MISSING","P1","Headcount claims cannot be evaluated.","fitout.density_assumption","Buyer input and workplace guidance with source.","Workplace strategist","Per scenario","Commercial studio","Require user selection; do not impose a hidden default.","sqm per person workpoint sharing and attendance are visible editable inputs.","commercial;premium"
"G060","fit-out","What is the landlord approval process for fit-out?","Long article content may advise RFP steps; no selected-floor workflow.","Long article content may advise RFP steps; no selected-floor workflow.","MISSING","P1","Schedule and consultant obligations are unknown.","fitout.approval_process","Landlord fit-out guide and contact matrix.","Owner project manager","On policy change","Fit-out pack drawer","Request the current guide with case tracking.","Stages submissions reviewers durations fees and required consultants are listed.","commercial;premium"
"G061","fit-out","What are base-build inclusions and tenant works exclusions?","Not floor-specific.","Not floor-specific.","MISSING","P0","Capital budget may omit major systems.","fitout.base_build_scope","Landlord technical specification and handover schedule.","Owner project director","Per delivery revision","Fit-out and delivery card","Show Not supplied and request technical pack.","Every scope item is included excluded allowance or unknown.","commercial;premium"
"G062","fit-out","What is the realistic fit-out duration?","No floor-specific duration or assumptions.","No floor-specific duration or assumptions.","MISSING","P1","Move planning may be unrealistic.","fitout.duration_range","Workplace architect estimate based on scope permits procurement and access.","Project manager","Per scenario","Timeline tool","Label sourced estimate with confidence and prerequisites.","Duration is a range and changes when scope or delivery condition changes.","commercial;premium"
"G063","fit-out","When can contractors access the floor and loading dock?","No logistics calendar.","No logistics calendar.","MISSING","P1","Fit-out schedule may fail despite nominal possession.","fitout.contractor_access","Building logistics rules and booking calendar.","Building manager","Monthly and during works","Loading and fit-out drawer","Show Not confirmed and request logistics rules.","Access hours booking lead time lift protection and blackout dates are explicit.","commercial;premium"
"G064","fit-out","Are landlord-approved consultants or contractors mandatory?","Not shown.","Not shown.","MISSING","P1","Procurement cost and timing may change.","fitout.mandatory_vendors","Current landlord fit-out manual.","Owner project manager","On vendor policy change","Fit-out pack","Request manual; do not imply free choice.","Mandatory recommended and prohibited vendor rules are distinguished.","commercial;premium"
"G065","fit-out","Can I import and download a test-fit brief for my team?","No office brief workflow.","No office brief workflow.","MISSING","P2","Buyer cannot collaborate with US workplace and finance teams.","fitout.brief","User-entered requirements plus floor context and sources.","Product team","On product release","Commercial studio","Allow save or export only after consent and clear retention terms.","Export includes project floor assumptions missing evidence and revision timestamp.","commercial;premium"
"G066","fit-out","Can I request a verified CAD BIM and landlord technical pack in one click?","Plan tool only states that an approved sales plan has not been received.","Plan tool only states that an approved sales plan has not been received.","MISSING","P0","Buyer hits a dead end at the exact decision moment.","documents.floor_pack","Versioned CAD BIM PDF specifications and access policy.","Owner architect and leasing team","On document revision","Plan tool primary action","Replace dead end with prefilled request and case ID.","Request carries project floor document list user need and SLA to authorized recipient.","commercial;premium;leads"
"G067","mep","What electrical capacity is available to this floor?","Detailed project content is far below the engine; no verified floor allocation appears in selection.","Page discusses electricity far below the engine; no verified selected-floor capacity appears.","MISSING","P0","High-compute or lab operations may be impossible.","mep.electrical_capacity","Signed electrical load schedule and spare capacity confirmation.","Owner electrical engineer","Quarterly and on allocation change","Technical facts drawer","Show Building claim not floor allocation where applicable; request engineer letter.","Value includes kVA normal emergency spare allocation voltage and evidence date.","commercial;premium"
"G068","mep","How much spare electrical capacity is contractually reservable?","Not shown.","Not shown.","MISSING","P0","Future growth and server demand cannot be planned.","mep.spare_power_reservable","Engineer confirmation plus landlord allocation policy.","Owner electrical engineer and leasing team","Monthly while negotiating","Power card","Never infer spare from installed capacity.","Reserved and shared spare capacities are separately identified with expiry.","commercial;premium"
"G069","mep","Is there generator backup and which loads are served?","No floor-scoped answer.","No floor-scoped answer.","MISSING","P0","Business continuity assumptions may be false.","mep.generator_scope","Single-line diagram generator schedule and landlord policy.","Owner electrical engineer","Annual and after testing or change","Resilience drawer","Show Not verified; request resilience pack.","Capacity runtime refueling priority and served circuits are displayed.","commercial;premium"
"G070","mep","Is UPS provided by the building or must the tenant install it?","No answer.","No answer.","MISSING","P0","Critical systems may be unprotected.","mep.ups_scope","Landlord technical specification and electrical design.","Owner electrical engineer","On system change","Resilience drawer","State Unknown and ask exact question.","Building and tenant UPS responsibilities plus supported loads are explicit.","commercial;premium"
"G071","mep","What is generator runtime at declared load?","Not shown.","Not shown.","MISSING","P1","Disaster recovery cannot be evaluated.","mep.generator_runtime","Test report fuel capacity and load assumption.","Facility manager","After each annual load test","Resilience drawer","Do not display a generic runtime.","Runtime has test date load percentage fuel assumption and confidence.","commercial;premium"
