"fact_id","category","field","buyer_question","status","value","unit","scope","as_of","source_title","source_url","source_type","accessed","confidence","contradiction_or_caveat","answer_owner","required_document_or_api","ux_requirement"
"TH2-028","floors","approved_office_bands","Which floor bands were approved as offices?","verified","4-5; 8-21; 24-25 mixed; 28-47; 52-71, subject to mixed/shared program","floors","2021 approved program","2021","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","high","Approved program is not current availability or as-built use.","Owner project manager and architect","Latest floor-use register and occupancy permit set","Label approved program and require live availability overlay."
"TH2-029","floors","technical_bands","Which levels are technical?","verified","2-3; 22-23; 48-49; 72-78 in the 2021 program","floors","2021 approved program","2021","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","high","May change in later permit/as-built register.","Owner project manager and architect","Latest floor-use register","Render unselectable and label technical."
"TH2-030","floors","bridge_levels","Where is the bridge to ToHa1?","verified","Levels 26-27 in the 2021 approved program, toward ToHa1 level 26","floors","Approved design","2021","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","medium","Operating access, security and final as-built configuration are not public.","Owner project manager and building operator","As-built bridge plan and access/security policy","Show as circulation/common space, not generic office."
"TH2-031","floors","sky_lobbies","Where are the sky lobbies?","verified","Levels 24-25 and 50-51 in the 2021 approved program","floors","Approved design","2021","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","medium","Mixed office/gallery/common program and final access are not confirmed.","Owner project manager and operator","As-built floor plans and operating/access program","Separate common and leasable polygons."
"TH2-032","floors","floor79_program","What is floor 79 used for?","missing","Not identified in the parsed 2021 program table","","Floor 79","2021-2026","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","low","Do not infer office or technical use.","Owner project manager and architect","Current permitted/as-built floor register","Display Unknown and make unselectable until verified."
"TH2-033","areas","marketed_area","What scale does the latest owner financial report market?","verified","Approximately 156,000","sqm","Above-ground marketed area","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","high","Not a signed floor-by-floor rentable area schedule.","Joint owner leasing and measurement surveyor","Signed area schedule and measurement standard","Show scope and approximation."
"TH2-034","areas","public_area_figures","What other area figures are published?","contradicted","100,000 net; 143,000 contractor above-ground; 160,000 marketing; 165,000 office/business; 201,000 total","sqm","Different scopes and definitions","2023-2026","Ron Arad ToHa2 page","https://ronarad.com/projects/toha2/","architect project page","2026-08-10","high","These values cannot be merged or compared without measurement definitions.","Owner project manager, architect and measurement surveyor","Reconciliation schedule mapping every published figure to scope","Use named fields, not a single area KPI."
"TH2-035","areas","typical_floor_plate","How large is a typical plate?","owner_claim","Over 30,000 sq ft GFA, approximately 2,787 sqm; owner article separately says 2,500-3,000 sqm","sqm gross","Typical design plate only","2024-2026","Ron Arad ToHa2 page","https://ronarad.com/projects/toha2/","architect project page","2026-08-10","medium","Every floor geometry and area may differ; gross is not usable/rentable.","Owner architect and leasing team","Signed floor-by-floor area schedule and demised plans","Show selected-floor facts only; label typical separately."
"TH2-036","areas","usable_area_by_floor","How much usable space is on a selected floor?","missing","Not publicly verified","sqm","Floor/suite-specific","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","Marketing totals cannot answer a suite-level question.","Joint leasing, architect and measurement surveyor","Signed floor area certificate with usable/rentable/gross and measurement standard","Show null plus request document."
"TH2-037","areas","measurement_standard","Which standard determines charged area?","missing","Not publicly verified","","Lease measurement","2026-08-10","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","low","BOMA, IPMS and Israeli lease conventions can produce different areas.","Joint owner leasing/legal team and surveyor","Lease measurement clause, standard/version and signed certificate","Always display standard and load/core factor beside rent."
"TH2-038","areas","orientation_true_north","Which direction does the selected floor face?","missing","No floor-specific georeferenced orientation was publicly verified","degrees true north","Floor/suite","2026-08-10","Ron Arad ToHa2 page","https://ronarad.com/projects/toha2/","architect project page","2026-08-10","low","A render camera is not a compass; floor geometry varies.","Owner BIM manager and architect","Georeferenced as-built IFC/BIM with survey control","Derive compass from BIM, disclose model revision."
"TH2-039","areas","views","What will I see from this floor?","missing","No verified floor/window-specific view study","","Floor, facade bay and future skyline","2026-08-10","Ron Arad ToHa2 page","https://ronarad.com/projects/toha2/","architect project page","2026-08-10","low","Renders do not establish current or protected views.","Owner architect/BIM manager","Georeferenced view study with current and approved massing, dates and obstruction distances","Show ray-cast view cones and render disclaimer."
"TH2-040","commercial","toha2_asking_rent","What is the asking rent for an available floor?","missing","No public verified quote","NIS/sqm/month","Exact floor, condition and term","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Generic contact form does not provide price, validity or area basis.","Joint Amot/Gav-Yam leasing team","Timestamped approved term sheet for exact floor and area basis","Show Not published and one-click request exact term sheet."
"TH2-041","commercial","google_annual_rent","What is the latest disclosed Google package rent?","verified","Approximately 120,000,000 per year, index-linked","NIS/year","Google package including office and several hundred parking spaces, shell/core","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","high","Older article says NIS115m; package cannot be divided by area to derive ToHa2 asking rent.","Joint owner leasing/legal team","Executed/redacted economic schedule if used as a precedent","Label package scope and current as-of; no unit-price calculation."
"TH2-042","commercial","market_asking_benchmark","What is the nearby market asking-rent benchmark?","verified","129","NIS/sqm/month","Yigal Alon vicinity average asking rent in H2 2025 survey","H2 2025","C&W Inter Israel office market report","https://fliphtml5.com/dixys/rxoj/","reputable market research","2026-08-10","medium","Benchmark generally reflects fitted space and is not a ToHa2 quote or valuation.","C&W Inter Israel for report; owner for offer","Current comparable-set methodology and owner term sheet","Clearly label benchmark, survey period and fit-out assumption."
"TH2-043","commercial","service_charge","What are management/service charges?","missing","Not publicly verified","NIS/sqm/month","Exact premises and cost year","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","No budget, exclusions, cap or reconciliation method is public.","Owner asset/building manager","Annual service-charge budget, allocation formula, exclusions, cap, audit and reconciliation rules","Include in monthly TCO with source and validity."
"TH2-044","commercial","parking_price","What does each parking space cost?","missing","Not publicly verified","NIS/space/month","Tenant, visitor and public parking","2026-08-10","Gav-Yam Google transaction article","https://gav-yam.co.il/en/the-largest-rental-deal-in-israel-google-will-rent-a-third-of-the-toha2-tower-in-tel-aviv-for-115-million-shekels-per-year/","owner transaction article","2026-08-10","low","Google receives several hundred spaces but no current tenant/public tariff is disclosed.","Owner leasing team and parking operator","Current rate card, allocation rules and tax treatment","Display price by parking type and contract status."
"TH2-045","commercial","fitout_allowance","What landlord fit-out contribution is offered?","missing","Not publicly verified","NIS/sqm","Exact transaction","2026-08-10","C&W Inter Israel office market report","https://fliphtml5.com/dixys/rxoj/","reputable market research","2026-08-10","low","Market report average landlord participation is not a ToHa2 offer.","Joint owner leasing team","Floor-specific approved term sheet and landlord work letter","Separate market context from offered TI and rent-free."
"TH2-046","commercial","delivery_condition","Is the premises shell, CAT A or fitted?","missing","Google package is described as shell/core; other inventory condition not public","","Floor-specific","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","low","Google condition cannot be applied to another floor.","Joint owner leasing/project team","Floor condition survey, landlord work letter and photos","Show condition per floor with dated actual imagery."
"TH2-047","commercial","arnona_standard_zone1","What is the 2026 standard office arnona rate if zone 1 applies?","verified","449.78 per year, approximately 37.48 per month","NIS/sqm","Tel Aviv non-residential zone 1 tariff, not a unit assessment","2026","Tel Aviv 2026 arnona order","https://www.tel-aviv.gov.il/Residents/Arnona/Documents/%D7%97%D7%95%D7%91%D7%A8%D7%AA%20%D7%A6%D7%95%20%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94%20%D7%9C%D7%A9%D7%A0%D7%AA%202026.pdf","official municipal tax order","2026-08-10","high","Zone and municipal measured area must be confirmed for the exact unit.","Tel Aviv municipality and tenant tax adviser","Unit assessment, zone map result and measured area","Present scenario, not guaranteed bill."
"TH2-048","commercial","arnona_software","Could a software company qualify for a lower arnona classification?","verified","196.49 per year, approximately 16.37 per month for qualifying software houses","NIS/sqm","Tariff category citywide; eligibility fact-specific","2026","Tel Aviv 2026 arnona order","https://www.tel-aviv.gov.il/Residents/Arnona/Documents/%D7%97%D7%95%D7%91%D7%A8%D7%AA%20%D7%A6%D7%95%20%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94%20%D7%9C%D7%A9%D7%A0%D7%AA%202026.pdf","official municipal tax order","2026-08-10","high","A startup is not automatically eligible; principal activity and assessment matter.","Tel Aviv municipality and tenant tax adviser","Written classification determination or precedent and unit assessment","Use eligibility questionnaire and conservative base case."
"TH2-049","commercial","total_occupancy_cost","What is the all-in monthly cost?","missing","Cannot be calculated from public facts","NIS/month","Exact floor, term and company","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Rent, charged area, index, service charge, parking, utilities, after-hours HVAC, TI and VAT are absent.","Joint leasing, building manager, municipality and tenant advisers","Term sheet, area certificate, service budget, tariffs, unit assessment and tax treatment","Show low/base/high TCO only when every input is sourced."
"TH2-050","structure","gross_floor_height_control","What height does planning allow for a typical employment floor?","verified","Maximum 3.8 gross floor height","m","Planning control for typical employment floor","Statutory plan","Statutory plan regulations","https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf","official planning document","2026-08-10","high","Gross floor-to-floor control is not clear finished ceiling height.","Owner architect/project manager","Stamped as-built section and finish-zone schedule","Never label 3.8 m as clear ceiling height."
"TH2-051","structure","clear_ceiling_height","What is the clear finished ceiling height on this floor?","missing","Not publicly verified","m","Floor/suite and delivery condition","2026-08-10","Statutory plan regulations","https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf","official planning document","2026-08-10","low","Planning gross height cannot answer this.","Owner architect/project manager","Floor-specific as-built sections and tenant technical handbook","Show floor-specific value and lowest obstruction."
"TH2-052","structure","floor_load","Can the floor support dense offices, labs or compact storage?","missing","Live, concentrated and partition loads not public","kPa or kg/sqm","Floor and use specific","2026-08-10","Ron Arad ToHa2 page","https://ronarad.com/projects/toha2/","architect project page","2026-08-10","low","Typical plate area says nothing about structural capacity.","Owner project manager and structural engineer","Stamped tenant structural criteria and floor-by-floor load schedule","Expose load, vibration and penetration limits before fit-out design."
"TH2-053","structure","grid_core","What are the column grid and core dimensions?","missing","Not publicly verified","m","Selected floor","2026-08-10","Ron Arad ToHa2 page","https://ronarad.com/projects/toha2/","architect project page","2026-08-10","low","Central-core design claim lacks dimensioned floor plan.","Owner architect/BIM manager","Revision-controlled CAD/BIM and demised plan","Allow test-fit on real geometry, not a generic plate."
"TH2-054","power","tenant_power","How much normal and critical power is allocated?","missing","Not publicly verified","W/sqm or kVA","Selected floor/tenant","2026-08-10","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","low","Basement transformer locations do not establish tenant capacity.","Owner MEP engineer and building operator","MEP basis of design, load allocation and final single-line diagrams","Show normal/critical allocation and expansion headroom."
"TH2-055","power","utility_redundancy","Are there dual utility feeds?","missing","Not publicly verified","","Base building","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","No topology or utility confirmation public.","Owner MEP engineer and utility","Utility letters and final single-line diagram","Use verified topology, not resilient-building language."
"TH2-056","power","generator","What does emergency generation cover and for how long?","missing","Capacity, N+1, coverage, runtime and refueling not public","kVA and hours","Base building and tenant critical loads","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","No public basis for generator or UPS claims.","Owner MEP engineer and operator","Generator/ATS schedule, fuel/runtime calculation, critical-load matrix and load-bank tests","Show actual covered loads, runtime and test date."
"TH2-057","power","ups","Is tenant UPS supplied?","missing","Not publicly verified","kVA and minutes","Base building versus tenant scope","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","UPS may be tenant work; public material is silent.","Owner MEP engineer and leasing team","Landlord work letter, UPS schedule and tenant responsibility matrix","State landlord/tenant responsibility explicitly."
"TH2-058","hvac","system_and_capacity","What HVAC system and capacity serve my floor?","missing","Not publicly verified","W/sqm or tons","Floor and operating zone","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","Sustainability claims do not disclose design capacity.","Owner MEP engineer and operator","Mechanical basis of design, schedules and commissioning reports","Show system, capacity, outside air and constraints per floor."
"TH2-059","hvac","after_hours","Can we operate 24/7 and what does after-hours HVAC cost?","missing","Hours, zones, notice and tariff not public","NIS/hour or zone","Selected floor/tenant","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Critical for US/Israel time-zone overlap and servers.","Building operator and leasing team","Operating manual, after-hours HVAC rate card and SLA","Include in TCO and floor fact panel."
