"field_id","asset_types","type","required","definition","allowed_values","unit","truth_default","source_requirement","owner","refresh_rule","expiry_behavior","public_display","unknown_behavior","example"
"entrance.type","all","enum","CONDITIONAL","Operational purpose of an entrance.","visitor;tenant;accessible;parking;loading;service;retail","none","unknown","Owner entrance schedule and accessibility survey.","Building manager","Quarterly","Mark stale and remove route recommendation","Yes","Label Entrance type not verified.","visitor"
"entrance.coordinate","all","geo_point","CONDITIONAL","Surveyed coordinate of an entrance rather than project center.","Valid WGS84 point","WGS84","unknown","Survey or building manager verified route.","Geo data steward","Annual and on route change","Hide one-tap directions when expired","Yes","Route only to project center with approximate label.","value=null; evidence.state=unknown"
"entrance.name","all","localized_string","CONDITIONAL","Human-readable lobby or gate label used in directions.","Verified per-locale label","none","unknown","Building manager entrance schedule.","Localization and building manager","On naming change","Retain old label only in provenance","Yes","Use Entrance not verified.","Visitor lobby"
"entrance.access_hours","commercial;retail","schedule","CONDITIONAL","Days and hours when this entrance is usable by the relevant user.","Timezone-aware weekly schedule plus exceptions","local time","unknown","Current security and building policy.","Security manager","Quarterly","Show stale warning and request confirmation","Yes","State Hours not confirmed.","value=null; evidence.state=unknown"
"entrance.accessible_verified","all","boolean","CONDITIONAL","Whether an end-to-end step-free route is currently verified.","true;false","none","unknown","Accessibility audit covering entrance lift and destination.","Accessibility officer","Annual and after works","Automatically unknown at expiry","Yes","Never infer accessibility from an icon or ramp photo.","value=null; evidence.state=unknown"
"floor.id","commercial;residential;premium","string","TRUE","Immutable internal identifier for a physical level.","Unique project-scoped ID","none","unknown","Authoritative floor schedule crosswalk.","Product data steward","Stable after mapping; deprecate rather than reuse","Selection disabled if missing","Yes","Offer accessible inquiry at project level.","floor_20"
"floor.model_level_id","commercial;residential;premium;3D","string","TRUE","Identifier of the 3D level mesh or calibrated height band.","Unique model ID or range key","none","unknown","Model manifest reconciled to signed floor schedule.","Project modeler","Every model release","Disable direct 3D selection when mapping expires","Technical metadata","Use native floor selector only.","level_mesh_020"
"floor.legal_number","commercial;residential;premium","string","CONDITIONAL","Floor number used in legal and official building records.","String to preserve mezzanine and localized notation","none","unknown","Approved floor schedule.","Owner architect","On numbering change","Conflict state across versions","Yes","Show Not verified.","20"
"floor.marketing_number","commercial;residential;premium","string","CONDITIONAL","Floor number used in marketing materials.","String","none","unknown","Current owner leasing stack.","Leasing operations","On marketing renumbering","Mark stale and display crosswalk","Yes","Do not copy legal number automatically.","20"
"floor.lift_number","commercial;residential;premium","string","CONDITIONAL","Label visible in lift controls or lobby signage.","String","none","unknown","Building manager lift schedule.","Building manager","On programming change","Suppress arrival instruction","Yes","Show Lift label not verified.","20"
"floor.number_crosswalk","commercial;residential;premium","object","TRUE","Mapping among model legal marketing and lift identifiers.","model_id;legal_number;marketing_number;lift_number;source_id","none","unknown","Signed owner architect crosswalk.","Owner architect","On any numbering change","Entire floor record becomes conflicted","Yes","Display all known sourced numbers and conflict.","value=null; evidence.state=unknown"
"floor.use_class","all","enum","TRUE","Primary actual use of a floor under current program.","office;retail;residential;amenity;parking;mechanical;roof;service;mixed","none","unknown","Approved floor program.","Owner architect","On program change","Selection and tools fall back to neutral","Yes","Disable type-specific facts and label Unknown use.","office"
"floor.leasable","commercial;retail","boolean","TRUE","Whether any portion of the floor is legally and commercially marketable.","true;false","none","unknown","Current owner stack plus lawful use evidence.","Leasing operations","Daily while active","Unknown cannot appear as leasable","Yes","Show Status unknown and request live check.","value=null; evidence.state=unknown"
"floor.zone","commercial;premium","enum_or_string","FALSE","Owner-defined vertical zone used only after schedule reconciliation.","lowzone;midzone;highzone;custom","none","unknown","Current signed stack plan.","Leasing operations","On stack change","Mark stale and do not drive floor numbering","Yes","Hide zone label.","midzone"
"floor.rentable_area","commercial;retail","quantity","CONDITIONAL","Chargeable area under an explicitly named measurement standard.","Positive decimal plus standard and source_id","sqm","unknown","Floor-specific certified area schedule.","Measurement surveyor","On demise or survey change; monthly while available","Exclude from cost totals at expiry","Yes","Show Not supplied; do not use zone archetype as exact.","value=null; evidence.state=unknown"
"floor.usable_area","commercial;retail","quantity","CONDITIONAL","Tenant usable net area under same versioned methodology as rentable area.","Positive decimal plus standard and source_id","sqm","unknown","Certified net area survey.","Measurement surveyor","On demise or survey change","Exclude efficiency and density calculations","Yes","Show Not supplied.","value=null; evidence.state=unknown"
"floor.measurement_standard","commercial;retail","string","CONDITIONAL","Contractual method defining included and excluded areas.","Named standard and version or owner methodology ID","none","unknown","Lease measurement clause and survey methodology.","Measurement surveyor and leasing counsel","On methodology change","Invalidate area comparisons and load factor","Yes","State Standard not supplied.","value=null; evidence.state=unknown"
"floor.load_factor","commercial;retail","derived_decimal","CONDITIONAL","Rentable area divided by usable area minus one under the same standard.","Non-negative decimal derived from verified inputs","percent","unknown","No independent source; calculation requires same-version verified areas.","Product calculation service","On either input change","Becomes unknown immediately","Yes","Explain missing inputs; never treat missing area as zero.","value=null; evidence.state=unknown"
"floor.floor_to_floor_height","commercial;premium","quantity","CONDITIONAL","Vertical slab level separation.","Positive decimal","m","unknown","As-built section or signed technical specification.","Owner architect","On as-built revision","Mark stale and block fit-out reliance","Yes","Show Not supplied.","value=null; evidence.state=unknown"
"floor.clear_height","commercial;premium","quantity_range","CONDITIONAL","Expected or measured finished clear ceiling height with scope.","Minimum and typical positive decimal plus condition","m","unknown","As-built survey or signed delivery specification.","Owner architect","On fit-out or base-build revision","Mark stale and distinguish expected from measured","Yes","Show Not supplied.","value=null; evidence.state=unknown"
"floor.live_load_capacity","commercial;premium","quantity_or_zones","CONDITIONAL","Allowable imposed load by floor zone.","Positive quantity with zone map","kN/m2","unknown","Structural engineer signed schedule.","Owner structural engineer","On structural change","Immediately unknown for special-load decisions","Yes summary","Request engineer confirmation; no generic default.","value=null; evidence.state=unknown"
"floor.core_geometry_document_id","commercial;premium","document_ref","CONDITIONAL","Versioned plan or model containing core columns shafts risers and exits.","Document ID under access policy","none","unknown","Current CAD BIM or signed PDF.","Owner architect","On as-built revision","Plan tool becomes request state","Metadata public; file per policy","Do not open an empty plan viewer.","value=null; evidence.state=unknown"
"floor.lift_bank_ids","commercial;premium","array<string>","CONDITIONAL","Lift banks serving the floor.","References to verified lift-bank records","none","unknown","Approved lift schedule and floor crosswalk.","Building manager","On lift programming change","Arrival facts become unknown","Yes","Show Not verified.","value=null; evidence.state=unknown"
"space.id","commercial;residential;retail;premium","string","TRUE","Immutable leasable or saleable space identifier such as whole floor suite or unit.","Unique project-scoped ID","none","unknown","Owner asset inventory.","Product data steward","Never reuse; version demise changes","Transactional actions disabled if absent","Yes","Use floor-level inquiry without implying a suite.","suite_20a"
"space.parent_floor_id","commercial;residential;retail;premium","reference","TRUE","Floor containing the selected space.","Valid floor.id","none","unknown","Owner asset inventory.","Product data steward","On inventory mapping change","Space cannot be displayed transactionally","Yes","Return to project overview.","floor_20"
"space.demising_type","commercial;retail","enum","CONDITIONAL","Whether the space is whole-floor or one verified subdivision.","whole_floor;suite;contiguous_block","none","unknown","Current leasing plan.","Leasing architect","On demise revision","Area and availability become unknown","Yes","Label Demise not verified.","whole_floor"
"space.geometry_document_id","commercial;retail;premium","document_ref","CONDITIONAL","Versioned polygon or plan defining the selected premises.","Document or geometry revision ID","none","unknown","Signed leasing plan or certified survey.","Leasing architect","On demise revision","Disable suite highlighting","Metadata public; file per policy","Use neutral floor highlight only.","value=null; evidence.state=unknown"
"space.rentable_area","commercial;retail","quantity","TRUE","Chargeable area for this exact demise.","Positive decimal with measurement_standard and source_id","sqm","unknown","Certified suite or whole-floor area schedule.","Measurement surveyor","On demise change; monthly while marketed","Status stays but cost calculations expire","Yes","Show Not supplied and request measurement pack.","value=null; evidence.state=unknown"
"space.usable_area","commercial;retail","quantity","CONDITIONAL","Net usable area for this exact demise.","Positive decimal with same methodology as rentable area","sqm","unknown","Certified survey.","Measurement surveyor","On demise change","Density and efficiency become unknown","Yes","Show Not supplied.","value=null; evidence.state=unknown"
"space.exposures","commercial;residential;premium","array<object>","CONDITIONAL","Verified facade orientations available to selected space.","Each item direction N;NE;E;SE;S;SW;W;NW facade_share view_state source_id","percent","unknown","Compass-referenced plan and demise geometry.","Leasing architect and project modeler","On plan or demise change","Beam scene becomes neutral unknown","Yes","Do not default to west.","value=null; evidence.state=unknown"
"space.terraces","commercial;residential;premium","array<object>","FALSE","Verified outdoor areas associated with selected space.","area;geometry_document_id;exclusive_state;charge_basis;source_id","sqm","unknown","Floor-specific signed plan and lease charging basis.","Owner architect and leasing team","On plan or lease change","Hide terrace claim when expired","Yes","Hide field rather than label generic balcony.","value=null; evidence.state=unknown"
"space.divisibility","commercial;retail","object","CONDITIONAL","Landlord-approved subdivision options and minimum unit size.","allowed truth_state;minimum_area;option_ids;constraints;source_id","sqm","unknown","Current landlord demise study.","Leasing architect","Weekly while marketed","Mark unknown and remove option picker","Yes","Offer Request demise study.","value=null; evidence.state=unknown"
"space.contiguous_group_ids","commercial;premium","array<string>","FALSE","Verified adjacent spaces that can be leased as one requirement.","References to current available spaces","none","unknown","Live landlord stack.","Leasing operations","Daily","Remove expired members and recalculate group","Yes","Show Contiguous options not verified.","value=null; evidence.state=unknown"
"availability.status","commercial;retail;3D","enum","TRUE","Canonical commercial transaction state for the exact office or retail space; residential sale states require their own asset adapter.","verified_available;soft_hold;under_offer;under_loi;leased;delivered;unavailable;not_marketed","none","unknown","Authorized owner or landlord feed or signed schedule.","Leasing or sales operations","Daily; real time during active deal","Automatically becomes unknown at expires_at; never becomes available","Yes","Localized status chip with evidence date; unknown offers Request live check.","value=null; evidence.state=unknown"
"availability.source_id","all","source_ref","TRUE","Evidence record supporting current transaction status.","Valid source ID authorized for availability","none","unknown","Signed schedule feed event or authorized CRM snapshot.","Leasing or sales operations","Every status write","Status invalid without source","Source summary yes","Status remains unknown.","value=null; evidence.state=unknown"
"availability.verified_at","all","timestamp","TRUE","UTC time when an authorized party confirmed status.","ISO 8601 UTC timestamp","UTC","unknown","Generated by authorized status workflow.","Leasing or sales operations","Every verification","Status becomes unknown at expiry","Yes as age","Show Not verified.","value=null; evidence.state=unknown"
"availability.expires_at","all","timestamp","TRUE","UTC time after which the displayed status may not be asserted.","ISO 8601 later than verified_at","UTC","unknown","SLA policy based on transaction velocity.","Leasing or sales operations","Every verification","Set public status to unknown automatically","Yes as validity phrase","Treat as expired immediately if absent.","value=null; evidence.state=unknown"
"availability.owner_role","all","string","TRUE","Authorized role accountable for status without exposing private identity.","Allowlisted organization role","none","unknown","Leasing mandate and route configuration.","Leasing director","On assignment change","Status invalid if mandate expires","Yes","Show Verification owner unavailable.","Landlord leasing team"
"availability.hold_expires_at","commercial;residential;premium","timestamp","FALSE","Expiry of an under-offer reservation or hold when public policy permits.","ISO 8601 or null when evidence.state=unknown","UTC","unknown","Authorized CRM state.","Leasing operations","Real time","Clear automatically and request re-verification","Only generalized status; no counterparty","Do not guess timing.","value=null; evidence.state=unknown"
"availability.earliest_possession","commercial;premium","date_range_object","CONDITIONAL","Evidence-based date range when tenant may receive contractual possession.","earliest;latest;confidence;prerequisite_ids;source_id","date","unknown","Current construction program and offer.","Owner project director","Weekly during delivery","Return to unknown after program expiry","Yes with estimate label","Show Not verified; no precise promise.","value=null; evidence.state=unknown"
"availability.earliest_operational_occupancy","commercial;premium","date_range_object","CONDITIONAL","Earliest lawful operational use after possession fit-out and approvals.","earliest;latest;confidence;prerequisite_ids;source_id","date","unknown","Form 4 scope fit-out program and authority requirements.","Owner project director","Weekly during delivery","Return to unknown","Yes with estimate label","Show Cannot determine and list missing prerequisites.","value=null; evidence.state=unknown"
"cost.currency","commercial;residential;retail;premium","enum","TRUE","Currency for a quote or calculated amount.","ILS;USD;EUR;GBP;other","ISO4217","unknown","Landlord quote or source record.","Leasing operations","Per quote","Quote invalid if absent","Yes","Do not show amount.","ILS"
"cost.base_rent_monthly","commercial;retail","money_rate","CONDITIONAL","Asking base rent rate before fees under named area basis.","Positive amount with currency area_basis VAT state source_id","currency/sqm/month","unknown","Dated landlord quote with validity.","Leasing director","Daily while marketed and per offer","Hide amount and mark Quote expired","Yes","Show Quote required; never display zero.","value=null; evidence.state=unknown"
"cost.rent_area_basis","commercial;retail","enum","CONDITIONAL","Area definition multiplied by base rent.","usable;rentable;gross;fixed_lump_sum","none","unknown","Landlord quote and measurement clause.","Leasing counsel","Per quote","Invalidate effective cost comparison","Yes","State Basis not supplied.","value=null; evidence.state=unknown"
"cost.service_charge_monthly","commercial;retail","money_rate","CONDITIONAL","Management or service charge and budget basis.","Amount currency area_basis reconciliation_state VAT source_id","currency/sqm/month","unknown","Current property budget and landlord quote.","Property manager","Annual budget and quarterly update","Exclude from complete total and flag stale","Yes","Mark missing input; never treat as zero.","value=null; evidence.state=unknown"
"cost.arnona_rate","commercial;retail","money_rate","CONDITIONAL","Municipal property tax rate under named classification and year.","Amount currency taxable_area_basis class year source_id","currency/sqm/year","unknown","Current municipal tariff and classification evidence.","Municipal tax adviser","Annual and on classification change","Estimate expires at tariff year end","Yes as sourced estimate","Show Not verified and link request.","value=null; evidence.state=unknown"
"cost.parking_monthly","commercial;residential;premium","money","FALSE","Monthly price per parking space and access conditions.","Amount currency VAT indexation source_id","currency/space/month","unknown","Landlord quote and allocation schedule.","Leasing operations","Per quote","Hide expired rate and request update","Yes","Show Quote required.","value=null; evidence.state=unknown"
"cost.utility_structure","commercial;retail;premium","object","CONDITIONAL","Which utilities are included submetered or separately billed.","electricity;water;HVAC;gas;common_services each included;metered;null when evidence.state=unknown","none","unknown","Landlord technical and billing specification.","Property manager","Annual and on system change","Mark stale and invalidate total cost","Yes","List unknown components explicitly.","value=null; evidence.state=unknown"
"cost.after_hours_hvac","commercial;premium","money_rate_or_formula","FALSE","Charge for HVAC outside standard operating schedule.","Amount or formula with minimum zone and booking rule","currency/hour","unknown","Current property management tariff.","Property manager","Quarterly","Exclude from base total and mark unavailable","Yes","Show Quote required.","value=null; evidence.state=unknown"
"deal.lease_term","commercial;retail","duration_range","FALSE","Proposed contractual lease duration.","Minimum maximum and negotiable state","months","unknown","Dated heads of terms.","Leasing counsel","Per offer revision","Expires with offer","Yes only when public or buyer-authorized","Show Negotiable or Not quoted.","value=null; evidence.state=unknown"
"deal.indexation","commercial;retail","object","FALSE","Rent escalation mechanism.","index;frequency;floor;cap;lag;source_id","percent","unknown","Draft heads of terms or lease clause.","Leasing counsel","Per offer and law change","Expires with terms","Buyer-specific controlled display","Show Not quoted.","value=null; evidence.state=unknown"
"deal.rent_free_months","commercial;retail","number_or_schedule","FALSE","Contractual rent-free concession.","Non-negative months or dated schedule","months","unknown","Dated heads of terms.","Leasing director","Per offer","Expires with offer","Buyer-specific","Do not assume zero.","value=null; evidence.state=unknown"
"deal.ti_allowance","commercial;retail","money_or_rate","FALSE","Landlord tenant-improvement contribution and conditions.","Amount currency basis milestones conditions source_id","currency or currency/sqm","unknown","Dated heads of terms.","Leasing director","Per offer","Expires with offer","Buyer-specific","Show Not quoted.","value=null; evidence.state=unknown"
"deal.security_requirements","commercial;retail","array<object>","FALSE","Deposit guarantee parent support or other credit security.","cash_deposit;bank_guarantee;parent_guarantee;other;negotiable;null when evidence.state=unknown","none","unknown","Landlord credit policy and terms.","Leasing counsel and finance","Per offer","Expires with offer","Buyer-specific","Show Request foreign-company terms.","value=null; evidence.state=unknown"
"deal.vat_treatment","commercial;retail","enum","CONDITIONAL","Whether each quoted amount includes or excludes VAT or is uncertain.","inclusive;exclusive;exempt;not_applicable","none","unknown","Landlord quote and tax-adviser annotation.","Leasing counsel","Per quote and law change","Quote amount becomes incomplete","Yes beside every amount","Never impose a default.","exclusive"
"derived.total_occupancy_cost","commercial;retail","calculated_object","FALSE","Monthly and annual occupancy cost from only disclosed verified inputs.","value;currency;included_field_ids;missing_field_ids;assumption_ids","currency/month and currency/year","unknown","Deterministic calculation from non-expired inputs.","Product calculation service","On any input change","Immediately recalculates or becomes incomplete","Yes","Display Incomplete total plus missing inputs.","value=null; evidence.state=unknown"
"derived.cost_per_employee","commercial","calculated_object","FALSE","Occupancy cost divided by buyer scenario headcount.","value;currency;period;headcount;input_ids","currency/employee/month","unknown","Verified or visibly estimated total plus user headcount.","Product calculation service","On input change","Immediately becomes unknown or incomplete","Yes","Explain missing cost or headcount.","value=null; evidence.state=unknown"
"fitout.delivery_condition","commercial;retail","enum_or_spec","CONDITIONAL","Condition in which landlord will hand over the space.","shell_and_core;category_a;fitted;turnkey;as_is;custom","none","unknown","Signed landlord delivery specification.","Owner project director","Per leasing-package revision","Mark stale and invalidate fit-out budget","Yes","Show Not supplied and request technical pack.","value=null; evidence.state=unknown"
"fitout.base_build_scope","commercial;retail","array<object>","CONDITIONAL","Itemized landlord inclusions exclusions and allowances.","Each item included;excluded;allowance;negotiable;null when evidence.state=unknown","none","unknown","Landlord technical specification.","Owner project director","Per revision","Expired items become unknown","Yes summary","Offer Request current scope.","value=null; evidence.state=unknown"
"fitout.scenario_type","commercial","enum","FALSE","Workplace program selected by the buyer.","open_plan;cellular;hybrid;client_facing;lab_enabled;custom","none","unknown","Buyer input not landlord fact.","Buyer and workplace strategist","Per saved scenario","No expiry; revision history applies","Buyer workspace","Ask user; never default silently.","hybrid"
"fitout.target_headcount","commercial","integer","FALSE","Buyer-entered peak operational headcount for scenario testing.","Positive integer","people","unknown","Buyer input with consented persistence.","Buyer","Per scenario","Delete per retention policy","Buyer workspace","Do not calculate capacity.","250"
"fitout.density_assumption","commercial","quantity","FALSE","Usable area per person or equivalent documented workplace assumption.","Positive decimal plus assumption source","sqm/person","unknown","Buyer selection or workplace guidance.","Workplace strategist","Per scenario","Scenario result invalid if removed","Buyer workspace","Require explicit choice.","value=null; evidence.state=unknown"
"fitout.capacity_result","commercial","derived_object","FALSE","Test-fit capacity constrained by verified geometry egress MEP and assumptions.","headcount;constraint_ids;plan_revision;confidence","people","unknown","Workplace model based on verified source inputs.","Workplace architect","On any plan or scenario input change","Immediately invalidated","Yes with methodology","Show Cannot calculate and list missing evidence.","value=null; evidence.state=unknown"
"fitout.duration_range","commercial;retail","estimate_object","FALSE","Estimated fit-out duration under named scope assumptions.","minimum;maximum;confidence;assumption_ids;source_id","weeks","unknown","Project manager estimate tied to delivery condition.","Project manager","Per scenario and program revision","Mark stale; do not promise date","Yes with estimate label","Show Not estimated.","value=null; evidence.state=unknown"
"fitout.approval_process_document_id","commercial;retail","document_ref","CONDITIONAL","Current landlord fit-out submission and approval guide.","Versioned document ID","none","unknown","Owner-approved fit-out manual.","Owner project manager","On policy change","Request state when expired","Metadata public; document per policy","Offer exact document request.","value=null; evidence.state=unknown"
"fitout.contractor_access","commercial;retail","schedule_and_rules","CONDITIONAL","Hours routes bookings and restrictions for fit-out contractors.","Schedule;loading_route;lift_id;notice_period;blackouts","none","unknown","Building logistics guide and current calendar.","Building manager","Monthly during works","Mark stale and require confirmation","Controlled summary","Show Not confirmed.","value=null; evidence.state=unknown"
"mep.electrical_capacity","commercial;retail;premium","quantity_object","CONDITIONAL","Normal electrical capacity allocated to exact floor or space.","value;voltage;phases;allocation_state;source_id","kVA","unknown","Signed load schedule and current allocation confirmation.","Owner electrical engineer","Quarterly and on allocation change","Return to unknown for decisions","Yes summary","Do not inherit a whole-building capacity.","value=null; evidence.state=unknown"
"mep.spare_power_reservable","commercial;premium","quantity_object","FALSE","Additional power that landlord can contractually reserve for the buyer.","value;shared_or_dedicated;hold_expiry;source_id","kVA","unknown","Engineer confirmation plus landlord allocation approval.","Electrical engineer and leasing team","Monthly while marketed","Automatically unknown at hold expiry","Buyer-specific","Show Not confirmed.","value=null; evidence.state=unknown"
"mep.generator_scope","commercial;premium","object","CONDITIONAL","Backup generator capacity runtime and served loads.","capacity;runtime;load_percent;served_circuits;test_date;source_id","kVA and hours","unknown","Single-line diagram schedule and current test report.","Facility manager and electrical engineer","Annual and after load test","Mark stale and remove verified badge","Public-safe summary","Show Not verified.","value=null; evidence.state=unknown"
"mep.ups_scope","commercial;premium","object","FALSE","Building-provided UPS coverage and tenant responsibility.","building_provided;tenant_required;served_loads;runtime;source_id","none","unknown","Landlord technical specification.","Owner electrical engineer","On system change","Mark unknown","Public-safe summary","Do not imply generator equals UPS.","value=null; evidence.state=unknown"
"mep.hvac_system","commercial;retail;premium","object","CONDITIONAL","System type controls zones and responsibility serving selected space.","system_type;zone_ids;control_level;tenant_scope;source_id","none","unknown","As-built schematic and landlord specification.","Owner mechanical engineer","On as-built change","Return to unknown for fit-out calculations","Yes summary","Show Not supplied.","value=null; evidence.state=unknown"
"mep.hvac_operating_hours","commercial;retail","schedule","CONDITIONAL","Standard building-funded HVAC hours.","Timezone-aware weekly schedule plus holidays","local time","unknown","Current property-management policy.","Property manager","Quarterly","Mark stale and request confirmation","Yes","Show Hours not confirmed.","value=null; evidence.state=unknown"
"mep.after_hours_zoning","commercial","object","FALSE","Minimum controllable HVAC zone and booking process outside standard hours.","zone_area;booking_method;notice;availability;source_id","sqm and hours","unknown","Controls specification and operating policy.","Mechanical engineer and property manager","On system or policy change","Mark unknown","Yes","Show Not verified.","value=null; evidence.state=unknown"
"mep.outside_air_rate","commercial","quantity_object","FALSE","Design or commissioned outdoor-air supply for occupancy planning.","value;basis;design_occupancy;standard;test_date","L/s/person or air changes/hour","unknown","Mechanical design criteria or commissioning report.","Owner mechanical engineer","On commissioning revision","Mark stale and block density reliance","Yes summary","Do not derive from generic code.","value=null; evidence.state=unknown"
"mep.metering","commercial;retail;premium","array<object>","CONDITIONAL","Utility meter granularity billing use and tenant data access.","utility;floor_or_suite;submetered;billing_basis;export_available;source_id","none","unknown","As-built meter schedule and billing policy.","Property manager","On system change","Cost and ESG calculations become incomplete","Yes","List each utility as unknown.","value=null; evidence.state=unknown"
"telecom.carriers","commercial;premium","array<object>","CONDITIONAL","Carriers currently serviceable in the building.","carrier_name;medium;service_state;verified_at;source_id","none","unknown","Carrier serviceability letter and building IT inventory.","Building IT manager","Monthly","Carrier state becomes unknown","Yes","Show No verified carrier list not No carriers.","value=null; evidence.state=unknown"
"telecom.diverse_entries","commercial;premium","array<object>","FALSE","Physically independent telecom entry paths and shared-risk segments.","path_id;diversity_state;shared_risk_notes;source_id","none","unknown","As-built route drawing and carrier confirmation.","Building IT manager","Annual and on works","Mark unknown","High-level public-safe state","Do not equate multiple carriers with diversity.","value=null; evidence.state=unknown"
