"id","domain","title","mode","failLight","wordpressHooks","evidenceRequired"
"R02-006","SERP ו-HTML ציבורי","נתוני Open Graph מלאים","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
"R02-007","SERP ו-HTML ציבורי","JSON-LD ללא סתירה לטקסט הנראה","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
"R02-008","SERP ו-HTML ציבורי","View Source אינו מכיל Ashira, placeholders או טקסטי המתנה","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
"R03-001","פירורים, progress bar וניווט","כל פירור לחיץ","manual-evidence","yellow","theme breadcrumbs | project status meta | scroll state","field or data path | expected value | observed value"
"R03-002","פירורים, progress bar וניווט","מצב נוכחי מסומן","manual-evidence","yellow","theme breadcrumbs | project status meta | scroll state","field or data path | expected value | observed value"
"R03-003","פירורים, progress bar וניווט","progress bar נמצא לפני אזור ההחלטה","manual-evidence","yellow","theme breadcrumbs | project status meta | scroll state","field or data path | expected value | observed value"
"R03-004","פירורים, progress bar וניווט","כל שלב מעביר לעוגן קיים","interaction","orange","theme breadcrumbs | project status meta | scroll state","replay step | before/after state | selected IDs"
"R03-005","פירורים, progress bar וניווט","גלילה מעדכנת שלב פעיל","viewport+accessibility","orange","theme breadcrumbs | project status meta | scroll state","viewport | DOMRect | focus/keyboard result | screenshot"
"R03-006","פירורים, progress bar וניווט","בחירה נשמרת במעבר בין שלבים","interaction","orange","theme breadcrumbs | project status meta | scroll state","replay step | before/after state | selected IDs"
"R03-007","פירורים, progress bar וניווט","במובייל הבר אינו מכסה H1, בניין או כרטיס","viewport+accessibility","orange","theme breadcrumbs | project status meta | scroll state","viewport | DOMRect | focus/keyboard result | screenshot"
"R04-001","Hero והחלטה ראשונה","תמונת בניין מזוהה וברורה בפולד הראשון","viewport+accessibility","orange","hero_image | project_3d_poster | project_eyebrow_*","viewport | DOMRect | focus/keyboard result | screenshot"
"R04-002","Hero והחלטה ראשונה","שם, שדה דב, סטטוס ושני נתוני מפתח נראים ללא גלילה","viewport+accessibility","orange","hero_image | project_3d_poster | project_eyebrow_*","viewport | DOMRect | focus/keyboard result | screenshot"
"R04-003","Hero והחלטה ראשונה","CTA לבחירת דירה מוביל לבורר","manual-evidence","yellow","hero_image | project_3d_poster | project_eyebrow_*","field or data path | expected value | observed value"
"R04-004","Hero והחלטה ראשונה","CTA משני פותח חומרים או פגישה","interaction","orange","hero_image | project_3d_poster | project_eyebrow_*","replay step | before/after state | selected IDs"
"R04-005","Hero והחלטה ראשונה","אין כרטיס שמסתיר את גוף הבניין במובייל","viewport+accessibility","red","hero_image | project_3d_poster | project_eyebrow_*","viewport | DOMRect | focus/keyboard result | screenshot"
"R04-006","Hero והחלטה ראשונה","התמונה נטענת ללא הבהוב שחור","manual-evidence","yellow","hero_image | project_3d_poster | project_eyebrow_*","field or data path | expected value | observed value"
"R05-001","מודל תלת-ממד","GLB נטען","interaction","orange","project_3d_model_url | project_3d_units_json | engine.js","replay step | before/after state | selected IDs"
"R05-002","מודל תלת-ממד","poster תואם למודל","data+DOM","orange","project_3d_model_url | project_3d_units_json | engine.js","field or data path | expected value | observed value"
"R05-003","מודל תלת-ממד","זווית פתיחה מוגדרת לפרויקט","manual-evidence","yellow","project_3d_model_url | project_3d_units_json | engine.js","field or data path | expected value | observed value"
"R05-004","מודל תלת-ממד","הבניין נשאר במרכז בעת פתיחת כרטיס","manual-evidence","yellow","project_3d_model_url | project_3d_units_json | engine.js","field or data path | expected value | observed value"
"R05-005","מודל תלת-ממד","סיבוב, זום ואיפוס עובדים בעכבר ובמגע","interaction","orange","project_3d_model_url | project_3d_units_json | engine.js","replay step | before/after state | selected IDs"
"R05-006","מודל תלת-ממד","מגבלות מצלמה מונעות כניסה לתוך מודל","manual-evidence","yellow","project_3d_model_url | project_3d_units_json | engine.js","field or data path | expected value | observed value"
"R05-007","מודל תלת-ממד","fallback חזית עובד","interaction","orange","project_3d_model_url | project_3d_units_json | engine.js","replay step | before/after state | selected IDs"
"R05-008","מודל תלת-ממד","משקל, LOD ומרקמים מתאימים למובייל","viewport+accessibility","orange","project_3d_model_url | project_3d_units_json | engine.js","viewport | DOMRect | focus/keyboard result | screenshot"
"R05-009","מודל תלת-ממד","כל hotspot משויך ליחידה קיימת","data+DOM","orange","project_3d_model_url | project_3d_units_json | engine.js","field or data path | expected value | observed value"
"R05-010","מודל תלת-ממד","אין hotspot מחוץ לחזית","data+DOM","red","project_3d_model_url | project_3d_units_json | engine.js","field or data path | expected value | observed value"
"R05-011","מודל תלת-ממד","target מונגש 44px לפחות","viewport+accessibility","orange","project_3d_model_url | project_3d_units_json | engine.js","viewport | DOMRect | focus/keyboard result | screenshot"
"R05-012","מודל תלת-ממד","focus מקלדת נראה","viewport+accessibility","orange","project_3d_model_url | project_3d_units_json | engine.js","viewport | DOMRect | focus/keyboard result | screenshot"
"R06-001","בחירת יחידה וכרטיס","סינון קומה, חדרים, כיוון, מחיר וסטטוס עובד","interaction","orange","project_3d_units_json | engine.js | mv-ux.js","replay step | before/after state | selected IDs"
"R06-002","בחירת יחידה וכרטיס","מונה תוצאות מתעדכן","interaction","orange","project_3d_units_json | engine.js | mv-ux.js","replay step | before/after state | selected IDs"
"R06-003","בחירת יחידה וכרטיס","אין שורת אפסים חסרת משמעות","data+DOM","red","project_3d_units_json | engine.js | mv-ux.js","field or data path | expected value | observed value"
"R06-004","בחירת יחידה וכרטיס","בחירת hotspot ובחירת רשימה מסונכרנות","interaction","orange","project_3d_units_json | engine.js | mv-ux.js","replay step | before/after state | selected IDs"
"R06-005","בחירת יחידה וכרטיס","כרטיס מציג קומה, כיוון, שטח, מרפסת ומחיר","manual-evidence","yellow","project_3d_units_json | engine.js | mv-ux.js","field or data path | expected value | observed value"
"R06-006","בחירת יחידה וכרטיס","כרטיס מציג תוכנית, נוף, פנים ופנייה","manual-evidence","yellow","project_3d_units_json | engine.js | mv-ux.js","field or data path | expected value | observed value"
"R06-007","בחירת יחידה וכרטיס","כרטיס מובייל קומפקטי ואינו מזיז את הבניין","viewport+accessibility","orange","project_3d_units_json | engine.js | mv-ux.js","viewport | DOMRect | focus/keyboard result | screenshot"
"R06-008","בחירת יחידה וכרטיס","סגירה מחזירה focus לטריגר","interaction","orange","project_3d_units_json | engine.js | mv-ux.js","replay step | before/after state | selected IDs"
"R06-009","בחירת יחידה וכרטיס","שמירה או שיתוף משמרים unit id","interaction","orange","project_3d_units_json | engine.js | mv-ux.js","replay step | before/after state | selected IDs"
"R07-001","תוכנית דירה","לכל טיפוס יש תוכנית","manual-evidence","yellow","project_3d_drawings_json | unit.plan_id | engine.js","field or data path | expected value | observed value"
"R07-002","תוכנית דירה","התוכנית מתאימה למספר חדרים ולשטח","manual-evidence","yellow","project_3d_drawings_json | unit.plan_id | engine.js","field or data path | expected value | observed value"
"R07-003","תוכנית דירה","כיוון צפון ופתחים מסומנים","manual-evidence","yellow","project_3d_drawings_json | unit.plan_id | engine.js","field or data path | expected value | observed value"
"R07-004","תוכנית דירה","מידות קריאות בזום מובייל","viewport+accessibility","orange","project_3d_drawings_json | unit.plan_id | engine.js","viewport | DOMRect | focus/keyboard result | screenshot"
"R07-005","תוכנית דירה","שטח פנים ומרפסת עקביים לכרטיס","data+DOM","orange","project_3d_drawings_json | unit.plan_id | engine.js","field or data path | expected value | observed value"
"R07-006","תוכנית דירה","מעבר בין קומות אינו מחליף תוכנית בטעות","manual-evidence","yellow","project_3d_drawings_json | unit.plan_id | engine.js","field or data path | expected value | observed value"
"R07-007","תוכנית דירה","הורדה ושיתוף עובדים","interaction","orange","project_3d_drawings_json | unit.plan_id | engine.js","replay step | before/after state | selected IDs"
"R07-008","תוכנית דירה","תוכנית נגישה בטקסט חלופי","manual-evidence","yellow","project_3d_drawings_json | unit.plan_id | engine.js","field or data path | expected value | observed value"
"R08-001","נוף, אלומה ומפה","כיוון היחידה מניע אלומה תואמת","data+DOM","orange","lat | lng | unit.directionAzimuth | mapbox-init.js","field or data path | expected value | observed value"
"R08-002","נוף, אלומה ומפה","האלומה יוצאת מנקודת היחידה","data+DOM","orange","lat | lng | unit.directionAzimuth | mapbox-init.js","field or data path | expected value | observed value"
"R08-003","נוף, אלומה ומפה","מפת שדה דב מסתובבת או מתעדכנת לפי הכיוון","manual-evidence","yellow","lat | lng | unit.directionAzimuth | mapbox-init.js","field or data path | expected value | observed value"
"R08-004","נוף, אלומה ומפה","יעדי נוף משתנים לפי קומה וכיוון","manual-evidence","yellow","lat | lng | unit.directionAzimuth | mapbox-init.js","field or data path | expected value | observed value"
"R08-005","נוף, אלומה ומפה","נוף מערב מציג ים וחוף","manual-evidence","yellow","lat | lng | unit.directionAzimuth | mapbox-init.js","field or data path | expected value | observed value"
"R08-006","נוף, אלומה ומפה","נוף מזרח מציג רובע ועיר","manual-evidence","yellow","lat | lng | unit.directionAzimuth | mapbox-init.js","field or data path | expected value | observed value"
"R08-007","נוף, אלומה ומפה","אין כיסוי של המפה בכרטיס במובייל","viewport+accessibility","red","lat | lng | unit.directionAzimuth | mapbox-init.js","viewport | DOMRect | focus/keyboard result | screenshot"
"R08-008","נוף, אלומה ומפה","החלפת יחידה מעדכנת אלומה, תווית ומרחקים יחד","data+DOM","orange","lat | lng | unit.directionAzimuth | mapbox-init.js","field or data path | expected value | observed value"
"R09-001","פנים, 360 וסטודיו","כניסה לפנים שומרת את היחידה הנבחרת","data+DOM","orange","unit.tour_url | studio.js | project_3d_drawings_json","field or data path | expected value | observed value"
"R09-002","פנים, 360 וסטודיו","סיור פנימי עובד במגע","interaction","orange","unit.tour_url | studio.js | project_3d_drawings_json","replay step | before/after state | selected IDs"
"R09-003","פנים, 360 וסטודיו","מעבר חדרים ברור","manual-evidence","yellow","unit.tour_url | studio.js | project_3d_drawings_json","field or data path | expected value | observed value"
"R09-004","פנים, 360 וסטודיו","סטודיו מציג רק אפשרויות תואמות לטיפוס","manual-evidence","yellow","unit.tour_url | studio.js | project_3d_drawings_json","field or data path | expected value | observed value"
"R09-005","פנים, 360 וסטודיו","בחירת גמר משנה תצוגה ומפרט","manual-evidence","yellow","unit.tour_url | studio.js | project_3d_drawings_json","field or data path | expected value | observed value"
"R09-006","פנים, 360 וסטודיו","התאמות נגישות כוללות מידות וחיזוקים","manual-evidence","yellow","unit.tour_url | studio.js | project_3d_drawings_json","field or data path | expected value | observed value"
"R09-007","פנים, 360 וסטודיו","סיכום מפרט כולל קודים, כמויות ואפשרויות","manual-evidence","yellow","unit.tour_url | studio.js | project_3d_drawings_json","field or data path | expected value | observed value"
"R09-008","פנים, 360 וסטודיו","שליחה לקבלן/פגישה עובדת","interaction","orange","unit.tour_url | studio.js | project_3d_drawings_json","replay step | before/after state | selected IDs"
"R09-009","פנים, 360 וסטודיו","חזרה לשורום אינה מאפסת בחירה","manual-evidence","yellow","unit.tour_url | studio.js | project_3d_drawings_json","field or data path | expected value | observed value"
"R10-001","מתקנים ו-facilities hotspots","כל מתקן מופיע במפת המתקנים","manual-evidence","yellow","project_3d_facilities_json | facility.id | facility.hotspot","field or data path | expected value | observed value"
"R10-002","מתקנים ו-facilities hotspots","hotspot פותח תמונה, תיאור, מיקום ושעות","interaction","orange","project_3d_facilities_json | facility.id | facility.hotspot","replay step | before/after state | selected IDs"
"R10-003","מתקנים ו-facilities hotspots","המתקן מקושר לקומה או אזור אמיתי במודל","manual-evidence","yellow","project_3d_facilities_json | facility.id | facility.hotspot","field or data path | expected value | observed value"
"R10-004","מתקנים ו-facilities hotspots","בריכה, wellness, כושר, עבודה, אירוח וילדים ממופים","manual-evidence","yellow","project_3d_facilities_json | facility.id | facility.hotspot","field or data path | expected value | observed value"
"R10-005","מתקנים ו-facilities hotspots","נגישות ותפעול מוצגים במקום הנכון","manual-evidence","yellow","project_3d_facilities_json | facility.id | facility.hotspot","field or data path | expected value | observed value"
"R10-006","מתקנים ו-facilities hotspots","סינון מתקנים עובד במובייל","interaction","orange","project_3d_facilities_json | facility.id | facility.hotspot","replay step | before/after state | selected IDs"
"R10-007","מתקנים ו-facilities hotspots","אין מתקן שמופיע באייקון אך אינו נפתח","data+DOM","red","project_3d_facilities_json | facility.id | facility.hotspot","field or data path | expected value | observed value"
"R11-001","סביבה ושדה דב","נקודת הפרויקט משותפת לכל המפות","manual-evidence","yellow","project_3d_environment_json | lat | lng | Cesium/Mapbox module","field or data path | expected value | observed value"
"R11-002","סביבה ושדה דב","חוף, פארק, מסחר, חינוך ותחבורה מסווגים","manual-evidence","yellow","project_3d_environment_json | lat | lng | Cesium/Mapbox module","field or data path | expected value | observed value"
"R11-003","סביבה ושדה דב","מרחק הליכה ומסלול מוצגים","manual-evidence","yellow","project_3d_environment_json | lat | lng | Cesium/Mapbox module","field or data path | expected value | observed value"
"R11-004","סביבה ושדה דב","סיור אווירי שומר נקודת מוצא","manual-evidence","yellow","project_3d_environment_json | lat | lng | Cesium/Mapbox module","field or data path | expected value | observed value"
"R11-005","סביבה ושדה דב","לחיצה על יעד מעדכנת מפה ותוכן","manual-evidence","yellow","project_3d_environment_json | lat | lng | Cesium/Mapbox module","field or data path | expected value | observed value"
"R11-006","סביבה ושדה דב","הקשר תא/4444 מופיע בתוכן השכונה","manual-evidence","yellow","project_3d_environment_json | lat | lng | Cesium/Mapbox module","field or data path | expected value | observed value"
"R11-007","סביבה ושדה דב","קישורי עומק למדריכי שכונה אינם מתחרים בביטוי הפרויקט","manual-evidence","yellow","project_3d_environment_json | lat | lng | Cesium/Mapbox module","field or data path | expected value | observed value"
"R12-001","BOM והנדסת בניין","כל מערכת כוללת מכלולים ורכיבים","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-002","BOM והנדסת בניין","לכל רכיב חומר, דרגה, עובי או ערך תכן","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-003","BOM והנדסת בניין","לכל רכיב יחידת מידה ובסיס כמות","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-004","BOM והנדסת בניין","לכל מכלול ביצוע נדרש","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-005","BOM והנדסת בניין","כל חדירה ומפגש משויך לפרט","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-006","BOM והנדסת בניין","לכל מערכת בדיקת קבלה","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-007","BOM והנדסת בניין","לכל ציוד בר-תחזוקה גישה ותדירות","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-008","BOM והנדסת בניין","מפרט ציבורי נגזר מה-BOM ולא נכתב ידנית בנפרד","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-009","BOM והנדסת בניין","סטודיו שינויים מפיק BOM דירה","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R12-010","BOM והנדסת בניין","שינוי רכיב מסמן השפעה על אש, מים, אקוסטיקה, תרמי ונגישות","data+admin","orange","engineering-bom.json | studio option codes | admin BOM panel","BOM component code | assembly | performance | inspection | maintenance"
"R13-001","תוכן ומבנה מאמר","פתיח עונה מיד מי, איפה, מה ומחיר","manual-evidence","yellow","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R13-002","תוכן ומבנה מאמר","תוכן הפרויקט מגיע אחרי כלי ההחלטה המרכזיים","manual-evidence","yellow","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R13-003","תוכן ומבנה מאמר","5,000 מילים מחולקות לפי שאלות משתמש","manual-evidence","yellow","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R13-004","תוכן ומבנה מאמר","יזם, אדריכל, קבלן ויועצים מקושרים לישויות","manual-evidence","yellow","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R13-005","תוכן ומבנה מאמר","מחירים, עסקאות ורחוב מקבלים מקור נתונים","manual-evidence","yellow","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R13-006","תוכן ומבנה מאמר","שדה דב, מתקנים, מפרט, תחבורה, השקעה ומגורים מקבלים פרקים","manual-evidence","yellow","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R13-007","תוכן ומבנה מאמר","FAQ נשען על שאלות אמיתיות","manual-evidence","yellow","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R13-008","תוכן ומבנה מאמר","אין חזרת keyword מלאכותית","data+DOM","red","post_content | entity links | FAQ fields","field or data path | expected value | observed value"
"R14-001","ליד, פגישה, מכירה ו-Co-tour","CTA שומר פרויקט ויחידה","data+DOM","orange","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","field or data path | expected value | observed value"
"R14-002","ליד, פגישה, מכירה ו-Co-tour","טופס קצר לפני טופס מורחב","manual-evidence","yellow","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","field or data path | expected value | observed value"
"R14-003","ליד, פגישה, מכירה ו-Co-tour","בקשת תוכניות ומחירים עובדת","interaction","orange","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","replay step | before/after state | selected IDs"
"R14-004","ליד, פגישה, מכירה ו-Co-tour","בחירת זמן פגישה עובדת","interaction","orange","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","replay step | before/after state | selected IDs"
"R14-005","ליד, פגישה, מכירה ו-Co-tour","Co-tour host/join שומר חדר ויחידה","data+DOM","orange","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","field or data path | expected value | observed value"
"R14-006","ליד, פגישה, מכירה ו-Co-tour","שיחה עם יזם או צוות כוללת הקשר","manual-evidence","yellow","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","field or data path | expected value | observed value"
"R14-007","ליד, פגישה, מכירה ו-Co-tour","סיכום סטודיו מצורף לליד","manual-evidence","yellow","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","field or data path | expected value | observed value"
"R14-008","ליד, פגישה, מכירה ו-Co-tour","אירועי הצלחה וכשל נמדדים","manual-evidence","yellow","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","field or data path | expected value | observed value"
"R14-009","ליד, פגישה, מכירה ו-Co-tour","אין שליחת דמו לאיש קשר חי","data+DOM","red","/wp-json/nadlan/v1/lead | /brochure | /cotour | buyflow.js","field or data path | expected value | observed value"
"R15-001","חמש שפות","he/en/fr/ru/ar קיימות","manual-evidence","yellow","translations.json | i18n.js | hreflang/canonical","field or data path | expected value | observed value"
"R15-002","חמש שפות","שם הפרויקט נשמר עקבי","interaction","orange","translations.json | i18n.js | hreflang/canonical","replay step | before/after state | selected IDs"
"R15-003","חמש שפות","RTL/LTR משתנה בלי שבירת מודל","manual-evidence","yellow","translations.json | i18n.js | hreflang/canonical","field or data path | expected value | observed value"
"R15-004","חמש שפות","מחיר, שטח ותאריך מותאמים לשפה","manual-evidence","yellow","translations.json | i18n.js | hreflang/canonical","field or data path | expected value | observed value"
"R15-005","חמש שפות","תוכנית ומפה אינן נחתכות","manual-evidence","yellow","translations.json | i18n.js | hreflang/canonical","field or data path | expected value | observed value"
"R15-006","חמש שפות","canonical/hreflang תואמים לארכיטקטורת האתר","manual-evidence","yellow","translations.json | i18n.js | hreflang/canonical","field or data path | expected value | observed value"
"R15-007","חמש שפות","אין fallback לשפה אחרת בכפתור או הודעת שגיאה","data+DOM","red","translations.json | i18n.js | hreflang/canonical","field or data path | expected value | observed value"
"R16-001","מובייל, נגישות וביצועים","בדיקת 320, 360, 390 ו-430 פיקסל","manual-evidence","yellow","mv-ux.js | responsive CSS | performance evidence","field or data path | expected value | observed value"
"R16-002","מובייל, נגישות וביצועים","אין גלילה אופקית","viewport+accessibility","red","mv-ux.js | responsive CSS | performance evidence","viewport | DOMRect | focus/keyboard result | screenshot"
"R16-003","מובייל, נגישות וביצועים","יעדי מגע 44px","viewport+accessibility","orange","mv-ux.js | responsive CSS | performance evidence","viewport | DOMRect | focus/keyboard result | screenshot"
"R16-004","מובייל, נגישות וביצועים","כרטיס תחתון נשאר נמוך","manual-evidence","yellow","mv-ux.js | responsive CSS | performance evidence","field or data path | expected value | observed value"
"R16-005","מובייל, נגישות וביצועים","הבניין נראה בכל מצב בחירה","manual-evidence","yellow","mv-ux.js | responsive CSS | performance evidence","field or data path | expected value | observed value"
"R16-006","מובייל, נגישות וביצועים","תפריט ו-progress אינם מתנגשים","manual-evidence","yellow","mv-ux.js | responsive CSS | performance evidence","field or data path | expected value | observed value"
"R16-007","מובייל, נגישות וביצועים","focus, ESC ו-reader labels עובדים","interaction","orange","mv-ux.js | responsive CSS | performance evidence","replay step | before/after state | selected IDs"
"R16-008","מובייל, נגישות וביצועים","תמונה ומודל נטענים בהדרגה","manual-evidence","yellow","mv-ux.js | responsive CSS | performance evidence","field or data path | expected value | observed value"
"R16-009","מובייל, נגישות וביצועים","אין layout shift מהותי","viewport+accessibility","red","mv-ux.js | responsive CSS | performance evidence","viewport | DOMRect | focus/keyboard result | screenshot"
"R16-010","מובייל, נגישות וביצועים","הפעולה הראשית זמינה גם ברשת איטית","viewport+accessibility","orange","mv-ux.js | responsive CSS | performance evidence","viewport | DOMRect | focus/keyboard result | screenshot"
"R17-001","נורות אדמין ותיעוד","כל נורה מציגה עובדה ולא ציון סתמי","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
"R17-002","נורות אדמין ותיעוד","כל נורה מקשרת לשדה או רכיב לתיקון","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
"R17-003","נורות אדמין ותיעוד","נורה אדומה אינה חוסמת שמירה","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
"R17-004","נורות אדמין ותיעוד","סטטוס ציבורי מופרד מסטטוס מקור פנימי","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
"R17-005","נורות אדמין ותיעוד","snapshot של View Source נשמר עם תאריך","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
"R17-006","נורות אדמין ותיעוד","השוואה בין פרויקטים משתמשת באותו מתכון","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
"R17-007","נורות אדמין ותיעוד","שינוי ידני מתועד עם בעלים ותאריך","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
"R17-008","נורות אדמין ותיעוד","גרסת מתכון מוצגת בעמוד","data+admin","orange","admin checklist meta box | source snapshots | recipe version","admin field | evidence link | owner | timestamp"
