keyword,variants,language,category,subcategory,geo,intent,funnel_stage,serp_type,serp_features,dominant_media,volume,kd,cpc,traffic_value,top_competitors,target_url,source_owner,page_type,ux_module,data_module,schema,internal_links_in,internal_links_out,cannibalization_risk,monetization,priority,build_action,content_action,status
"DIMRI YAMA","דמרי יאמה|דימרי שדה דב",HE,projects,brand,Sde Dov,brand/project,bottom,project page,"brand organic",showroom,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Dimri official,Madlan","/projects/dimri-yama-sde-dov/","dimri project",project page,"showroom,contact","project meta,units","Product,Residence","sde dov","developer,nearby projects","LOW","developer lead",P0,"credible showroom state","source-backed project copy",PARTIAL
"Rainbow Tel Aviv","ריינבו תל אביב|Rainbow שדה דב",HE,projects,brand,Sde Dov,brand/project,bottom,project page,"brand organic",showroom,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"developer official,Madlan","/projects/rainbow-tel-aviv/","rainbow project",project page,"showroom,unit picker","project meta,units","Product,Residence","sde dov","developer,nearby projects","LOW","developer lead",P0,"finalize showroom","source-backed copy",PARTIAL
"תמ""א 38","תמא 38|מה זה תמא 38",HE,renewal,national,Israel,informational/commercial,top,pillar,"organic,PAA",guide,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Kol Zchut,law firms,gov","/renewal/tama-38/","tama 38 pillar",pillar,"guide,project links","legal facts","Article,BreadcrumbList","renewal","pinui,city renewal","HIGH","lawyer/pro leads",P0,"pillar page","official-source guide",NEEDS_VERIFICATION
"פינוי בינוי","פינוי בינוי זכויות|פרויקטים פינוי בינוי",HE,renewal,national,Israel,informational/commercial,top,pillar,"organic,PAA",guide+projects,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"gov,law firms,Madlan","/renewal/pinui-binui/","pinui binui pillar",pillar,"guide,project links","legal facts,projects","Article,BreadcrumbList","renewal","tama,city renewal","HIGH","lawyer/developer leads",P0,"pillar page","official-source guide",NEEDS_VERIFICATION
"התחדשות עירונית","התחדשות עירונית תל אביב|זכויות דיירים",HE,renewal,national,Israel,informational/commercial,top,pillar,"organic,PAA",guide+projects,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"gov,law firms,Madlan","/renewal/","renewal hub",hub,"guide navigation","projects,legal facts","CollectionPage","home","tama,pinui,city","HIGH","lawyer/developer leads",P0,"renewal hub","category guide",NEEDS_VERIFICATION
"מחשבון משכנתא","משכנתא מחשבון|החזר משכנתא",HE,tools,mortgage,Israel,tool,bottom,calculator,"organic,tools",calculator,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"banks,calculator sites","/tools/mortgage-calculator/","mortgage calculator",tool,"calculator,lead CTA","rates inputs","SoftwareApplication","tools","mortgage guide,advisor","MEDIUM","mortgage leads",P0,"calculator UX","calculator explainer",NEEDS_VERIFICATION
"מחשבון מס רכישה","מס רכישה מחשבון|חישוב מס רכישה",HE,tools,tax,Israel,tool,bottom,calculator,"organic,PAA",calculator,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"tax authority,law firms","/tools/purchase-tax-calculator/","purchase tax calculator",tool,"calculator,official source","tax brackets","SoftwareApplication","tools","purchase tax guide,lawyer","MEDIUM","lawyer/tax leads",P0,"calculator UX","official-source explainer",NEEDS_VERIFICATION
"עורך דין מקרקעין","עורך דין נדלן|עורך דין קניית דירה",HE,pros,lawyer,Israel,local/commercial,bottom,directory+guide,"ads,local pack",pros+guide,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"law firms,local directories","/pros/real-estate-lawyer/","lawyer pros",directory,"filters,cards","professional records","ItemList,LocalBusiness","pros","city lawyers,guides","HIGH","professional leads",P0,"pros directory","trust guide",NEEDS_VERIFICATION
"שמאי מקרקעין","שמאי דירה|הערכת שווי דירה",HE,pros,appraiser,Israel,local/commercial,bottom,directory+guide,"ads,local pack",pros+guide,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"directories,appraisers","/pros/appraiser/","appraiser pros",directory,"filters,cards","professional records","ItemList,LocalBusiness","pros","city appraisers,tools","HIGH","professional leads",P1,"pros directory","trust guide",NEEDS_VERIFICATION
"יועץ משכנתאות","יועץ משכנתא|ייעוץ משכנתא",HE,pros,mortgage advisor,Israel,local/commercial,bottom,directory+guide,"ads,local pack",pros+guide,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"advisors,banks,directories","/pros/mortgage-advisor/","mortgage advisor pros",directory,"filters,cards","professional records","ItemList,LocalBusiness","pros","mortgage calculator","HIGH","professional leads",P1,"pros directory","trust guide",NEEDS_VERIFICATION
"בדק בית","בדק בית לפני קניה|בדיקת דירה",HE,pros,home inspection,Israel,local/commercial,bottom,directory+guide,"ads,organic",pros+guide,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"inspection companies","/pros/home-inspection/","inspection pros",directory,"filters,cards","professional records","ItemList,LocalBusiness","pros","buyer checklist","MEDIUM","professional leads",P1,"pros directory","checklist guide",NEEDS_VERIFICATION
"דירה להשקעה","דירות להשקעה|איפה כדאי להשקיע בדירה",HE,invest,buyer,Israel,commercial,mid,guide+listings,"organic,PAA",guide+data,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Madlan,news,investment sites","/invest/","investment hub",hub,"yield tiles,city comparison","price/rent data","Article,Dataset?","home","yield map,foreign buyers","HIGH","investor leads",P1,"invest hub","data-backed guide",NEEDS_VERIFICATION
"buying property in Israel","Israel real estate for foreigners|buy apartment Israel",EN,international,foreign buyer,Israel,commercial,mid,guide+projects,"organic,PAA",guide+projects,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"law firms,agencies","/en/invest/foreign-buyers/","foreign buyer en",guide,"project CTA,advisor CTA","legal/tax facts","Article","invest","projects,lawyer","MEDIUM","foreign investor leads",P2,"EN bridge page","legal-reviewed guide",NEEDS_VERIFICATION
"נדלן מסחרי","נכסים מסחריים|משרדים להשכרה",HE,commercial,listings,Israel,transactional,mid,listing,"ads,organic,map",map-list,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad2,commercial portals","/commercial/","commercial hub",archive,"map/list filters","commercial supply","ItemList","home","offices,retail,warehouses","HIGH","commercial leads",P2,"commercial shell","hub intro",NEEDS_VERIFICATION
"מגרשים למכירה","קרקע למכירה|מגרשים לבניה",HE,land,listings,Israel,transactional,mid,listing,"ads,organic,map",map-list,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad2,land portals","/land/","land hub",archive,"map/list filters","land supply","ItemList","home","city land pages","HIGH","seller/buyer leads",P2,"land shell","hub intro",NEEDS_VERIFICATION
