reference_id,source_owner,source_type,title,url,published_or_effective_at,accessed_at,viewpoint,claim_supported,license_reuse_note,access_note,workpaper_sha256,ship_source_bytes
MR011,Calcalist,secondary status report,Bareket financing for Einstein 33A and 35,https://www.calcalist.co.il/real-estate/article/b1hfsjpb11x,2026-01-20,2026-08-14,project status and published VIEWPOINT render,"reports excavation/shoring started for target and embeds a white three-volume VIEWPOINT render","Copyright Calcalist/VIEWPOINT; text/render are reference-only; no bytes shipped","Secondary; two-project financing scope; render does not prove current built form",,false
MR012,Project TLV,independent dated construction photography,Einstein project page and March 2025 street/site photographs,https://project-tlv.info/buildings/einstein/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-%D7%9E%D7%92%D7%93%D7%9C-%D7%90%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F/,2025-03,2026-08-14,street/site/hoarding context,"site signage says Einstein 14 and Hagag; hoarding shows the three-volume marketing composition; public photographs show fenced earthworks","Project TLV states its photographs are copyright-protected; analysis/citation only; no redistribution hotlink or texture use","Dated photos establish site identity and works context only; hoarding renders do not prove built or approved geometry",,false
MR013,Hagag Group,older official developer page,Einstein BLVD,https://www.hagag-group.co.il/projects/ResidentProjects/%D7%94%D7%92%D7%95%D7%A9_%D7%94%D7%92%D7%93%D7%95%D7%9C_-_%D7%90%D7%99%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F_BLVD,live_no_visible_date,2026-08-14,older project composition text,"28-floor tower plus two 12-floor buildings and a commercial floor","Developer marketing copyright; facts may be cited with scope; no media shipped","Conflicts with current target page and 2025 filing stating two 13-floor boutique buildings above a double commercial base; never average",,false
MR014,Israel Land Authority / Planning Administration,official plan drawing appendix,Plan 507-0594929 broad construction sheet 4_1,https://apps.land.gov.il/IturTabotData/nispachim/telmer/5050295/4_1.pdf,undated_plan_appendix,2026-08-14,broad multi-parcel plan sheet,"no project-specific geometry claim admitted","Public planning record; reference only; no extracted drawing shipped","Single extremely wide sheet and broader scope could not source-grade or calibrate parcel-32 footprint; retained as evidence backlog",,false
MR015,Israel Land Authority / Planning Administration,official plan drawing appendix,Plan 507-0594929 broad construction sheet 4_2,https://apps.land.gov.il/IturTabotData/nispachim/telmer/5050295/4_2.pdf,undated_plan_appendix,2026-08-14,broad multi-parcel plan sheet,"no project-specific geometry claim admitted","Public planning record; reference only; no extracted drawing shipped","No signed building-to-parcel transform admitted; retained as evidence backlog",,false
MR016,Project TLV,independent dated construction photograph,Einstein project sign,https://project-tlv.info/wp-content/uploads/2025/03/20250329_120645.jpg,2025-03-29,2026-08-14,close street view,"site sign says Einstein 14; Hagag mark; contractor Arbel Gabay; sign carries the same three-volume marketing composition","Project TLV states photographs are copyright-protected; analysis/citation only; no redistribution hotlink or texture use","Proves displayed site identity on the capture date; the sign render is not built/approved geometry",,false
MR017,Project TLV,independent dated construction photograph,Einstein Tower street hoarding,https://project-tlv.info/wp-content/uploads/2025/03/20250329_120619.jpg,2025-03-29,2026-08-14,street-facing hoarding,"EINSTEIN TOWER branding and three marketing-render panels at the fenced site","Project TLV states photographs are copyright-protected; analysis/citation only; no redistribution hotlink or texture use","Proves site presentation on the capture date; hoarding art is not a construction record",,false
MR018,Project TLV,independent dated construction photograph,Hoarding tower and boutique render,https://project-tlv.info/wp-content/uploads/2025/03/20250329_120535.jpg,2025-03-29,2026-08-14,close hoarding panel,"panel depicts a tall rectilinear tower with one recessed balcony strip beside two lower volumes","Project TLV states photographs are copyright-protected; analysis/citation only; no redistribution hotlink or texture use","Derivative photograph of marketing art; official Hagag renders remain the primary visual-language source",,false
MR019,Project TLV,independent dated construction photograph,Hoarding public-realm visualization,https://project-tlv.info/wp-content/uploads/2025/03/20250329_120545.jpg,2025-03-29,2026-08-14,close hoarding panel,"panel depicts retail-frontage cues; planted plaza/grade transition; red cycle-path illustration","Project TLV states photographs are copyright-protected; analysis/citation only; no redistribution hotlink or texture use","Illustration only; no cycle path plaza tenant or finished-grade promise may be inferred",,false
MR020,Project TLV,independent dated construction photograph,Fenced Einstein site and earthworks,https://project-tlv.info/wp-content/uploads/2025/03/20250329_120737.jpg,2025-03-29,2026-08-14,public street/site view,"fenced earthworks with site silos/equipment on the capture date","Project TLV states photographs are copyright-protected; analysis/citation only; no redistribution hotlink or texture use","Construction context only; does not support final architecture or present-day status",,false
MR021,Project TLV,independent dated construction photograph,Wider Einstein site frontage,https://project-tlv.info/wp-content/uploads/2025/03/20250329_120523.jpg,2025-03-29,2026-08-14,wider public street view,"Hagag-branded fence and construction access on the capture date","Project TLV states photographs are copyright-protected; analysis/citation only; no redistribution hotlink or texture use","Construction context only; does not support final architecture or present-day status",,false
MR022,Horizon Group,secondary branded brochure,Einstein project English brochure,https://horizongroup.co.il/wp-content/uploads/2025/09/%D7%97%D7%95%D7%91%D7%A8%D7%AA-%D7%90%D7%99%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F-%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA-%D7%90%D7%A4%D7%A8%D7%99%D7%9C-2024.pdf,brochure_labels_april_2024,2026-08-14,secondary composition/render pages,"pages 9-12 repeat the 28 plus 13 plus 13 composition and official-render visual cues","Secondary branded brochure; reference only; no extracted art shipped","Adds no safer geometry than official Hagag sources and repeatedly labels visualizations illustrative",,false
