"ref","date","subject"
"origin/claude/chan-gap3-review","2026-06-05 09:20:50 +0000","chan: CLAUDE GAP3 review+test (16/16) + signature-adapter answer + auction directive"
"origin/claude/chan-gap3-sigfix","2026-06-05 09:43:48 +0000","chan: CLAUDE GAP3 signature adapter test 10/10 — blocker cleared; next directives"
"origin/claude/chan-gap5-answer","2026-06-05 08:38:44 +0000","chan: CLAUDE→CODEX answer GAP5 (orderby composition + prepared SQL) + reconcile Codex entries"
"origin/claude/chan-gap5-followup","2026-06-05 08:46:20 +0000","chan: CLAUDE→CODEX test GAP5 follow-up composition 6/6"
"origin/claude/chan-gap5-review","2026-06-05 08:42:57 +0000","chan: CLAUDE→CODEX review+test GAP5 (10/10 distance math) + GAP6 directive"
"origin/claude/chan-gap7-review","2026-06-05 09:37:53 +0000","chan: CLAUDE GAP7 auction review+test (6/7, geo composition bug) + fix directive + GAP3 reminder"
"origin/claude/chan-geofix","2026-06-05 09:49:24 +0000","chan: CLAUDE geo×auction composition fix verified 8/8 — cross-gap bug closed"
"origin/claude/chan-keep-codex-going","2026-06-05 18:59:01 +0000","chan: CLAUDE → CODEX keep-going rule + Chunk E goal (admin control plane) for Codex's polling loop to pick up"
"origin/claude/chan-live-confirmed","2026-06-05 20:23:40 +0000","chan: live update VERIFIED at v1.56.0 (independent healthcheck) — Codex proceed to E2E QA"
"origin/claude/chan-metrics","2026-06-05 10:28:08 +0000","chan: CLAUDE business-metrics review+test (10/10) + reliability directive"
"origin/claude/chan-reliability","2026-06-05 10:37:05 +0000","chan: CLAUDE reliability review+test (15/15) + close-out directive"
"origin/claude/chan-steer-guides","2026-06-05 15:09:05 +0000","chan: CLAUDE review Codex verification (excellent catch, all 3 findings resolved) + directive to refresh guides for v1.51.2"
"origin/claude/chan-wake-codex","2026-06-05 19:45:36 +0000","chan: wake-up Codex — confirm Chunk E approved + redirect to Chunk F + poll discipline refresh"
"origin/claude/channel-v2","2026-06-05 08:56:49 +0000","chan: protocol v2 (conflict-free split) + north-star autonomous/general-commerce directive"
"origin/claude/charming-meitner-mwVEW","2026-06-03 22:10:17 +0000","docs: note Codex overnight assets branch as expected Phase 3 input"
"origin/claude/chunk-b-lead-e2e","2026-06-05 16:35:56 +0000","chan: CHUNK B GOAL — lead end-to-end (flag-gated, draft-only, full acceptance gate G1-G8)"
"origin/claude/chunk-c-ai-qualify","2026-06-05 17:47:51 +0000","chan: CHUNK C GOAL — AI lead auto-qualify + scoring + grounded auto-response (flag-gated, draft-only, G1-G8)"
"origin/claude/codex-deploy-skill","2026-06-02 17:01:42 +0000","Add codex-plugin-access-and-deploy skill + wire into README/SKILLS-TREE/AGENTS"
"origin/claude/codex-impl-spec","2026-06-04 20:29:52 +0000","docs: full Codex implementation spec — all 6 gaps with code + paths + QA"
"origin/claude/codex-mission-release","2026-06-11 17:45:09 +0000","chan: Codex handshake CONFIRMED + MISSION compound-map released (Mapbox 3D fly-over, flag-gated, G1-G8)"
"origin/claude/codex-onboarding-brief","2026-06-03 17:03:40 +0000","Add codex-onboarding-and-mission-brief — one-shot handoff for any new agent"
"origin/claude/codex-verify-task","2026-06-05 14:40:47 +0000","chan: CLAUDE directive — Codex verify v1.51.0 (5 cycles, no-mechanism) + owner guides + autonomy truth audit"
"origin/claude/concept-art-wire-1.42.2","2026-06-04 11:01:46 +0000","v1.42.2 — wire original concept-art SVGs (no stock photos, no faces)"
"origin/claude/confident-edison-sY58U","2026-06-04 10:35:44 +0000","Add Codex blockers & autonomy fixes skill"
"origin/claude/consolidation-fix-v1.51.1","2026-06-05 15:04:49 +0000","fix: consolidation v1.51.1 — restore AI-support concierge (OpenAI), studio role-assign, ops lead trace; health version; admin-safe role migration"
"origin/claude/consolidation-v1.51.0","2026-06-05 12:59:10 +0000","build: consolidated v1.51.0 — all 9 foundation tracks in one ZIP"
"origin/claude/coord-cadence-cot","2026-06-19 17:25:12 +0000","docs(coord): add COORDINATION.md billboard + role-split update + M11/M12"
"origin/claude/coord-cadence-cot3","2026-06-19 17:43:37 +0000","docs(coord): communication cadence + chain-of-thought + live Dimri defects"
"origin/claude/coord-restore-14-and-done","2026-06-19 18:56:39 +0000","docs(coord): log spec+cadence+billboard work in §6 DONE (proof-backed)"
"origin/claude/coord-update-2026-06-19","2026-06-19 20:05:16 +0000","docs(coord): update §2 NOW + log 4 merges in §6 DONE (proof-backed)"
"origin/claude/coordination-billboard","2026-06-19 17:25:12 +0000","docs(coord): add COORDINATION.md billboard + role-split update + M11/M12"
"origin/claude/cycle2-pro-cards","2026-06-04 18:01:11 +0000","cycle 2: premium pro cards + single/article body type"
"origin/claude/cycle3-pricing-hero","2026-06-04 18:05:55 +0000","cycle 3: premium /join-pro/ pricing + project hero + facts table"
"origin/claude/cycle4-footer-nav","2026-06-04 18:10:47 +0000","cycle 4: block-theme footer + header on every plugin-rendered surface (v1.42.6)"
"origin/claude/cycle5-logo","2026-06-04 18:31:08 +0000","cycle 5: render the uploaded PNG logo in the header (every page)"
"origin/claude/dedupe-hero-1674-clean","2026-06-19 15:34:45 +0000","fix(showroom): remove duplicate hero image (1.67.4)"
"origin/claude/deploy-1581-coordination","2026-06-11 18:25:44 +0000","deploy: compound seed v1.58.1 (dark) + Cowork handshake CONFIRMED + capability reassignment (Codex=content/media, Cowork=token/live-ops) + no-blocker doctrine + both missions released"
"origin/claude/deploy-chunk-b","2026-06-05 17:33:56 +0000","deploy: Chunk B lead end-to-end v1.52.0 (ships DARK, flag nadlan_feature_lead_e2e default off)"
"origin/claude/deploy-chunk-c","2026-06-05 18:11:35 +0000","Merge remote-tracking branch 'origin/codex/chunk-c-ai-qualify' into claude/deploy-chunk-c"
"origin/claude/deploy-chunk-d","2026-06-05 18:56:32 +0000","Merge remote-tracking branch 'origin/codex/chunk-d-nurture' into claude/deploy-chunk-d"
"origin/claude/deploy-chunk-e","2026-06-05 19:40:00 +0000","deploy: Chunk E admin control plane v1.55.0 (ships DARK behind nadlan_feature_admin_control)"
"origin/claude/deploy-chunk-f","2026-06-05 20:08:01 +0000","deploy: Chunk F contextual help v1.56.0 (ships DARK behind nadlan_feature_help)"
"origin/claude/deploy-compound-map","2026-06-11 18:03:25 +0000","deploy: compound 3D fly-over map v1.58.0 (ships dark behind nadlan_feature_compound_map)"
"origin/claude/depoison-package-1662","2026-06-15 08:52:39 +0000","fix(package): remove poisoned 1.66.1 ZIP (backslash paths) + add guarded builder"
"origin/claude/directory-state-of-art","2026-06-01 21:34:58 +0000","v1.32.0 premium professional profile pages"
"origin/claude/discipline-m9-m10","2026-06-19 15:57:55 +0000","docs(skills): add M9 (work in repo not temp folders) + M10 (theme deploy path) + architecture boundary"
"origin/claude/facade-cell-selector-1660","2026-06-14 20:39:09 +0000","feat: embedded apartment-cell selector (1.66.0)"
"origin/claude/finish-line-spec","2026-06-05 08:10:06 +0000","docs: finish-line build spec (GAP 5/6/3 + AI support, business metrics, reliability) backed by 39 cited sources"
"origin/claude/fix-archive-1-30-0","2026-06-01 21:08:02 +0000","v1.30.0 CRITICAL: archives showed 5/2702 records due to tier INNER JOIN"
"origin/claude/footer-credit-strip-138","2026-06-02 20:59:08 +0000","v1.38.0 strip WordPress 'powered by' footer credit on plugin-rendered archives"
"origin/claude/gap3-decision","2026-06-04 20:27:13 +0000","docs: GAP 3 decision = Option B (true auto-renew); Morning supports WC Subscriptions"
"origin/claude/glossary-slugs-namespace","2026-06-02 20:17:57 +0000","Glossary slug migration record + URL namespace contract + Codex coordination"
"origin/claude/glossary-title-project-profile-137","2026-06-02 20:51:01 +0000","v1.37.0 (FIXED): re-apply glossary title + project profile header"
"origin/claude/handshakes","2026-06-11 17:35:44 +0000","chan: handshake directives for Codex + Cowork (bilateral verification before missions) + staged Sde Dov missions"
"origin/claude/home-copy-fix","2026-06-04 17:23:32 +0000","homepage copy: replace internal/dev language with user-intent copy"
"origin/claude/home-copy-skill","2026-06-04 17:57:51 +0000","site-wide copy + visual audit pass (cycle 1)"
"origin/claude/home-fullwidth-fix","2026-06-04 16:50:16 +0000","fix: homepage was trapped in theme's 680px constrained-content column"
"origin/claude/home-premium-polish","2026-06-04 17:22:57 +0000","homepage copy: replace internal/dev language with user-intent copy"
"origin/claude/hotfix-homepage-502-1402","2026-06-03 07:48:16 +0000","v1.40.2 HOTFIX homepage 502 (social-proof meta_value_num queries)"
"origin/claude/hotfix-projects-blank-1411","2026-06-03 16:44:00 +0000","v1.41.1 CRITICAL: fix blank /projects/ + /professionals/ (nested ob_start fatal)"
"origin/claude/kill-popups-1403","2026-06-03 10:36:04 +0000","v1.40.3 KILL sticky bar + exit-intent popup (owner request, mobile + desktop)"
"origin/claude/lead-funnel-research","2026-06-05 16:51:30 +0000","chan: CHUNK B steering upgrade — best-practice bar (3-field capture, ack=acknowledge+qualify+next, SLA escalation seam, honest scope)"
"origin/claude/loader-order-v1.51.2","2026-06-05 15:08:31 +0000","build: rebuild 1.51.2 ZIP post-rebase"
"origin/claude/master-arch-bible","2026-06-04 20:54:44 +0000","docs: master architecture build bible — full PLD + free GAP 3 (Green Invoice recurring)"
"origin/claude/nad-lan-kit","2026-06-11 09:09:58 +0000","feat: nad-lan kit - START-HERE orientation + assemble script for C:\Users\pro\nad-lan"
"origin/claude/offers-spec","2026-06-11 09:00:30 +0000","docs: listing level-up + Rainbow 3D picker spec (cited 25 src, Tier-1 MVP, SEO anti-cannibalization guardrails)"
"origin/claude/overnight-shark-140","2026-06-02 21:22:10 +0000","v1.40.0 overnight shark ship — 12 modules, money + moat"
"origin/claude/owner-assessment","2026-06-11 08:18:08 +0000","docs: owner assessment + roadmap (system/content/EEAT/leaks/big-ideas scan)"
"origin/claude/p3d-v1600-interactive","2026-06-12 17:12:39 +0000","feat: v1.60.0 fully interactive buyer experience - live Mapbox view-from-unit (token-gated), astronomical sun insight per unit, 3-unit compare, 2-step lead wizard with multi-advisor attach, plan lightbox, deal-step tracker, selection persistence + FIX floor strip empty since 1.59.0 + replication playbook"
"origin/claude/p3d-v1601-live-polish","2026-06-12 17:46:49 +0000","fix: v1.60.1 live view polish - drop cooperativeGestures (was blocking drag), add NavigationControl, auto-open when token+coords ready, 3D badge + taller frame + polished dark controls"
"origin/claude/page-finish-1673","2026-06-19 15:21:54 +0000","feat(showroom): page finishing layer + hero image + Mermaid contract (1.67.3)"
"origin/claude/phase3-listing-system","2026-06-04 18:20:12 +0000","Phase 3: self-serve listing creation (v1.42.7)"
"origin/claude/phased-infra-plan","2026-06-05 16:26:38 +0000","plan: phased infrastructure-first + gated chunks; directive — Codex research his side (>=5 sources/area)"
"origin/claude/premium-ui-1.42.0","2026-06-04 05:30:52 +0000","v1.42.0 — Site-wide premium UI overlay (emoji → SVG, mobile fixes, premium micro UI)"
"origin/claude/premium-ui-1.42.1","2026-06-04 05:37:33 +0000","v1.42.1 — premium UI hotfix: single-profile headers"
"origin/claude/premium-ui-1.42.2","2026-06-04 10:36:43 +0000","v1.42.2 — real-photo premium UI, faces removed (honest fallbacks)"
"origin/claude/premium-ui-1.42.3","2026-06-04 13:17:41 +0000","v1.42.3 — post-QA polish (PR #45 findings)"
"origin/claude/premium-ui-1.42.4","2026-06-04 15:05:42 +0000","v1.42.4 — Codex PR #47 follow-up (4 remaining real bugs)"
"origin/claude/pro-profiles-132","2026-06-01 21:35:22 +0000","v1.32.0 premium professional profile pages + similar pros"
"origin/claude/projects-directory-real-136","2026-06-02 20:41:43 +0000","v1.36.0 FIX: actually ship the projects premium directory"
"origin/claude/projects-reviews-133","2026-06-02 10:03:54 +0000","Add SKILLS-TREE (portable DNA) + BACKLOG (living follow-up list)"
"origin/claude/qa-journey-script","2026-06-03 16:08:06 +0000","Add Cowork QA journey-testing script (SBTM personas + charters + loop)"
"origin/claude/rainbow-1634-deploy-align","2026-06-14 07:24:28 +0000","fix: align all version surfaces to 1.63.4 (health endpoint + asset cache-busters were stale at 1.63.0/1.63.2)"
"origin/claude/rainbow-1654-integrate","2026-06-14 16:25:49 +0000","merge: integrate Rainbow full-width fix (1.65.3) + apartment-picker polish as 1.65.4"
"origin/claude/rainbow-3d-gap-analysis","2026-06-11 20:10:21 +0000","docs: Rainbow research strand 2 (3D tech) final + architecture decisions answering Codex's 4 questions (1.59.1 hotfix + 1.60.0 feature split; Cesium+Google P3DT for TA view; yazam-side hold; 3 owner sign-offs surfaced)"
"origin/claude/rainbow-fullwidth-fix","2026-06-14 16:15:59 +0000","fix: Rainbow showroom full-width on block themes (1.65.3)"
"origin/claude/rainbow-glb-assets","2026-06-14 07:45:06 +0000","assets: add Rainbow Tel Aviv prototype model package (GLB + poster + unit/meta JSON)"
"origin/claude/reconcile-revenue","2026-06-04 20:09:37 +0000","docs: system readiness + gap map (code-verified, interactive)"
"origin/claude/release-discipline-skill","2026-06-15 14:22:19 +0000","docs(skills): add Release Discipline & Bible of Mistakes skill"
"origin/claude/research-appendix","2026-06-05 16:28:22 +0000","research: append in-app help (15 src) + plan-impact summary — all 4 streams cited (58 sources total)"
"origin/claude/research-i18n-dock-whatsapp","2026-06-12 19:02:41 +0000","docs: WhatsApp lead ingestion research (Coexistence GA finding, ban-wave evidence, share-target recipe, ranked ₪0 plan)"
"origin/claude/revenue-ai-134","2026-06-02 10:26:06 +0000","v1.34.0 revenue rails + Lead Ledger + AI Concierge (one shark session)"
"origin/claude/revenue-arch-doc","2026-06-05 09:07:28 +0000","docs: cited revenue+autonomous architecture; chan GAP6 review+test (12/12) + GAP3 directive"
"origin/claude/revenue-surface","2026-06-05 09:01:30 +0000","chan: CLAUDE full revenue surface (20 streams incl deal-cut) + autonomous-layer constraints"
"origin/claude/revert-logo","2026-06-04 19:10:11 +0000","revert: remove PNG logo override (owner: logo ugly)"
"origin/claude/seed-route-141","2026-06-03 07:35:59 +0000","v1.40.1 owner-config REST + preferred-partners auto-route wiring"
"origin/claude/seo-snapshot","2026-06-02 13:26:41 +0300","v1.34.0 — revenue rails + Lead Ledger + AI Concierge"
"origin/claude/site-premium-deploy","2026-06-04 16:44:16 +0000","theme: accessibility widget (IS 5568) + CMS-editable premium images"
"origin/claude/skill-project-page-seo","2026-06-12 19:44:32 +0000","skills: project page SEO + assembly standard (replication recipe from Rainbow v1.60.4 work: SERP method, intl intent packing, schema meta map, nadlan-guide design mandate, DoD checklist)"
"origin/claude/skills-map-protocol","2026-06-03 08:06:17 +0000","Skills overhaul: MAP.md + ACCUMULATION.md + AGENTS.md to 2026 spec"
"origin/claude/skills-tree-backlog","2026-06-02 10:04:05 +0000","Add SKILLS-TREE (portable DNA) + BACKLOG (living follow-up list)"
"origin/claude/spec-1676-camera-facade","2026-06-19 18:54:01 +0000","spec(camera+facade): horizontally-docked 3D + dismissible facade + CMS wiring (1.67.6 target)"
"origin/claude/spec-1680-facade-function","2026-06-19 19:27:24 +0000","spec(facade): functional facade — polygons not squares, compounds, click→views+info (1.68.0 target)"
"origin/claude/spec-1681-overflow","2026-06-19 21:31:36 +0000","spec(1681): facade-plane mobile overflow — single rule, kill mobile-nudge hack"
"origin/claude/sync-protocol","2026-06-19 16:11:42 +0000","docs(skills): add §0a session-start sync ritual + §0b symmetry contract"
"origin/claude/v1.56.1-activation-prep","2026-06-11 08:55:22 +0000","feat: v1.56.1 activation prep - master NadLan Features switchboard + marketing copy fixes (benefit-led, free-limited-time promo)"
"origin/claude/v1.57.0-build","2026-06-11 10:31:52 +0000","feat: v1.57.0 - interactive apartment picker (project-3d) + non-binding offers phase-1 + CRITICAL save-button fix (3 pages) + honest concierge framing"
"origin/claude/v1.57.1-compound","2026-06-11 17:02:39 +0000","feat: v1.57.1 compounds taxonomy + filter bar (Sde Dov flagship infra) + 4 captured skills (activation runbook, apartment picker, offers engine, knowledge-capture protocol)"
"origin/claude/v1604-seo-schema","2026-06-12 19:39:36 +0000","feat: v1.60.4 SEO schema enrichment (geo/image/amenities/sameAs/containedInPlace/AggregateOffer + FAQPage, meta-driven) + Rainbow SEO dossier with intl intent + app-configurator research"
"origin/claude/wire-leads-ledger-139","2026-06-02 21:06:36 +0000","v1.39.0 wire directory 'request a quote' into Lead Ledger (route-to-owner)"
"origin/codex/advertise-media-kit-1-41-3","2026-06-03 21:45:17 +0300","PARKED add advertise media kit"
"origin/codex/advertiser-center-1-41-2","2026-06-03 18:36:05 +0000","Rebuild 1.41.2 ZIP with forward-slash paths (Codex built it with Windows tar → backslash entries that break Linux extraction)"
"origin/codex/advertiser-flow-spec","2026-06-04 16:22:13 +0300","docs: refresh advertiser QA for 1.42.2"
"origin/codex/ai-support-hardening","2026-06-05 13:10:41 +0300","feat: harden AI support concierge"
"origin/codex/business-metrics","2026-06-05 13:26:39 +0300","feat: add business metrics autopilot"
"origin/codex/cadence-cot-ack-2026-06-19","2026-06-19 20:49:19 +0300","docs: acknowledge cadence protocol"
"origin/codex/channel-open-gap5","2026-06-05 11:37:00 +0300","chan: CODEX→CLAUDE channel-open + GAP5 start"
"origin/codex/chunk-b-lead-e2e","2026-06-05 20:32:59 +0300","fix: tighten chunk b ack default copy"
"origin/codex/chunk-c-ai-qualify","2026-06-05 21:12:28 +0300","docs: mark chunk c pr ready for claude"
"origin/codex/chunk-d-nurture","2026-06-05 21:56:58 +0300","docs: mark chunk d pr ready for claude"
"origin/codex/chunk-e-admin-control","2026-06-05 22:43:43 +0300","docs: ack chunk e deploy"
"origin/codex/chunk-f-contextual-help","2026-06-05 23:04:52 +0300","feat: chunk f contextual help"
"origin/codex/compound-map","2026-06-11 21:01:22 +0300","chan: compound map PR status"
"origin/codex/compound-seed","2026-06-11 21:17:40 +0300","chan: compound-seed PR status"
"origin/codex/concept-art","2026-06-04 13:54:19 +0300","Add original premium concept SVG assets"
"origin/codex/deep-handoff-2026-06-21","2026-06-21 11:33:14 +0300","Add Codex transfer handoff packet"
"origin/codex/dimri-geometry-fix-1684","2026-06-20 13:08:34 +0300","Fix Dimri showroom geometry containment"
"origin/codex/dimri-yama-showroom-factory","2026-06-19 19:06:18 +0300","theme: add Dimri Yama showroom factory"
"origin/codex/e2e-live-qa","2026-06-05 23:23:48 +0300","docs: record v1.56 live deploy proof"
"origin/codex/facade-engine-standard-1683","2026-06-20 10:53:43 +0300","Add facade engine QA tooling"
"origin/codex/facade-overflow-1681","2026-06-20 01:13:30 +0300","Log facade guard proof"
"origin/codex/final-hardening","2026-06-05 13:50:09 +0300","feat: add final hardening seams"
"origin/codex/flaw-analysis","2026-06-04 17:48:37 +0300","docs: add live flaw analysis"
"origin/codex/floating-action-rail-2026-06-19","2026-06-19 21:50:40 +0300","theme: collapse floating actions into one rail"
"origin/codex/full-premium-revenue-implementation","2026-06-04 21:24:59 +0300","Add premium revenue journey theme layer"
"origin/codex/full-site-premium-redesign","2026-06-04 19:22:39 +0300","Add premium sitewide theme layer"
"origin/codex/gap1-paid-placement-boost","2026-06-04 23:35:59 +0300","v1.42.8 paid placement boost"
"origin/codex/gap2-lead-routing","2026-06-05 00:47:09 +0300","Harden GAP 2 lead routing review fixes"
"origin/codex/gap3-recurring","2026-06-05 12:42:00 +0300","fix GAP3 Morning signature scheme"
"origin/codex/gap4-openai-agent","2026-06-05 11:28:24 +0300","v1.43.2 harden AI cost guard"
"origin/codex/gap5-geo-search","2026-06-05 12:48:28 +0300","fix GAP5 geo auction ordering composition"
"origin/codex/gap6-roles","2026-06-05 12:05:40 +0300","v1.45.0 GAP 6 roles"
"origin/codex/gap7-placement-auction","2026-06-05 12:35:16 +0300","v1.47.0 placement auction"
"origin/codex/generic-project-showroom-copy","2026-06-19 20:06:45 +0300","v1.67.5 generic project showroom copy"
"origin/codex/handshake-2026-06-11","2026-06-11 20:43:24 +0300","chan: CODEX handshake 2026-06-11"
"origin/codex/listing-visual-asset-spec","2026-06-03 21:52:20 +0300","Add listing visual asset spec"
"origin/codex/nadlan-config-1-35-archive-polish","2026-06-02 21:34:23 +0300","Add URL governance and glossary quality gate"
"origin/codex/nadlan-crm-theme","2026-06-02 19:37:27 +0300","Document Nadlan non-article archive fixes"
"origin/codex/post-1422-visual-qa","2026-06-04 15:57:40 +0300","docs: add post 1.42.2 visual QA"
"origin/codex/premium-assets","2026-06-04 01:30:14 +0300","Add combined premium SVG symbol sprite"
"origin/codex/premium-catalog-audit-spec","2026-06-04 00:12:50 +0300","Add premium catalog and mobile audit docs"
"origin/codex/premium-facade-1682","2026-06-20 07:45:59 +0300","Add Dimri 1.68.2 live-before screenshots"
"origin/codex/rainbow-1603-map-layout-hotfix","2026-06-12 22:07:02 +0300","fix: promote Rainbow map to big stage"
"origin/codex/rainbow-1610-premium-showroom-seo-whatsapp","2026-06-13 21:24:49 +0300","feat: Rainbow premium showroom and WhatsApp funnel"
"origin/codex/rainbow-1611-render-hotfix","2026-06-13 21:58:17 +0300","fix: rainbow render hotfix 1.61.1"
"origin/codex/rainbow-1662-package-fix","2026-06-15 00:25:24 +0300","v1.66.2 package path hotfix"
"origin/codex/rainbow-3d-app-selector-1604","2026-06-12 23:07:32 +0300","chore: package Rainbow app selector as v1.60.5"
"origin/codex/rainbow-3d-hotfix","2026-06-12 11:35:08 +0300","fix: refine rainbow 3d layout and data mapping"
"origin/codex/rainbow-3d-prototype","2026-06-11 22:20:21 +0300","feat: v1.59.0 rainbow 3d picker"
"origin/codex/rainbow-3d-runtime-hotfix-1606","2026-06-12 23:25:10 +0300","fix: v1.60.6 Rainbow 3D runtime boot"
"origin/codex/rainbow-3d-visual-followup-1592","2026-06-12 11:56:55 +0300","fix: v1.59.2 rainbow visual follow-up release"
"origin/codex/rainbow-apartment-cells-1655","2026-06-14 20:01:18 +0300","fix: make Rainbow unit picks read as apartment cells"
"origin/codex/rainbow-cell-geometry-1657","2026-06-14 23:26:54 +0300","qa: assert Rainbow facade cell selection state"
"origin/codex/rainbow-clickable-showroom-1640","2026-06-14 12:39:53 +0300","fix: make Rainbow apartments clickable on stage"
"origin/codex/rainbow-cms-units-rest-1632","2026-06-14 02:36:48 +0300","fix: preserve Rainbow unit price notes"
"origin/codex/rainbow-finish-1661","2026-06-15 00:05:36 +0300","v1.66.1 Rainbow dual showroom selector"
"origin/codex/rainbow-flagship-page-1602","2026-06-12 21:19:23 +0300","feat: Rainbow flagship project page v1.60.2"
"origin/codex/rainbow-mobile-cell-polish-1656","2026-06-14 20:42:34 +0300","fix: polish Rainbow apartment cells on mobile"
"origin/codex/rainbow-mobile-contact-polish-1633","2026-06-14 03:21:38 +0300","docs: mark Rainbow contact rail PR ready"
"origin/codex/rainbow-model-visible-1636","2026-06-14 12:06:25 +0300","fix: make Rainbow GLB visibly render"
"origin/codex/rainbow-page-perfect","2026-06-14 11:47:47 +0300","fix: Rainbow GLB runtime and showroom seed"
"origin/codex/rainbow-page-seo-1634","2026-06-14 09:18:38 +0300","fix: harden Rainbow public assembly copy"
"origin/codex/rainbow-prototype-model-1631","2026-06-14 07:50:05 +0300","tools: clarify Rainbow deploy sequence"
"origin/codex/rainbow-showroom-1621-polish","2026-06-14 00:50:48 +0300","feat: Rainbow real model-viewer showroom rail"
"origin/codex/rainbow-showroom-centered-1638","2026-06-14 12:17:42 +0300","fix: center Rainbow showroom fallback"
"origin/codex/rainbow-showroom-dna-1664","2026-06-15 19:19:15 +0300","feat: rainbow showroom DNA v1664"
"origin/codex/rainbow-showroom-v1620","2026-06-13 23:44:28 +0300","feat: render showroom CMS material cards"
"origin/codex/rainbow-stage-position-1639","2026-06-14 12:25:34 +0300","fix: raise Rainbow showroom first view"
"origin/codex/rainbow-tap-target-polish-1631","2026-06-14 02:05:32 +0300","docs: record Rainbow tap-target PR status"
"origin/codex/rainbow-tel-aviv-flagship-listing","2026-06-03 23:46:09 +0300","Add Rainbow Tel Aviv media handoff"
"origin/codex/rainbow-template-readiness","2026-06-15 14:46:02 +0300","docs: align showroom factory manual"
"origin/codex/rainbow-template-v1-gate","2026-06-15 12:44:08 +0300","docs: capture Rainbow template v1 QA lessons"
"origin/codex/rainbow-v1-surgical","2026-06-15 14:49:05 +0300","test: add project factory smoke gate"
"origin/codex/rainbow-view-return-1641","2026-06-14 19:11:09 +0300","fix: polish Rainbow showroom apartment picker"
"origin/codex/rainbow-visible-fallback-1637","2026-06-14 12:12:26 +0300","fix: guard Rainbow showroom against blank stage"
"origin/codex/real-photo-blueprint-premium-ui","2026-06-04 13:25:59 +0300","Ship real-photo blueprint premium UI pass"
"origin/codex/release-discipline-wiring","2026-06-15 17:56:31 +0300","docs(skills): add local blocker discipline rule"
"origin/codex/reliability","2026-06-05 13:35:18 +0300","feat: add reliability health endpoint"
"origin/codex/showroom-core-polish-2026-06-19","2026-06-20 00:18:56 +0300","feat: showroom camera lock and facade safety"
"origin/codex/sitewide-premium-micro-ui","2026-06-04 00:47:59 +0300","Add sitewide premium micro UI standard"
"origin/codex/stage1-trust-asset-cleanup-2026-06-21","2026-06-21 10:01:12 +0300","Dequeue Woo assets on public non-commerce pages"
