fact_id,project_id,topic,claim_he,state,source_url,source_title,checked_at,refresh_by,publish_rule
S-011,ecocity-stricker-13-brandeis-14,permit,"לא אותר במסירה זו רישום היתר עירוני חד-משמעי לכתובות",MISSING,https://www.tel-aviv.gov.il/Residents/Construction/Pages/Construction.aspx,"Tel Aviv-Yafo construction and permitting portal",2026-08-28,,"Block permit claims until official record is attached"
S-012,ecocity-stricker-13-brandeis-14,media,"זכויות השימוש בהדמיות ובתכניות לא נמסרו",BLOCKED_RIGHTS,,,2026-08-28,,"Use neutral placeholders only"
B-001,ecocity-bnei-dan-54-56,identity,"הפרויקט מזוהה כבני דן 54–56 בתל אביב ומקודם על ידי אקו סיטי",VERIFIED_PRIMARY,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-11,"May publish with independent-site disclosure"
B-002,ecocity-bnei-dan-54-56,park,"עמוד היזם מציג את הפרויקט בקו הראשון לפארק הירקון",DEVELOPER_CLAIM,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-11,"Attribute to developer; do not convert to a permanent-view guarantee"
B-003,ecocity-bnei-dan-54-56,floors,"לפי עמוד היזם הבניין מתנשא לגובה 8 קומות",VERIFIED_PRIMARY,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-11,"Reconfirm against approved plans before 3D/publication"
B-004,ecocity-bnei-dan-54-56,orientation,"היזם טוען שכל הדירות נהנות מחזית פתוחה",DEVELOPER_CLAIM,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-11,"Attribute and confirm unit-by-unit; never write open forever"
B-005,ecocity-bnei-dan-54-56,balconies,"היזם מציין מרפסות עמוקות מהסטנדרט",DEVELOPER_CLAIM,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-11,"Attribute; require dimensions for unit cards"
B-006,ecocity-bnei-dan-54-56,parking,"היזם מציין חניות רגילות ונוחות",DEVELOPER_CLAIM,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-11,"Do not promise parking per apartment without inventory/contract data"
B-007,ecocity-bnei-dan-54-56,status,"היזם מציג סטטוס בשיווק ולקראת ביצוע",TIME_SENSITIVE,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-04,"Must be rechecked within 7 days of preview and publication"
B-008,ecocity-bnei-dan-54-56,occupancy,"היזם מציג אכלוס מתוכנן בשנת 2028",TIME_SENSITIVE,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity: Bnei Dan 54-56",2026-08-28,2026-09-04,"Use planned/subject-to-contract language; reconfirm"
B-009,ecocity-bnei-dan-54-56,unit_mix,"דף נחיתה של היזם מציג דירות 3–4 חדרים, אך מלאי עשוי להשתנות",TIME_SENSITIVE,https://www.ecocity9.store/,"EcoCity marketing landing page: Bnei Dan 54-56",2026-08-28,2026-09-04,"Do not publish as current inventory without feed"
B-010,ecocity-bnei-dan-54-56,neighborhood,"מקורות חלוקים בין הצפון הישן לצפון החדש",CONFLICT,https://www.ecocity.co.il/projects/bnei-dan-54-56,"EcoCity and independent directories",2026-08-28,,"Use north Tel Aviv / Bnei Dan Street only"
B-011,ecocity-bnei-dan-54-56,architect,"גרוסברד וינציגסטר אדריכלות מזוהים כאדריכלים במקור משני",SECONDARY_CONFIRM,https://www.madlan.co.il/projects/%D7%91%D7%A0%D7%99%20%D7%93%D7%9F%2054-56%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20%D7%99%D7%A4%D7%95,"Madlan project record",2026-08-28,,"Do not publish until EcoCity/architect confirms"
B-012,ecocity-bnei-dan-54-56,units,"מספר יחידות הדיור הכולל לא אומת",MISSING,,,2026-08-28,,"Omit"
B-013,ecocity-bnei-dan-54-56,permit,"לא צורף רישום היתר עירוני מאומת; מקור משני בלבד מתאר תהליך היתר",SECONDARY_CONFIRM,https://www.madlan.co.il/projects/%D7%91%D7%A0%D7%99%20%D7%93%D7%9F%2054-56%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20%D7%99%D7%A4%D7%95,"Madlan project record",2026-08-28,,"Block permit claims until official record is attached"
B-014,ecocity-bnei-dan-54-56,views,"הטענה נוף פתוח לתמיד אינה מאומתת תכנונית",CONFLICT,https://www.ecocity9.store/,"EcoCity marketing landing page",2026-08-28,,"Suppress permanent-view wording"
B-015,ecocity-bnei-dan-54-56,media,"זכויות השימוש בהדמיות ובתכניות לא נמסרו",BLOCKED_RIGHTS,,,2026-08-28,,"Use neutral placeholders only"
SH-001,shared,parks,"עיריית תל אביב מציגה את פארק הירקון כאחד הפארקים הגדולים בעיר",VERIFIED_PRIMARY,https://www.tel-aviv.gov.il/Residents/Environment/Pages/ParksAndGardens.aspx,"Tel Aviv-Yafo: Parks and gardens",2026-08-28,2026-11-28,"Use for city context, not a project-specific distance"
SH-002,shared,education,"רשימות ושיוכי גנים עירוניים מתפרסמים לפי שנת לימודים",VERIFIED_PRIMARY,https://www.tel-aviv.gov.il/Residents/Education/Pages/KindergartenList.aspx,"Tel Aviv-Yafo: Kindergarten list 2026/27",2026-08-28,2027-01-15,"Link to current lookup; never promise assignment"
SH-003,shared,accessibility,"WCAG 2.2 is the current W3C recommendation and W3C advises its use for updated accessibility work",VERIFIED_PRIMARY,https://www.w3.org/TR/WCAG22/,"W3C: WCAG 2.2",2026-08-28,2027-02-28,"Target WCAG 2.2 AA; retain Israeli legal review separately"
SH-004,shared,performance,"Good Core Web Vitals targets are LCP <=2.5s, INP <=200ms and CLS <=0.1 at the 75th percentile",VERIFIED_PRIMARY,https://web.dev/articles/vitals,"web.dev: Web Vitals",2026-08-28,2027-02-28,"Use as performance gate"
