"id","domain","area","title","method","nonBlocking","codeReferences"
"R03-007","פירורים, progress bar וניווט","","במובייל הבר אינו מכסה H1, בניין או כרטיס","viewport+accessibility","true",""
"R04-001","Hero והחלטה ראשונה","","תמונת בניין מזוהה וברורה בפולד הראשון","viewport+accessibility","true",""
"R04-002","Hero והחלטה ראשונה","","שם, שדה דב, סטטוס ושני נתוני מפתח נראים ללא גלילה","viewport+accessibility","true",""
"R04-003","Hero והחלטה ראשונה","","CTA לבחירת דירה מוביל לבורר","manual-evidence","true",""
"R04-004","Hero והחלטה ראשונה","","CTA משני פותח חומרים או פגישה","interaction","true",""
"R04-005","Hero והחלטה ראשונה","","אין כרטיס שמסתיר את גוף הבניין במובייל","viewport+accessibility","true",""
"R04-006","Hero והחלטה ראשונה","","התמונה נטענת ללא הבהוב שחור","manual-evidence","true",""
"R05-001","מודל תלת-ממד","","GLB נטען","interaction","true",""
"R05-002","מודל תלת-ממד","","poster תואם למודל","data+DOM","true",""
"R05-003","מודל תלת-ממד","","זווית פתיחה מוגדרת לפרויקט","manual-evidence","true",""
"R05-004","מודל תלת-ממד","","הבניין נשאר במרכז בעת פתיחת כרטיס","manual-evidence","true",""
"R05-005","מודל תלת-ממד","","סיבוב, זום ואיפוס עובדים בעכבר ובמגע","interaction","true",""
"R05-006","מודל תלת-ממד","","מגבלות מצלמה מונעות כניסה לתוך מודל","manual-evidence","true",""
"R05-007","מודל תלת-ממד","","fallback חזית עובד","interaction","true",""
"R05-008","מודל תלת-ממד","","משקל, LOD ומרקמים מתאימים למובייל","viewport+accessibility","true",""
"R05-009","מודל תלת-ממד","","כל hotspot משויך ליחידה קיימת","data+DOM","true",""
"R05-010","מודל תלת-ממד","","אין hotspot מחוץ לחזית","data+DOM","true",""
"R05-011","מודל תלת-ממד","","target מונגש 44px לפחות","viewport+accessibility","true",""
"R05-012","מודל תלת-ממד","","focus מקלדת נראה","viewport+accessibility","true",""
"R06-001","בחירת יחידה וכרטיס","","סינון קומה, חדרים, כיוון, מחיר וסטטוס עובד","interaction","true",""
"R06-002","בחירת יחידה וכרטיס","","מונה תוצאות מתעדכן","interaction","true",""
"R06-003","בחירת יחידה וכרטיס","","אין שורת אפסים חסרת משמעות","data+DOM","true",""
"R06-004","בחירת יחידה וכרטיס","","בחירת hotspot ובחירת רשימה מסונכרנות","interaction","true",""
"R06-005","בחירת יחידה וכרטיס","","כרטיס מציג קומה, כיוון, שטח, מרפסת ומחיר","manual-evidence","true",""
"R06-006","בחירת יחידה וכרטיס","","כרטיס מציג תוכנית, נוף, פנים ופנייה","manual-evidence","true",""
"R06-007","בחירת יחידה וכרטיס","","כרטיס מובייל קומפקטי ואינו מזיז את הבניין","viewport+accessibility","true",""
"R06-008","בחירת יחידה וכרטיס","","סגירה מחזירה focus לטריגר","interaction","true",""
"R06-009","בחירת יחידה וכרטיס","","שמירה או שיתוף משמרים unit id","interaction","true",""
"R07-001","תוכנית דירה","","לכל טיפוס יש תוכנית","manual-evidence","true",""
"R07-002","תוכנית דירה","","התוכנית מתאימה למספר חדרים ולשטח","manual-evidence","true",""
"R07-003","תוכנית דירה","","כיוון צפון ופתחים מסומנים","manual-evidence","true",""
"R07-004","תוכנית דירה","","מידות קריאות בזום מובייל","viewport+accessibility","true",""
"R07-005","תוכנית דירה","","שטח פנים ומרפסת עקביים לכרטיס","data+DOM","true",""
"R07-006","תוכנית דירה","","מעבר בין קומות אינו מחליף תוכנית בטעות","manual-evidence","true",""
"R07-007","תוכנית דירה","","הורדה ושיתוף עובדים","interaction","true",""
"R07-008","תוכנית דירה","","תוכנית נגישה בטקסט חלופי","manual-evidence","true",""
"R08-001","נוף, אלומה ומפה","","כיוון היחידה מניע אלומה תואמת","data+DOM","true",""
"R08-002","נוף, אלומה ומפה","","האלומה יוצאת מנקודת היחידה","data+DOM","true",""
"R08-003","נוף, אלומה ומפה","","מפת שדה דב מסתובבת או מתעדכנת לפי הכיוון","manual-evidence","true",""
"R08-004","נוף, אלומה ומפה","","יעדי נוף משתנים לפי קומה וכיוון","manual-evidence","true",""
"R08-005","נוף, אלומה ומפה","","נוף מערב מציג ים וחוף","manual-evidence","true",""
"R08-006","נוף, אלומה ומפה","","נוף מזרח מציג רובע ועיר","manual-evidence","true",""
"R08-007","נוף, אלומה ומפה","","אין כיסוי של המפה בכרטיס במובייל","viewport+accessibility","true",""
"R08-008","נוף, אלומה ומפה","","החלפת יחידה מעדכנת אלומה, תווית ומרחקים יחד","data+DOM","true",""
"R09-001","פנים, 360 וסטודיו","","כניסה לפנים שומרת את היחידה הנבחרת","data+DOM","true",""
"R09-002","פנים, 360 וסטודיו","","סיור פנימי עובד במגע","interaction","true",""
"R09-003","פנים, 360 וסטודיו","","מעבר חדרים ברור","manual-evidence","true",""
"R09-004","פנים, 360 וסטודיו","","סטודיו מציג רק אפשרויות תואמות לטיפוס","manual-evidence","true",""
"R09-005","פנים, 360 וסטודיו","","בחירת גמר משנה תצוגה ומפרט","manual-evidence","true",""
"R09-006","פנים, 360 וסטודיו","","התאמות נגישות כוללות מידות וחיזוקים","manual-evidence","true",""
"R09-007","פנים, 360 וסטודיו","","סיכום מפרט כולל קודים, כמויות ואפשרויות","manual-evidence","true",""
"R09-008","פנים, 360 וסטודיו","","שליחה לקבלן/פגישה עובדת","interaction","true",""
"R09-009","פנים, 360 וסטודיו","","חזרה לשורום אינה מאפסת בחירה","manual-evidence","true",""
"R10-001","מתקנים ו-facilities hotspots","","כל מתקן מופיע במפת המתקנים","manual-evidence","true",""
"R10-002","מתקנים ו-facilities hotspots","","hotspot פותח תמונה, תיאור, מיקום ושעות","interaction","true",""
"R10-003","מתקנים ו-facilities hotspots","","המתקן מקושר לקומה או אזור אמיתי במודל","manual-evidence","true",""
"R10-004","מתקנים ו-facilities hotspots","","בריכה, wellness, כושר, עבודה, אירוח וילדים ממופים","manual-evidence","true",""
"R10-005","מתקנים ו-facilities hotspots","","נגישות ותפעול מוצגים במקום הנכון","manual-evidence","true",""
"R10-006","מתקנים ו-facilities hotspots","","סינון מתקנים עובד במובייל","interaction","true",""
"R10-007","מתקנים ו-facilities hotspots","","אין מתקן שמופיע באייקון אך אינו נפתח","data+DOM","true",""
"R11-001","סביבה ושדה דב","","נקודת הפרויקט משותפת לכל המפות","manual-evidence","true",""
"R11-002","סביבה ושדה דב","","חוף, פארק, מסחר, חינוך ותחבורה מסווגים","manual-evidence","true",""
"R11-003","סביבה ושדה דב","","מרחק הליכה ומסלול מוצגים","manual-evidence","true",""
"R11-004","סביבה ושדה דב","","סיור אווירי שומר נקודת מוצא","manual-evidence","true",""
"R11-005","סביבה ושדה דב","","לחיצה על יעד מעדכנת מפה ותוכן","manual-evidence","true",""
"R11-006","סביבה ושדה דב","","הקשר תא/4444 מופיע בתוכן השכונה","manual-evidence","true",""
"R11-007","סביבה ושדה דב","","קישורי עומק למדריכי שכונה אינם מתחרים בביטוי הפרויקט","manual-evidence","true",""
"R12-001","BOM והנדסת בניין","","כל מערכת כוללת מכלולים ורכיבים","data+admin","true",""
"R12-002","BOM והנדסת בניין","","לכל רכיב חומר, דרגה, עובי או ערך תכן","data+admin","true",""
"R12-003","BOM והנדסת בניין","","לכל רכיב יחידת מידה ובסיס כמות","data+admin","true",""
"R12-004","BOM והנדסת בניין","","לכל מכלול ביצוע נדרש","data+admin","true",""
"R12-005","BOM והנדסת בניין","","כל חדירה ומפגש משויך לפרט","data+admin","true",""
"R12-006","BOM והנדסת בניין","","לכל מערכת בדיקת קבלה","data+admin","true",""
"R12-007","BOM והנדסת בניין","","לכל ציוד בר-תחזוקה גישה ותדירות","data+admin","true",""
"R12-008","BOM והנדסת בניין","","מפרט ציבורי נגזר מה-BOM ולא נכתב ידנית בנפרד","data+admin","true",""
"R12-009","BOM והנדסת בניין","","סטודיו שינויים מפיק BOM דירה","data+admin","true",""
"R12-010","BOM והנדסת בניין","","שינוי רכיב מסמן השפעה על אש, מים, אקוסטיקה, תרמי ונגישות","data+admin","true",""
"R13-001","תוכן ומבנה מאמר","","פתיח עונה מיד מי, איפה, מה ומחיר","manual-evidence","true",""
"R13-002","תוכן ומבנה מאמר","","תוכן הפרויקט מגיע אחרי כלי ההחלטה המרכזיים","manual-evidence","true",""
"R13-003","תוכן ומבנה מאמר","","5,000 מילים מחולקות לפי שאלות משתמש","manual-evidence","true",""
"R13-004","תוכן ומבנה מאמר","","יזם, אדריכל, קבלן ויועצים מקושרים לישויות","manual-evidence","true",""
"R13-005","תוכן ומבנה מאמר","","מחירים, עסקאות ורחוב מקבלים מקור נתונים","manual-evidence","true",""
"R13-006","תוכן ומבנה מאמר","","שדה דב, מתקנים, מפרט, תחבורה, השקעה ומגורים מקבלים פרקים","manual-evidence","true",""
"R13-007","תוכן ומבנה מאמר","","FAQ נשען על שאלות אמיתיות","manual-evidence","true",""
"R13-008","תוכן ומבנה מאמר","","אין חזרת keyword מלאכותית","data+DOM","true",""
"R14-001","ליד, פגישה, מכירה ו-Co-tour","","CTA שומר פרויקט ויחידה","data+DOM","true",""
"R14-002","ליד, פגישה, מכירה ו-Co-tour","","טופס קצר לפני טופס מורחב","manual-evidence","true",""
"R14-003","ליד, פגישה, מכירה ו-Co-tour","","בקשת תוכניות ומחירים עובדת","interaction","true",""
"R14-004","ליד, פגישה, מכירה ו-Co-tour","","בחירת זמן פגישה עובדת","interaction","true",""
"R14-005","ליד, פגישה, מכירה ו-Co-tour","","Co-tour host/join שומר חדר ויחידה","data+DOM","true",""
"R14-006","ליד, פגישה, מכירה ו-Co-tour","","שיחה עם יזם או צוות כוללת הקשר","manual-evidence","true",""
"R14-007","ליד, פגישה, מכירה ו-Co-tour","","סיכום סטודיו מצורף לליד","manual-evidence","true",""
"R14-008","ליד, פגישה, מכירה ו-Co-tour","","אירועי הצלחה וכשל נמדדים","manual-evidence","true",""
"R14-009","ליד, פגישה, מכירה ו-Co-tour","","אין שליחת דמו לאיש קשר חי","data+DOM","true",""
"R15-001","חמש שפות","","he/en/fr/ru/ar קיימות","manual-evidence","true",""
"R15-002","חמש שפות","","שם הפרויקט נשמר עקבי","interaction","true",""
"R15-003","חמש שפות","","RTL/LTR משתנה בלי שבירת מודל","manual-evidence","true",""
"R15-004","חמש שפות","","מחיר, שטח ותאריך מותאמים לשפה","manual-evidence","true",""
"R15-005","חמש שפות","","תוכנית ומפה אינן נחתכות","manual-evidence","true",""
"R15-006","חמש שפות","","canonical/hreflang תואמים לארכיטקטורת האתר","manual-evidence","true",""
"R15-007","חמש שפות","","אין fallback לשפה אחרת בכפתור או הודעת שגיאה","data+DOM","true",""
"R16-001","מובייל, נגישות וביצועים","","בדיקת 320, 360, 390 ו-430 פיקסל","manual-evidence","true",""
"R16-002","מובייל, נגישות וביצועים","","אין גלילה אופקית","viewport+accessibility","true",""
"R16-003","מובייל, נגישות וביצועים","","יעדי מגע 44px","viewport+accessibility","true",""
"R16-004","מובייל, נגישות וביצועים","","כרטיס תחתון נשאר נמוך","manual-evidence","true",""
"R16-005","מובייל, נגישות וביצועים","","הבניין נראה בכל מצב בחירה","manual-evidence","true",""
"R16-006","מובייל, נגישות וביצועים","","תפריט ו-progress אינם מתנגשים","manual-evidence","true",""
"R16-007","מובייל, נגישות וביצועים","","focus, ESC ו-reader labels עובדים","interaction","true",""
"R16-008","מובייל, נגישות וביצועים","","תמונה ומודל נטענים בהדרגה","manual-evidence","true",""
"R16-009","מובייל, נגישות וביצועים","","אין layout shift מהותי","viewport+accessibility","true",""
"R16-010","מובייל, נגישות וביצועים","","הפעולה הראשית זמינה גם ברשת איטית","viewport+accessibility","true",""
"R17-001","נורות אדמין ותיעוד","","כל נורה מציגה עובדה ולא ציון סתמי","data+admin","true",""
"R17-002","נורות אדמין ותיעוד","","כל נורה מקשרת לשדה או רכיב לתיקון","data+admin","true",""
"R17-003","נורות אדמין ותיעוד","","נורה אדומה אינה חוסמת שמירה","data+admin","true",""
"R17-004","נורות אדמין ותיעוד","","סטטוס ציבורי מופרד מסטטוס מקור פנימי","data+admin","true",""
"R17-005","נורות אדמין ותיעוד","","snapshot של View Source נשמר עם תאריך","data+admin","true",""
"R17-006","נורות אדמין ותיעוד","","השוואה בין פרויקטים משתמשת באותו מתכון","data+admin","true",""
"R17-007","נורות אדמין ותיעוד","","שינוי ידני מתועד עם בעלים ותאריך","data+admin","true",""
"R17-008","נורות אדמין ותיעוד","","גרסת מתכון מוצגת בעמוד","data+admin","true",""
"V2-SEO-001","Source, SERP and semantic contract","sourceSeo","Raw public server HTML is captured, hashed and diffed before DOM scripts run","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-002","Source, SERP and semantic contract","sourceSeo","Source title equals the approved SEO title","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-003","Source, SERP and semantic contract","sourceSeo","Rendered document.title equals Source title","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-004","Source, SERP and semantic contract","sourceSeo","One canonical exists and points to the owning project URL","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-005","Source, SERP and semantic contract","sourceSeo","Query parameters do not create competing canonical targets","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-006","Source, SERP and semantic contract","sourceSeo","One H1 exists and matches project intent","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-007","Source, SERP and semantic contract","sourceSeo","Breadcrumb labels and URLs form one consistent hierarchy","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-008","Source, SERP and semantic contract","sourceSeo","Exactly one BreadcrumbList graph represents the visible breadcrumb","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-009","Source, SERP and semantic contract","sourceSeo","FAQ schema is emitted once and mirrors visible questions","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-010","Source, SERP and semantic contract","sourceSeo","ApartmentComplex identity matches visible project name and address","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-011","Source, SERP and semantic contract","sourceSeo","ApartmentComplex includes a representative image","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-012","Source, SERP and semantic contract","sourceSeo","ApartmentComplex amenities mirror facilities data","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-013","Source, SERP and semantic contract","sourceSeo","Offers are omitted unless an approved feed exists","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-014","Source, SERP and semantic contract","sourceSeo","Robots is index/follow for the owning page","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-015","Source, SERP and semantic contract","sourceSeo","Five language siblings exist before hreflang is emitted","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-016","Source, SERP and semantic contract","sourceSeo","hreflang URLs return 200 and self-reference","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-017","Source, SERP and semantic contract","sourceSeo","x-default has an intentional target","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-018","Source, SERP and semantic contract","sourceSeo","Open Graph title matches approved title","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-019","Source, SERP and semantic contract","sourceSeo","Open Graph image is a valid 1.91:1 share asset","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-020","Source, SERP and semantic contract","sourceSeo","Twitter card image resolves with correct MIME","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-021","Source, SERP and semantic contract","sourceSeo","favicon href resolves 200 with supported MIME","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-022","Source, SERP and semantic contract","sourceSeo","favicon is square and at least 48x48 or a valid SVG","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-023","Source, SERP and semantic contract","sourceSeo","apple-touch icon resolves 200","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-024","Source, SERP and semantic contract","sourceSeo","No duplicate icon declarations disagree","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-025","Source, SERP and semantic contract","sourceSeo","Meta description describes only working buyer capabilities","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-026","Source, SERP and semantic contract","sourceSeo","Meta description contains the decision value, not development language","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-027","Source, SERP and semantic contract","sourceSeo","No placeholder/waiting/developer copy appears in Source","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-028","Source, SERP and semantic contract","sourceSeo","No unrelated project name appears in Source","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-029","Source, SERP and semantic contract","sourceSeo","No unredacted private token is stored in public snapshot storage","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-030","Source, SERP and semantic contract","sourceSeo","Public asset script versions are captured","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-031","Source, SERP and semantic contract","sourceSeo","Inline adapter hash is captured","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-032","Source, SERP and semantic contract","sourceSeo","Live-only code without repository owner raises orange/red","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-033","Source, SERP and semantic contract","sourceSeo","Plugin health version matches repository release","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-034","Source, SERP and semantic contract","sourceSeo","Structured data parses without JSON error","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-035","Source, SERP and semantic contract","sourceSeo","Source snapshot retention is private or redacted","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-SEO-036","Source, SERP and semantic contract","sourceSeo","SERP favicon status is evidenced from SERP/GSC, not inferred from DOM","source+HTTP+schema parse","true","public View Source snapshot | plugins/nadlan-config/inc/showroom-engine.php:155-260"
"V2-NAV-001","Page order, progress and navigation","navigation","Breadcrumbs precede project identity","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-002","Page order, progress and navigation","navigation","Opening paragraph appears before the first disclaimer","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-003","Page order, progress and navigation","navigation","Progress bar appears before the decision cockpit","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-004","Page order, progress and navigation","navigation","Every progress item points to an existing unique anchor","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-005","Page order, progress and navigation","navigation","Every progress click moves the intended section below sticky chrome","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-006","Page order, progress and navigation","navigation","Active progress state follows scroll position","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-007","Page order, progress and navigation","navigation","Progress state can be operated by keyboard","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-008","Page order, progress and navigation","navigation","Progress labels remain legible at 320px","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-009","Page order, progress and navigation","navigation","Hero primary CTA opens the selection cockpit","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-010","Page order, progress and navigation","navigation","Hero secondary CTA opens project materials or meeting action","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-011","Page order, progress and navigation","navigation","Top feature cards use real anchors or actions, never href=#","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-012","Page order, progress and navigation","navigation","Building nav action cannot be intercepted by accessibility widget","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-013","Page order, progress and navigation","navigation","Apartment nav action reveals at least one selection method","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-014","Page order, progress and navigation","navigation","Plan nav action preserves selected unit","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-015","Page order, progress and navigation","navigation","View nav action preserves selected unit","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-016","Page order, progress and navigation","navigation","Facilities nav action opens the facilities cockpit","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-017","Page order, progress and navigation","navigation","Environment nav action opens the project map","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-018","Page order, progress and navigation","navigation","Article nav action reaches the first editorial heading","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-019","Page order, progress and navigation","navigation","Inquiry nav action reaches a working form","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-020","Page order, progress and navigation","navigation","Back action restores the previous module and same unit","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-021","Page order, progress and navigation","navigation","Sticky project header never overlaps global header","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-022","Page order, progress and navigation","navigation","Sticky project header never overlaps progress bar","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-023","Page order, progress and navigation","navigation","Fixed bottom conversion bar leaves room for focused controls","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-024","Page order, progress and navigation","navigation","Only one sticky conversion bar is active at a time","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-025","Page order, progress and navigation","navigation","No global navigation item is positioned outside viewport","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-026","Page order, progress and navigation","navigation","Scheduling dates and times remain reachable without page-level horizontal scroll","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-027","Page order, progress and navigation","navigation","Deep link with unit returns to the selected unit state","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-028","Page order, progress and navigation","navigation","Browser back/forward restores journey state","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-029","Page order, progress and navigation","navigation","Page refresh retains unit and language","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-NAV-030","Page order, progress and navigation","navigation","Skip link reaches the main project content","interaction+DOM+hit-test","true","plugins/nadlan-config/assets/showroom-engine/engine.js:370-560 | theme project navigation"
"V2-MOB-001","Mobile cockpit geometry and interaction","mobile","No page-level horizontal overflow at 320px","browser click replay+bounding boxes","true","plugins/nadlan-config/assets/showroom-engine/showroom.css | plugins/nadlan-config/assets/showroom-engine/mv-ux.js"
"V2-MOB-002","Mobile cockpit geometry and interaction","mobile","No page-level horizontal overflow at 390px","browser click replay+bounding boxes","true","plugins/nadlan-config/assets/showroom-engine/showroom.css | plugins/nadlan-config/assets/showroom-engine/mv-ux.js"
