"source_id","source_type","authority","title","url","source_date_or_snapshot","accessed_at","scope_used","current_fact_use","limitations"
"S018","government notice / technical attachment","Government of Israel","Public notice: groundwater lowering for Einstein lot 33, Tel Aviv","https://www.gov.il/BlobFolder/reports/introduction/he/licensing-facilities_hahdara_einstein-ta.pdf","Technical document dated 2021-03-11; government page indexed 2026","2026-08-14","Subsurface/construction-risk context","Documents planned groundwater lowering for excavation and controlled disposal/reinjection alternatives at Einstein lot 33","Historical technical planning evidence; does not establish a present defect, final method, or current approval status"
"S019","municipal licensing protocol","Tel Aviv-Yafo Municipality","Licensing authority protocol for Einstein 15","https://www.tel-aviv.gov.il/Transparency/DocLib3/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%A8%D7%A9%D7%95%D7%AA%20%D7%A8%D7%99%D7%A9%D7%95%D7%99%201-22-0057.pdf","2022-03-06","2026-08-14","Adjacent-project exclusion control","Shows 180-unit Einstein 15 project by different applicants and its amenity program","Not the target; included to prevent contamination of target building count, units and amenities"
"S020","financial press","Calcalist","Bareket Capital financing for Hagag purchase groups on Einstein Street","https://www.calcalist.co.il/real-estate/article/b1hfsjpb11x","2026-01-20","2026-08-14","Recent secondary financing and combined-project scope","Separates 215 units at 33A from 300 at 35; reports bridge-financing framework and an end-2029 completion plan","Secondary report; combined 540m financing and 515 units span two projects; completion differs from later S002 and commercial terms are not buyer offers"
"S021","trade press","Real Estate Center","Permit decision reported for Einstein 33 purchase group","https://www.nadlancenter.co.il/article/8869","2023-11-27","2026-08-14","Historical permit-decision and identity cross-check","Places Einstein 33 at Einstein–Levi Eshkol; separates 33 from 35 at the western end; reports decision for full permit subject to conditions","Secondary and historical; latest S002 says fees/levies still being handled for permit issuance at 2025 year-end"
"S022","developer comparator page","Hagag Group","H Infinity, Somail","https://www.hagag-group.co.il/projects/ResidentProjects/h_infinity","No visible publication/update date","2026-08-14","Flagship presentation benchmark","Uses story-led sections, renders/gallery, amenity list, live commercial terms, 360 tour, map, lead form and password-protected buyer update","Marketing claims and terms require fresh validation; page is not evidence for Einstein 33A amenities or terms"
"S023","publisher comparator page","Nadlan / Nadlan Smart","H Infinity Somail project page","https://nad-lan.co.il/projects/h-infinity-somail-tel-aviv/","Public page; see S024 for WordPress modification timestamp","2026-08-14","Nadlan flagship presentation benchmark","Concise project/surroundings narrative with explicit gaps for plans, specification, prices and availability","Visible prose lacks per-claim source labels and contains confident distance/transit statements that require measurement/current-vs-future treatment"
"S024","publisher REST record","Nadlan / WordPress API","H Infinity project record 6548","https://nad-lan.co.il/wp-json/wp/v2/nadlan_project/6548?_fields=link,modified_gmt,title,content,excerpt","modified_gmt 2026-08-13T18:00:52Z","2026-08-14","Exact live H Infinity text and freshness check","Confirms current title, excerpt, body and last-modified timestamp used in benchmark","API record is presentation evidence, not an independent fact source for project claims"
"S025","publisher target page","Nadlan / Nadlan Smart","EINSTEIN TOWER Ramat Aviv","https://nad-lan.co.il/projects/einstein-tower/","Search index published 2026-07; live page accessed 2026-08-14","2026-08-14","Current owned-page identity and architecture audit","Long-form topic architecture, tables, FAQ and internal links","Unsafe target identity aggregation: combines 33A and 35 into 515 units and locates the whole at Einstein–Ibn Gvirol; source list is generic rather than claim-level"
"S026","marketplace comparator","Yad2","Einstein 15 project","https://www.yad2.co.il/yad1/project/16161","Live page; no visible stable update date","2026-08-14","Strong nearby-project marketplace presentation benchmark","Gallery, project snapshot, detailed amenity narrative, occupancy date, map, nearby categories, transaction module, unit types and question/lead paths","Developer-supplied marketing on a marketplace; not target evidence; page header's 20-floor summary conflicts with body 30/12-floor description"
"S027","marketplace comparator","Yad2","EINSTEIN 2.4.6.8 project","https://www.yad2.co.il/yad1/project/17022","Live page; no visible stable update date","2026-08-14","Strong nearby-project marketplace presentation benchmark","Gallery, summary counts, amenities, occupancy month, construction-stage rail, map, nearby categories and lead path","Not target evidence; marketing superlatives, sea/view/transit language and status rail require independent verification"
"S028","market-context comparator","Madlan","North Tel Aviv: Gush Hagadol versus Eshkol district","https://www.madlan.co.il/blog/%D7%A6%D7%A4%D7%95%D7%9F-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/","Article indexed approximately 2024; exact visible date not captured","2026-08-14","Madlan neighborhood-explainer presentation benchmark","Shows neighborhood-comparison framing, development context, current/future separation and practical mobility discussion","Secondary editorial context; some future timing language is dated; no exact target product page was surfaced in the bounded search"
"S029","marketplace comparator","Madlan","Ramat Aviv Hadasha 4-room homes for sale","https://www.madlan.co.il/for-sale/%D7%A9%D7%9B%D7%95%D7%A0%D7%94-%D7%A8%D7%9E%D7%AA-%D7%90%D7%91%D7%99%D7%91-%D7%94%D7%97%D7%93%D7%A9%D7%94-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%99%D7%A4%D7%95-%D7%99%D7%A9%D7%A8%D7%90%D7%9C/4-bd","Dynamic listings viewed 2026-08-14","2026-08-14","Madlan marketplace presentation benchmark","Shows filters, listing cards, project cards, neighborhood links and current market alternatives","Dynamic asking-listing inventory, not closed-sale valuation and not target commercial terms"
"S030","independent city-development tracker","Project TLV","Einstein Street","https://project-tlv.info/buildings/einstein/","Live page with dated entries through 2026-02 and photo timestamps through 2025","2026-08-14","Street-level construction/media chronology and identity-risk check","Separates multiple Einstein addresses/projects and provides dated photo/link chronology","Independent secondary tracker; not an official permit, land-registry, route or sales source"
"S031","developer page","Ashtrom Residences","Einstein Ramat Aviv / Ashdar Einstein","https://www.ashtrom.co.il/projects/ashdar-einstein","Live page; no visible update date","2026-08-14","Catalog-dedupe control for the separate Ashtrom/Ashdar project","Urban renewal in Neve Avivim; immediate occupancy; 8 floors; 3 entrances; 2 apartments per floor; Ashtrom Residences","Separate developer, built/occupancy state and address cluster; not Hagag Einstein 33A"
"S032","contractor project page","Ashtrom Construction","Einstein Ramat Aviv","https://www.ashtrom.co.il/projects/einstein","Live page; no visible update date","2026-08-14","Official separate-entity construction record","Completed; 3 adjacent 8-floor buildings; 135 dwellings; two underground parking levels; built for Ashtrom Residences","Project-total construction scope; does not identify the Hagag parcel or project"
"S033","public-company filing","Ashtrom Group","Interim report at 31 March 2026","https://cdn-cms2.ashtrom.co.il/media/3gkbsgzk/%D7%A7%D7%91%D7%95%D7%A6%D7%AA-%D7%90%D7%A9%D7%98%D7%A8%D7%95%D7%9D-%D7%9E%D7%A8%D7%A1-2026.pdf","2026-03-31 reporting date","2026-08-14","Official address/catalog control for completed Ashtrom inventory","Completed-project sales table names Einstein 63-67, Tel Aviv; 27 company-marketed units, 25 sold and 2 remaining at 2026-03-31, excluding owner shares per table note","Company sales scope, not total project unit count; current availability must still be reconfirmed"
"S034","developer article","Ashtrom Group","Ashdar Einstein urban-renewal project","https://www.ashtrom.co.il/articles/%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D/ashdar-einstein","2024-11-27","2026-08-14","Separate-entity identity and presentation cross-check","Names Ashdar/Ashtrom and three 8-floor buildings; describes 45 units in wording that appears to be a marketed/developer component rather than the 135-unit construction total","Wording does not itself reconcile 45 with S032's 135; not target evidence"
"S035","publisher REST record","Nadlan / WordPress API","EINSTEIN TOWER project record 4867","https://nad-lan.co.il/wp-json/wp/v2/nadlan_project/4867","modified_gmt 2026-07-05T08:00:41Z","2026-08-14","Exact current public post identity and project-meta correction target","Published post ID 4867; slug einstein-tower; address Einstein corner Ibn Gvirol; 515 units; 4 buildings; 30 floors; blank gush and helka; empty 3D unit, environment and model fields","Publisher-owned presentation data, not independent project evidence; records the page state that must be corrected in place after private staging"
